,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,Day
6917,-0.95,0.59,0.82,-0.57,0.09,0.023,1991,1,2
6918,-1.25,0.35,1.17,-0.36,0.13,0.023,1991,1,3
6919,-0.24,0.1,0.42,-0.4,-0.13,0.023,1991,1,4
6920,-1.72,0.33,0.23,-0.26,0.59,0.023,1991,1,7
6921,-0.29,-0.33,-0.01,0.06,0.17,0.023,1991,1,8
6922,-0.95,0.46,0.06,-0.04,-0.03,0.023,1991,1,9
6923,0.94,-0.44,-0.52,0.51,-0.57,0.023,1991,1,10
6924,0.1,-0.1,-0.12,0.21,-0.28,0.023,1991,1,11
6925,-1.01,-0.78,0.17,-0.26,0.26,0.023,1991,1,14
6926,0.32,-0.4,-0.38,0.14,-0.24,0.023,1991,1,15
6927,1.0,0.07,-0.93,0.4,-0.84,0.023,1991,1,16
6928,3.41,-0.86,-0.75,1.2,-1.11,0.023,1991,1,17
6929,0.93,-1.18,0.05,0.1,-0.16,0.023,1991,1,18
6930,-0.08,0.5,-0.23,0.05,-0.35,0.023,1991,1,21
6931,-0.65,1.12,0.32,-0.27,0.39,0.023,1991,1,22
6932,0.59,0.57,-0.21,-0.17,-0.02,0.023,1991,1,23
6933,1.45,0.31,-0.44,0.17,-0.55,0.023,1991,1,24
6934,0.4,0.75,-0.23,-0.11,0.05,0.023,1991,1,25
6935,0.14,0.78,-0.09,0.0,-0.1,0.023,1991,1,28
6936,0.1,0.78,-0.07,-0.07,-0.45,0.023,1991,1,29
6937,1.52,0.39,-0.42,0.62,-0.65,0.023,1991,1,30
6938,0.95,0.64,-0.41,0.15,-0.12,0.023,1991,1,31
6939,-0.03,1.07,0.32,-0.22,-0.08,0.025,1991,2,1
6940,1.59,0.53,0.19,-0.03,-0.28,0.025,1991,2,4
6941,1.05,0.27,-0.39,0.3,-0.29,0.025,1991,2,5
6942,1.77,-0.57,-0.69,-0.35,0.27,0.025,1991,2,6
6943,-0.44,-0.36,0.61,-0.16,0.62,0.025,1991,2,7
6944,0.63,-0.35,-0.03,0.12,0.11,0.025,1991,2,8
6945,2.37,-0.64,-0.04,0.33,-0.37,0.025,1991,2,11
6946,-0.59,0.72,0.15,0.02,0.01,0.025,1991,2,12
6947,0.89,0.18,-0.12,0.13,-0.11,0.025,1991,2,13
6948,-1.2,0.92,0.17,-0.06,-0.11,0.025,1991,2,14
6949,1.2,-0.12,-0.18,0.4,-0.48,0.025,1991,2,15
6950,0.13,-0.05,-0.53,0.26,-0.52,0.025,1991,2,19
