,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,WML
0,4,-0.42,-2.66,0.57,0.25,-0.33,0.57,1990,11,2.45
1,5,-1.55,0.9,0.26,1.03,0.3,0.6,1990,12,0.52
2,6,1.51,-3.95,-0.03,0.68,-0.34,0.52,1991,1,-1.25
3,7,7.3,1.12,0.66,0.42,-2.32,0.48,1991,2,-7.5
4,8,-6.7,1.94,-0.27,2.22,-1.43,0.44,1991,3,0.23
5,9,-0.87,-0.3,-0.59,1.02,1.32,0.53,1991,4,1.56
6,10,0.49,-3.15,0.12,1.18,1.96,0.47,1991,5,-0.64
7,11,-7.41,0.87,-0.69,0.68,0.84,0.42,1991,6,0.54
8,12,5.3,-3.22,-0.35,2.71,-0.49,0.49,1991,7,5.06
9,13,1.42,-0.96,-0.08,2.77,0.21,0.46,1991,8,3.77
10,14,3.02,1.78,-0.05,2.7,-0.53,0.46,1991,9,4.23
11,15,-2.62,-0.73,-1.3,1.94,0.21,0.42,1991,10,3.07
12,16,-2.27,0.52,-1.81,0.75,-0.44,0.39,1991,11,0.42
13,17,6.3,-3.85,-2.1,1.19,-1.31,0.38,1991,12,1.93
14,18,-0.52,-0.76,1.29,0.3,0.45,0.34,1992,1,0.75
15,19,-0.44,-0.23,0.18,1.25,-0.16,0.28,1992,2,1.52
16,20,-3.74,0.37,0.29,0.57,0.5,0.34,1992,3,0.57
17,21,5.02,-1.35,-0.07,2.61,1.9,0.32,1992,4,1.88
18,22,5.09,0.11,1.4,1.01,0.83,0.28,1992,5,1.07
19,23,-1.17,0.61,-0.85,-0.09,0.27,0.32,1992,6,3.42
20,24,-4.1,-1.21,-1.37,2.82,-0.46,0.31,1992,7,2.63
21,25,-0.8,-1.3,-0.51,1.26,-1.5,0.26,1992,8,3.93
22,26,-2.99,-3.63,-1.82,1.44,0.87,0.26,1992,9,4.13
23,27,-7.71,-2.42,1.2,-2.98,-1.16,0.23,1992,10,-3.21
24,28,-0.65,-2.65,-0.13,0.57,1.17,0.23,1992,11,-0.31
25,29,1.22,-0.24,-1.17,2.05,0.69,0.28,1992,12,1.17
26,30,0.63,3.34,2.95,-1.23,1.12,0.23,1993,1,-1.36
27,31,1.11,-0.75,1.74,-0.74,0.31,0.22,1993,2,-1.36
28,32,5.43,1.31,0.86,-0.1,2.67,0.25,1993,3,2.89
29,33,1.92,3.59,1.93,-1.61,1.05,0.24,1993,4,-1.98
30,34,0.91,0.34,1.5,-0.44,0.96,0.22,1993,5,1.02
31,35,-3.23,-1.48,1.53,-0.93,1.94,0.25,1993,6,1.83
32,36,1.03,-0.77,3.0,-0.91,1.2,0.24,1993,7,0.42
33,37,8.61,0.87,2.31,0.54,-0.3,0.25,1993,8,-1.31
34,38,-0.64,0.98,0.04,0.72,0.46,0.26,1993,9,1.91
35,39,2.46,-1.83,0.76,0.63,-0.26,0.22,1993,10,1.76
36,40,-2.31,0.74,-1.59,0.75,0.83,0.25,1993,11,-0.83
37,41,7.16,-2.19,2.61,-0.47,0.54,0.23,1993,12,1.09
38,42,5.89,5.97,4.34,-2.53,2.73,0.25,1994,1,2.25
39,43,-3.46,4.19,1.01,0.44,1.31,0.21,1994,2,-0.93
40,44,-2.8,1.48,1.79,0.65,-0.23,0.27,1994,3,-2.5
41,45,3.79,-0.51,1.48,-0.9,0.74,0.27,1994,4,-0.02
42,46,-4.0,1.86,0.53,-0.53,0.58,0.32,1994,5,-0.08
43,47,-1.16,-0.28,-1.0,0.51,0.31,0.31,1994,6,-1.02
44,48,4.66,-2.96,1.06,1.06,0.55,0.28,1994,7,0.3
45,49,1.9,-0.68,-2.62,3.04,-0.58,0.37,1994,8,-0.55
46,50,-3.58,2.71,0.31,-0.15,-0.13,0.37,1994,9,1.15
47,51,3.59,-2.94,-0.33,1.47,-0.18,0.38,1994,10,0.28
48,52,-4.54,-0.41,0.45,-1.17,-0.42,0.37,1994,11,-1.18
49,53,0.02,0.3,-0.58,0.57,-0.35,0.44,1994,12,0.88
50,54,-1.55,1.62,0.96,0.29,0.27,0.42,1995,1,2.2
51,55,1.97,-0.62,-0.76,0.82,-0.78,0.4,1995,2,1.61
52,56,3.45,-1.62,-2.47,2.76,-0.23,0.46,1995,3,-0.23
53,57,2.56,-1.64,0.4,-0.01,-1.08,0.45,1995,4,0.0
54,58,1.76,-0.21,0.46,0.16,-0.97,0.54,1995,5,-0.61
55,59,1.0,0.14,-0.63,0.78,-0.94,0.47,1995,6,3.4
56,60,3.99,-1.54,-1.03,1.81,-1.75,0.45,1995,7,0.97
57,61,-4.05,1.14,-2.29,2.12,-0.14,0.47,1995,8,1.89
58,62,2.37,-0.55,-1.93,0.89,-0.92,0.43,1995,9,5.82
59,63,-0.71,-0.95,-0.29,-0.16,-0.46,0.47,1995,10,4.58
60,64,-0.32,-3.3,0.78,-0.05,0.78,0.42,1995,11,2.15
61,65,1.84,-1.19,1.03,-1.78,-0.54,0.49,1995,12,-0.34
62,66,0.44,0.06,0.12,1.75,-0.03,0.43,1996,1,-0.73
63,67,1.88,1.65,0.21,2.56,-0.64,0.39,1996,2,1.76
64,68,0.89,0.42,0.51,0.77,0.56,0.39,1996,3,2.6
65,69,0.62,0.56,0.37,0.19,-0.04,0.46,1996,4,1.17
66,70,1.5,1.78,-0.28,1.97,-0.67,0.42,1996,5,2.09
67,71,0.22,-0.51,0.33,0.66,0.63,0.4,1996,6,1.29
68,72,-1.79,-0.13,0.97,-0.28,0.06,0.45,1996,7,-2.0
69,73,2.26,-0.85,-1.49,1.83,-1.32,0.41,1996,8,2.63
70,74,1.17,-2.61,0.49,1.26,-0.19,0.44,1996,9,2.42
71,75,1.55,0.98,-1.3,1.49,-1.22,0.42,1996,10,3.47
72,76,4.08,-2.53,1.01,0.26,-0.19,0.41,1996,11,1.37
73,77,2.01,0.17,0.75,1.06,0.42,0.46,1996,12,1.64
74,78,-0.35,0.74,2.01,-1.0,1.02,0.45,1997,1,0.78
75,79,0.68,0.6,-0.25,-0.29,-1.32,0.39,1997,2,0.56
76,80,2.04,-0.96,1.09,0.11,1.52,0.43,1997,3,-0.95
77,81,-0.75,-1.38,0.19,1.11,0.26,0.43,1997,4,2.06
78,82,4.14,-1.16,1.1,-1.25,-0.3,0.49,1997,5,2.22
79,83,3.66,-3.45,1.04,0.32,1.41,0.37,1997,6,0.92
80,84,3.12,-5.44,1.81,-0.95,-0.01,0.43,1997,7,2.54
81,85,-5.29,5.86,-0.87,1.15,1.41,0.41,1997,8,-2.23
82,86,8.74,-3.57,2.67,0.73,-0.06,0.44,1997,9,3.92
83,87,-4.88,4.09,0.89,-0.37,-0.01,0.42,1997,10,-1.44
84,88,0.75,-2.99,-0.49,0.42,-1.93,0.39,1997,11,-0.53
85,89,2.26,-3.5,1.95,-0.99,-0.94,0.48,1997,12,2.92
86,90,3.16,-1.29,0.46,-1.18,0.72,0.43,1998,1,3.95
87,91,7.49,-1.77,1.0,-1.55,-0.85,0.39,1998,2,1.39
88,92,6.91,1.78,4.53,-0.17,-0.66,0.39,1998,3,2.17
89,93,2.19,1.51,-0.56,1.86,-2.11,0.43,1998,4,-1.27
90,94,2.22,2.39,1.01,0.54,-1.96,0.4,1998,5,0.98
91,95,-0.5,-3.39,-1.88,2.27,-1.57,0.41,1998,6,2.36
92,96,1.53,-3.31,1.5,-2.09,-4.22,0.4,1998,7,6.33
93,97,-12.08,1.51,-2.51,1.82,4.31,0.43,1998,8,-1.87
94,98,-4.84,0.59,-2.7,0.11,4.84,0.46,1998,9,-5.14
95,99,6.59,-5.65,0.83,-0.22,-1.9,0.32,1998,10,0.24
96,100,4.24,-3.0,0.72,-1.09,-2.61,0.31,1998,11,2.94
97,101,2.88,-2.68,-1.89,0.85,0.08,0.38,1998,12,4.84
98,102,-0.43,-0.02,-2.07,1.69,-3.57,0.35,1999,1,5.95
99,103,-2.19,2.47,-1.1,2.16,1.81,0.35,1999,2,-1.92
100,104,-0.03,-0.28,1.38,-0.71,1.58,0.43,1999,3,-7.9
101,105,2.95,0.85,1.87,0.35,-0.32,0.37,1999,4,-7.45
102,106,-3.8,4.37,0.11,0.19,1.79,0.34,1999,5,3.37
103,107,1.71,0.15,0.52,0.39,-1.48,0.4,1999,6,1.12
104,108,1.12,3.39,0.35,-0.81,1.35,0.38,1999,7,3.64
105,109,1.34,3.32,-1.09,-1.56,-3.27,0.39,1999,8,4.8
106,110,-0.32,1.34,-1.8,-1.59,-1.89,0.39,1999,9,1.62
107,111,1.72,-1.12,-3.81,2.2,-1.49,0.39,1999,10,5.68
108,112,2.76,-0.42,-9.05,2.93,-5.48,0.36,1999,11,12.67
109,113,9.26,-4.95,-4.26,4.57,-6.16,0.44,1999,12,6.12
110,114,-7.12,8.83,-6.12,2.65,-4.28,0.41,2000,1,6.16
111,115,5.87,0.83,-9.5,3.63,-7.3,0.43,2000,2,8.55
112,116,0.66,-5.11,3.23,-2.64,4.92,0.47,2000,3,-11.29
113,117,-5.58,-4.57,5.8,-1.55,1.31,0.46,2000,4,-9.15
114,118,-0.07,0.19,6.06,-3.49,4.89,0.5,2000,5,-6.83
115,119,0.68,0.33,3.21,-3.42,1.22,0.4,2000,6,-0.52
116,120,-1.58,-0.68,3.3,-0.15,-0.11,0.48,2000,7,-1.03
117,121,-1.57,0.63,-0.38,-1.32,0.57,0.5,2000,8,3.29
118,122,-4.99,2.33,2.64,1.6,2.16,0.51,2000,9,-4.09
119,123,-2.7,-6.17,7.63,2.6,4.11,0.56,2000,10,-4.79
120,124,-4.55,-0.8,11.16,0.81,8.77,0.51,2000,11,-4.99
121,125,5.68,0.35,3.32,-0.47,0.66,0.5,2000,12,0.87
122,126,0.39,1.75,0.69,-0.91,0.82,0.54,2001,1,-6.64
123,127,-8.69,4.67,9.42,-1.67,6.8,0.38,2001,2,7.67
124,128,-9.34,-0.68,5.83,2.51,2.67,0.42,2001,3,4.01
125,129,7.4,-3.49,-3.15,2.68,-1.93,0.39,2001,4,-4.07
126,130,-5.03,2.81,4.23,-0.25,3.36,0.32,2001,5,6.66
127,131,-3.65,-0.77,6.21,-1.07,5.31,0.28,2001,6,9.45
128,132,-0.7,-1.64,3.81,2.32,3.45,0.3,2001,7,1.52
129,133,-2.03,2.26,4.14,1.43,5.05,0.31,2001,8,8.23
130,134,-11.56,-4.76,2.34,1.09,3.31,0.28,2001,9,9.81
131,135,3.24,1.34,-3.29,-1.78,-5.42,0.22,2001,10,-6.66
132,136,4.09,1.93,-1.1,-2.29,-4.37,0.17,2001,11,-9.67
133,137,1.82,-1.54,1.4,2.54,0.86,0.15,2001,12,2.73
134,138,-4.7,3.23,1.83,3.13,2.58,0.14,2002,1,5.97
135,139,0.41,-0.02,1.74,2.85,4.65,0.13,2002,2,5.94
136,140,5.08,-0.48,0.74,0.39,-0.29,0.13,2002,3,-2.54
137,141,-0.32,3.37,4.76,1.39,5.28,0.15,2002,4,6.0
138,142,0.43,1.99,4.7,0.16,2.61,0.14,2002,5,4.84
139,143,-2.48,1.76,2.42,2.6,4.63,0.13,2002,6,8.09
140,144,-10.59,2.43,3.15,1.51,0.44,0.15,2002,7,4.71
141,145,0.14,-1.83,2.11,0.75,-0.34,0.14,2002,8,2.17
142,146,-13.17,3.29,-1.9,6.4,0.52,0.14,2002,9,13.65
143,147,8.58,-7.33,-0.84,-4.88,0.13,0.14,2002,10,-6.13
144,148,4.89,-0.76,2.16,-5.0,0.55,0.12,2002,11,-8.86
145,149,-2.76,4.19,3.24,2.24,0.16,0.11,2002,12,10.97
146,150,-3.45,2.42,2.52,-0.88,1.05,0.1,2003,1,2.04
147,151,-3.35,0.53,1.66,0.23,-0.63,0.09,2003,2,6.2
148,152,-1.49,0.86,-0.51,1.6,0.53,0.1,2003,3,2.23
149,153,13.12,-2.25,0.24,-3.68,-0.05,0.1,2003,4,-14.47
150,154,7.66,2.92,1.12,-1.3,0.2,0.09,2003,5,-2.39
151,155,1.17,1.98,0.42,0.69,-0.42,0.1,2003,6,-4.68
152,156,1.71,1.19,3.88,-3.59,2.16,0.07,2003,7,-4.59
153,157,0.19,3.26,0.01,1.02,1.06,0.07,2003,8,-2.35
154,158,2.8,2.82,0.07,0.37,-0.11,0.08,2003,9,0.94
155,159,6.2,-0.81,3.66,-2.92,2.25,0.07,2003,10,5.59
156,160,4.49,0.15,0.41,-0.11,0.88,0.07,2003,11,-0.09
157,161,7.32,-1.92,0.49,0.42,-0.2,0.08,2003,12,-0.69
