,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
210,-4.9,-0.51,3.85,-3.38,2.46,0.21,2008,1
211,1.01,1.84,-0.64,-0.63,-1.51,0.13,2008,2
212,-3.71,3.06,1.7,-1.6,4.36,0.17,2008,3
213,6.22,-6.46,-1.29,0.51,-1.41,0.18,2008,4
214,2.03,1.64,1.18,2.09,0.54,0.18,2008,5
215,-6.61,1.62,3.68,-1.85,4.02,0.17,2008,6
216,-3.12,-1.32,2.31,-1.5,5.77,0.15,2008,7
217,-4.36,-2.58,1.13,-0.38,1.89,0.13,2008,8
218,-10.5,1.49,5.22,-3.84,5.01,0.15,2008,9
219,-13.55,4.67,4.53,-2.59,7.54,0.08,2008,10
220,0.05,4.2,-0.03,0.29,3.4,0.03,2008,11
221,8.57,0.8,0.26,-0.77,1.57,0.0,2008,12
222,-6.5,3.24,-0.1,-0.84,-0.32,0.0,2009,1
223,-11.93,-1.08,0.6,0.97,-0.75,0.01,2009,2
224,1.3,0.55,0.72,-1.69,-4.22,0.02,2009,3
225,8.05,-4.46,-1.39,1.91,-5.78,0.01,2009,4
226,10.89,2.14,-3.44,1.18,-4.59,0.0,2009,5
227,2.85,4.92,0.05,0.0,-1.17,0.01,2009,6
228,4.06,-1.3,0.61,3.53,-0.84,0.01,2009,7
229,3.4,3.13,-0.39,0.13,-0.77,0.01,2009,8
230,-0.84,1.83,-4.82,2.76,-1.99,0.01,2009,9
231,-2.29,-0.52,1.23,1.76,-1.47,0.0,2009,10
232,-2.0,-3.6,-4.0,-0.8,-0.2,0.0,2009,11
233,0.22,-2.66,6.21,3.44,1.41,0.01,2009,12
234,2.34,0.55,0.28,-0.63,-0.71,0.0,2010,1
235,0.76,0.84,-1.33,-0.23,-0.15,0.0,2010,2
236,4.83,-0.33,6.13,1.52,0.14,0.01,2010,3
237,0.53,4.88,1.07,0.5,0.47,0.01,2010,4
238,-7.93,1.4,-3.5,0.88,-0.23,0.01,2010,5
239,-0.64,1.57,-3.18,-0.4,-0.16,0.01,2010,6
240,2.94,-1.51,-1.36,-0.12,0.5,0.01,2010,7
241,-2.61,-0.72,0.71,2.07,-4.19,0.01,2010,8
242,4.69,-0.72,-1.59,-0.02,4.25,0.01,2010,9
243,1.23,-3.66,-0.85,1.3,-0.36,0.01,2010,10
244,1.97,0.84,0.28,-1.87,4.18,0.01,2010,11
245,7.55,3.12,1.33,-2.0,1.28,0.01,2010,12
246,0.4,1.98,0.97,-0.54,2.14,0.01,2011,1
247,4.83,-0.13,1.09,-1.07,0.25,0.01,2011,2
248,-8.67,2.89,1.32,0.84,-0.65,0.01,2011,3
249,0.78,-1.26,-1.91,1.56,-0.77,0.0,2011,4
250,-1.62,-0.27,-0.12,0.39,0.05,0.0,2011,5
251,2.52,1.85,2.28,0.47,0.08,0.0,2011,6
252,4.03,0.64,-0.42,0.98,-0.44,0.0,2011,7
253,-7.51,4.77,0.26,1.72,-1.06,0.01,2011,8
254,-0.46,-0.44,3.36,0.02,-1.29,0.0,2011,9
255,-1.19,-2.35,-2.43,1.02,1.33,0.0,2011,10
256,-3.78,2.15,0.43,-0.71,2.02,0.0,2011,11
257,1.25,1.24,1.42,0.53,-0.07,0.0,2011,12
258,4.28,2.33,2.47,-4.29,2.62,0.0,2012,1
259,3.5,-3.14,0.45,-2.0,-0.38,0.0,2012,2
260,1.41,1.55,-0.68,2.05,0.13,0.0,2012,3
261,-1.78,3.44,-2.29,2.86,-1.43,0.0,2012,4
262,-8.41,0.5,-0.71,1.44,-1.11,0.01,2012,5
263,4.71,-0.89,1.15,-1.32,0.76,0.0,2012,6
264,-1.83,0.15,-3.41,0.21,-1.64,0.0,2012,7
265,-0.65,-0.04,-2.66,0.8,0.36,0.01,2012,8
266,2.27,-0.5,1.11,-1.6,-0.74,0.01,2012,9
267,-1.9,0.56,-1.65,0.83,0.96,0.01,2012,10
268,1.71,-0.56,0.84,-0.36,0.88,0.01,2012,11
269,3.83,-1.77,7.07,-4.57,2.66,0.01,2012,12
270,3.78,1.64,-1.1,0.52,0.24,0.0,2013,1
271,2.86,0.23,-0.74,-0.11,-0.12,0.0,2013,2
272,5.5,4.21,-3.64,1.2,-1.4,0.0,2013,3
273,8.95,1.51,-4.3,-0.62,-0.17,0.0,2013,4
274,-5.3,-0.17,-3.22,3.13,-2.29,0.0,2013,5
275,0.83,-6.24,3.56,0.09,1.46,0.0,2013,6
276,1.42,2.93,-0.48,1.05,-0.67,0.0,2013,7
277,-2.55,0.24,0.61,-0.45,-0.51,0.0,2013,8
278,8.79,2.4,-0.71,-1.76,0.63,0.0,2013,9
279,-0.23,0.26,0.27,0.23,-0.25,0.0,2013,10
280,1.08,-2.44,0.5,0.61,0.35,0.0,2013,11
281,0.8,0.46,-0.07,0.87,-0.26,0.0,2013,12
282,-2.66,5.67,-0.82,1.48,-0.57,0.0,2014,1
283,-0.56,-2.35,0.79,0.68,0.91,0.0,2014,2
284,-1.16,1.56,0.96,-1.3,-0.47,0.0,2014,3
285,-2.33,0.4,0.27,2.08,-0.31,0.0,2014,4
286,3.79,-1.28,-1.29,0.3,1.53,0.0,2014,5
287,5.76,2.71,-0.06,-0.56,0.27,0.0,2014,6
288,0.77,0.35,-0.25,1.55,1.1,0.0,2014,7
289,-1.99,2.78,0.86,-0.5,1.18,0.0,2014,8
290,-1.05,-1.52,-0.3,0.0,-0.09,0.0,2014,9
291,-2.13,-2.85,-0.1,0.28,0.63,0.0,2014,10
292,-0.05,-1.42,-0.45,-0.61,-1.58,0.0,2014,11
293,-0.85,1.98,1.86,-0.27,0.38,0.0,2014,12
294,2.8,-0.21,-0.23,2.95,1.2,0.0,2015,1
295,5.42,-4.13,1.95,-1.64,-0.04,0.0,2015,2
296,1.9,0.33,-3.12,1.75,-2.33,0.0,2015,3
297,3.49,-1.02,3.23,-1.56,1.02,0.0,2015,4
298,0.89,-1.41,1.23,-0.94,0.2,0.0,2015,5
299,-0.68,3.61,-2.24,2.1,-0.15,0.0,2015,6
300,0.92,-0.86,-1.54,2.35,1.42,0.0,2015,7
301,-5.3,2.08,1.64,-1.19,2.66,0.0,2015,8
302,-6.21,3.02,1.34,-0.02,-0.01,0.0,2015,9
303,9.26,-4.82,0.88,0.07,-1.47,0.0,2015,10
304,-0.16,2.53,-2.48,1.74,-2.45,0.0,2015,11
305,0.42,0.71,-0.57,0.79,1.09,0.01,2015,12
306,-7.58,0.66,-1.27,2.79,1.8,0.01,2016,1
307,-1.94,1.85,-4.95,0.91,1.52,0.02,2016,2
308,5.06,3.5,-2.97,0.39,-2.64,0.02,2016,3
309,5.14,-0.8,-0.23,-1.65,-0.27,0.01,2016,4
310,-1.04,0.7,-0.81,-0.21,-1.28,0.01,2016,5
311,-2.47,2.24,-3.55,2.19,0.89,0.02,2016,6
312,6.72,-0.97,6.44,-2.89,-1.05,0.02,2016,7
313,-1.17,-2.05,4.6,-0.54,-1.73,0.02,2016,8
314,2.67,3.95,-3.51,0.99,1.17,0.02,2016,9
