,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
0,0.1,6.27,3.63,0.6,0.24,0.68,1990,7
1,-11.88,-4.97,0.33,1.71,-0.96,0.66,1990,8
2,-17.38,0.64,0.14,-1.12,-0.11,0.6,1990,9
3,24.9,0.71,-4.55,-0.12,4.75,0.68,1990,10
4,-14.12,-5.2,-0.2,3.86,-2.18,0.57,1990,11
5,1.93,-6.11,-3.61,1.23,1.87,0.6,1990,12
6,1.19,-7.73,0.24,2.18,0.68,0.52,1991,1
7,12.29,11.32,0.8,-5.69,0.74,0.48,1991,2
8,-4.21,3.8,0.4,1.67,-1.26,0.44,1991,3
9,2.18,1.41,1.5,0.65,-0.48,0.53,1991,4
10,-2.03,-0.74,0.4,0.75,-0.12,0.47,1991,5
11,-7.09,1.58,3.57,1.36,0.29,0.42,1991,6
12,1.39,-3.25,1.0,0.87,0.3,0.49,1991,7
13,-7.24,-5.12,-0.84,-0.04,0.07,0.46,1991,8
14,8.66,1.79,0.08,-2.51,1.45,0.46,1991,9
15,4.06,2.15,-3.42,-2.29,0.06,0.42,1991,10
16,-8.52,-2.56,-0.35,0.11,0.4,0.39,1991,11
17,2.5,0.98,-0.09,-0.21,1.38,0.38,1991,12
18,-5.67,-0.93,1.91,0.84,1.07,0.34,1992,1
19,-7.22,3.01,-0.7,1.07,2.51,0.28,1992,2
20,-11.45,-1.11,2.31,1.13,-0.63,0.34,1992,3
21,-7.7,-3.44,5.45,4.67,0.95,0.32,1992,4
22,8.73,5.38,-2.41,-1.36,-0.19,0.28,1992,5
23,-9.05,0.13,2.49,2.35,1.12,0.32,1992,6
24,-3.27,-5.71,-1.12,-3.02,4.36,0.31,1992,7
25,16.37,-5.18,-6.59,-4.42,0.1,0.26,1992,8
26,-2.86,3.46,-0.14,-2.12,1.17,0.26,1992,9
27,-5.39,-1.47,1.18,1.13,-0.43,0.23,1992,10
28,1.85,-3.22,-1.4,0.05,0.83,0.23,1992,11
29,-1.03,2.25,2.33,2.16,-0.23,0.28,1992,12
30,-0.87,-1.78,0.28,-0.13,0.51,0.23,1993,1
31,4.35,1.93,-0.16,-0.03,-0.34,0.22,1993,2
32,15.84,0.24,3.7,1.55,-0.99,0.25,1993,3
33,16.68,1.21,3.81,-1.51,0.83,0.24,1993,4
34,4.96,12.23,-1.83,-3.38,1.67,0.22,1993,5
35,-4.19,-2.76,-2.67,-2.03,1.51,0.25,1993,6
36,6.71,-4.69,0.36,0.07,0.31,0.24,1993,7
37,2.15,-0.48,0.32,-0.4,-0.91,0.25,1993,8
38,-5.2,1.01,-0.65,3.58,-3.52,0.26,1993,9
39,-2.56,-7.44,0.19,0.89,1.21,0.22,1993,10
40,-16.22,-1.52,-0.37,4.64,-4.9,0.25,1993,11
41,2.0,-0.63,2.81,-2.18,2.39,0.23,1993,12
42,16.87,1.07,3.59,-4.3,3.25,0.25,1994,1
43,3.88,1.14,2.46,0.01,0.22,0.21,1994,2
44,-2.23,5.57,2.01,-2.44,0.51,0.27,1994,3
