,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month
210,-6.38,-1.02,5.15,-0.45,2.38,0.21,2008,1
211,-2.24,0.38,-0.22,1.89,-1.66,0.13,2008,2
212,-1.3,0.02,0.39,1.1,1.77,0.17,2008,3
213,4.73,-1.82,0.07,2.38,-2.34,0.18,2008,4
214,2.41,2.86,-2.74,1.92,-0.87,0.18,2008,5
215,-7.9,0.99,-2.8,5.33,-1.43,0.17,2008,6
216,-1.54,2.57,1.69,-2.95,3.79,0.15,2008,7
217,1.0,2.32,1.07,2.01,2.09,0.13,2008,8
218,-9.96,-0.8,4.07,-1.39,5.19,0.15,2008,9
219,-18.41,-3.83,-0.48,2.44,3.16,0.08,2008,10
220,-7.74,-4.64,-3.11,2.59,2.59,0.03,2008,11
221,1.5,4.53,-1.57,0.1,-1.41,0.0,2008,12
222,-7.52,-1.64,-7.26,2.01,-3.0,0.0,2009,1
223,-9.89,-1.11,-5.54,1.21,-2.19,0.01,2009,2
224,8.81,0.25,1.01,-1.84,-1.91,0.02,2009,3
225,10.49,6.36,4.25,1.35,-0.99,0.01,2009,4
226,6.68,-1.59,-0.08,-1.62,-3.32,0.0,2009,5
227,-0.22,1.54,-3.08,-0.45,0.44,0.01,2009,6
228,8.14,2.17,4.59,-0.65,1.67,0.01,2009,7
229,3.02,0.18,5.49,-1.96,2.43,0.01,2009,8
230,4.54,3.27,1.51,1.48,-1.33,0.01,2009,9
231,-2.75,-3.54,-2.6,3.87,-0.87,0.0,2009,10
232,5.76,-2.09,-0.15,0.5,-0.92,0.0,2009,11
233,3.02,5.53,0.19,0.9,-0.47,0.01,2009,12
234,-3.63,0.55,0.64,-1.41,1.86,0.0,2010,1
235,3.71,1.32,2.73,-0.24,0.04,0.0,2010,2
236,6.27,1.69,1.4,-1.21,0.69,0.01,2010,3
237,1.92,4.13,2.06,0.98,1.24,0.01,2010,4
238,-7.86,0.28,-2.2,0.33,0.3,0.01,2010,5
239,-5.5,-1.75,-3.82,-0.15,-0.63,0.01,2010,6
240,6.95,0.09,1.08,0.2,2.02,0.01,2010,7
241,-4.45,-1.9,-2.17,0.7,-3.13,0.01,2010,8
242,9.47,3.57,-1.83,-0.21,-0.12,0.01,2010,9
243,3.89,0.8,-1.4,0.83,0.11,0.01,2010,10
244,0.81,3.81,0.04,-0.15,0.67,0.01,2010,11
245,6.83,1.25,3.45,-3.64,2.48,0.01,2010,12
246,1.98,-2.06,1.33,0.13,1.24,0.01,2011,1
247,4.01,1.89,0.4,-1.93,-0.39,0.01,2011,2
248,0.43,2.16,-1.72,2.19,0.76,0.01,2011,3
249,2.79,-0.03,-2.28,1.24,-0.6,0.0,2011,4
250,-1.48,-0.96,-1.45,2.71,-0.73,0.0,2011,5
251,-1.87,-0.4,-0.23,2.71,0.09,0.0,2011,6
252,-2.28,-0.71,-1.96,1.93,-1.91,0.0,2011,7
253,-5.92,-2.85,-1.85,1.67,-0.66,0.01,2011,8
254,-8.57,-3.87,-0.55,2.66,0.25,0.0,2011,9
255,11.56,3.21,-0.05,-1.07,-0.16,0.0,2011,10
256,-0.46,-0.63,-0.24,1.73,1.06,0.0,2011,11
257,0.33,-0.5,2.89,0.0,2.94,0.0,2011,12
258,5.27,2.22,-2.95,-1.6,-1.46,0.0,2012,1
259,4.32,-1.32,0.14,0.42,0.14,0.0,2012,2
260,2.4,-1.14,0.72,-0.85,1.42,0.0,2012,3
261,-0.64,-0.96,-0.3,1.06,0.52,0.0,2012,4
262,-6.69,-0.42,0.44,2.01,2.74,0.01,2012,5
263,3.74,0.5,0.34,-0.98,0.72,0.0,2012,6
264,1.01,-2.24,0.72,0.77,0.1,0.0,2012,7
265,2.76,0.79,0.24,-1.12,-1.12,0.01,2012,8
266,2.8,0.88,0.68,-1.68,0.75,0.01,2012,9
267,-1.63,-0.37,3.72,-0.93,2.27,0.01,2012,10
268,0.65,-0.05,-0.73,0.76,0.86,0.01,2012,11
269,1.3,1.98,3.03,-1.59,0.7,0.01,2012,12
270,5.33,0.51,1.54,-0.75,2.22,0.0,2013,1
271,0.96,-0.91,-0.01,0.19,1.09,0.0,2013,2
272,3.71,0.82,-0.15,0.78,1.86,0.0,2013,3
273,1.27,-2.69,-0.02,0.38,0.99,0.0,2013,4
274,2.53,1.55,1.12,-1.19,-0.99,0.0,2013,5
275,-1.52,0.99,0.52,-0.26,0.14,0.0,2013,6
276,5.69,1.7,-0.24,-1.22,-0.23,0.0,2013,7
277,-2.53,0.24,-2.13,0.78,-2.32,0.0,2013,8
278,3.82,2.01,-1.42,0.09,-1.29,0.0,2013,9
279,4.09,-1.55,0.65,1.73,0.62,0.0,2013,10
280,2.79,0.89,-0.53,0.51,0.62,0.0,2013,11
