,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,ME1 INV5,ME1 INV6,ME1 INV7,ME1 INV8,ME1 INV9,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME2 INV6,ME2 INV7,ME2 INV8,ME2 INV9,ME2 INV10,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME3 INV6,ME3 INV7,ME3 INV8,ME3 INV9,ME3 INV10,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,ME4 INV6,ME4 INV7,ME4 INV8,ME4 INV9,ME4 INV10,ME5 INV1,ME5 INV2,ME5 INV3,ME5 INV4,ME5 INV5,ME5 INV6,ME5 INV7,ME5 INV8,ME5 INV9,ME5 INV10,ME6 INV1,ME6 INV2,ME6 INV3,ME6 INV4,ME6 INV5,ME6 INV6,ME6 INV7,ME6 INV8,ME6 INV9,ME6 INV10,ME7 INV1,ME7 INV2,ME7 INV3,ME7 INV4,ME7 INV5,ME7 INV6,ME7 INV7,ME7 INV8,ME7 INV9,ME7 INV10,ME8 INV1,ME8 INV2,ME8 INV3,ME8 INV4,ME8 INV5,ME8 INV6,ME8 INV7,ME8 INV8,ME8 INV9,ME8 INV10,ME9 INV1,ME9 INV2,ME9 INV3,ME9 INV4,ME9 INV5,ME9 INV6,ME9 INV7,ME9 INV8,ME9 INV9,ME9 INV10,BIG LoINV,ME10 INV2,ME10 INV3,ME10 INV4,ME10 INV5,ME10 INV6,ME10 INV7,ME10 INV8,ME10 INV9,BIG HiINV,Year,Month
534,-7.2288,-5.4217,-4.7003,-5.1627,-4.1374,-5.9417,-4.503,-6.6974,-6.9198,-11.2389,-11.0774,-4.4553,-4.9844,-5.9594,-5.8888,-0.4026,-6.3898,-11.8787,-9.8334,-11.7835,-9.2133,-5.9378,-9.0599,-4.3602,-5.6846,-3.8079,-9.1178,-3.7779,-8.397,-10.3612,0.2247,-9.4948,-1.3014,-6.043,-6.9977,-4.5391,-2.2482,-8.8895,-7.979,-11.97,-7.8041,-0.941,-0.9044,-11.2836,-4.8429,-0.1327,-5.3956,-8.0452,-5.4496,-7.8776,-6.104,-2.8203,-4.7891,-7.58,-6.0521,-3.8678,-4.4044,-5.4244,-10.0114,-9.2172,-1.6856,-1.0907,-6.096,-3.9852,-8.5344,-1.1884,-4.3854,-6.0867,-4.8217,-9.2533,-7.3869,-6.9753,-5.2934,-6.9303,-6.4173,-5.7375,-6.1853,-2.9992,-5.2554,-12.6315,-5.1296,-3.4559,-4.3181,-2.6902,-4.3794,-8.6976,-2.1392,-11.1801,-10.2402,-4.6414,-5.93,-4.6775,-10.0862,-5.5134,-7.0124,-6.4494,-1.7581,-3.0334,-3.4473,-12.0804,2008,1
535,-3.8618,-1.986,-2.5933,-3.6859,-3.3007,-3.02,-2.0004,-3.114,-3.5676,-3.9669,-5.1935,-8.7259,-3.7642,-6.8613,-5.9177,-5.7263,-2.6774,-5.1393,-4.5973,-6.2945,-6.4246,2.1107,-6.2834,-4.0028,3.4015,-1.1334,-3.4814,-0.1033,-1.3573,-3.7225,4.2178,-12.4715,-8.9871,0.4663,-3.5585,-5.9577,-3.1343,-4.0505,-1.6525,-4.2654,-4.124,-7.892,-6.3552,-3.1363,-4.7552,-4.086,-3.6608,-4.5409,-2.7792,-2.2662,4.9486,-5.089,-3.6094,-0.3943,1.7634,-4.9457,-3.2575,3.3044,-0.7883,1.2942,-7.2348,-7.7527,3.3058,-3.6229,-6.981,-3.157,-1.334,-2.9401,2.7374,3.7418,-7.397,-2.9031,-4.567,-2.6159,-0.8318,-5.8961,1.6631,-5.9389,0.6439,0.5985,-0.1243,-4.8335,-3.0894,-0.662,-5.4714,-2.6511,-2.932,-2.2287,2.2535,-4.5998,-0.5997,-3.8102,-7.0593,-2.7437,2.1066,-2.37,-4.4873,-6.179,-2.4073,-5.2827,2008,2
536,-2.8297,0.912,-1.6518,-1.2416,0.737,3.7575,0.0878,-1.1319,-3.8044,-7.4665,-0.2747,2.6224,2.0586,6.9538,0.4065,3.1234,1.7298,0.9016,-0.877,-5.6445,0.6711,3.1302,5.8392,3.0017,2.6375,0.1412,-1.328,3.5945,-2.4242,-0.7656,0.3379,1.8686,4.4134,-0.9836,0.9847,2.0037,3.0582,-0.8656,-1.0841,0.835,-2.3808,-5.1637,-1.3533,-5.8319,-1.1395,0.771,0.4269,-0.2584,0.1193,-1.2091,-0.8487,-0.2475,-0.8933,-0.7523,-1.6372,-2.8991,-1.5833,-1.4569,1.1998,-1.1736,-0.8514,-1.3676,-1.1866,-1.8622,-5.2602,-3.5494,-1.4691,0.5096,-7.7564,-4.3277,-1.8439,-0.7178,-2.2425,-2.7111,1.942,-0.6637,-4.0456,-1.4603,1.3326,0.5729,-3.107,0.7876,-1.9901,-2.5594,-0.2333,1.3046,-1.6155,-5.7195,-3.6289,-3.324,-3.9773,0.5169,-4.0113,2.9783,-1.1363,-0.7418,0.2408,-1.3035,-2.0305,3.505,2008,3
537,-0.3998,1.7648,1.3791,0.3277,-0.1487,2.2667,0.1481,-0.652,2.2492,3.5711,4.3582,-2.3019,-1.5283,2.5102,1.6658,2.0574,2.7777,4.481,3.8023,4.6823,-0.6428,3.756,1.1293,1.2622,1.6865,5.053,4.3395,-0.8198,5.4375,1.8555,5.195,4.0962,0.3982,1.6261,0.4521,2.8725,2.792,7.3043,4.4431,2.6052,15.0196,9.6107,2.353,7.6883,6.6483,5.0052,2.9232,8.5836,2.6574,7.4045,6.5233,8.404,6.678,5.9295,9.1444,14.8642,11.5595,10.7386,12.2724,8.0427,0.3418,8.1521,6.3967,4.0822,5.2881,6.1196,4.243,6.8328,5.5335,7.0565,3.5799,5.8718,5.3246,3.8175,7.179,1.1754,4.4222,6.519,9.0804,8.2484,3.6065,4.2411,2.4909,11.3314,5.2495,5.3555,3.1521,11.4105,9.6067,7.1963,2.8792,0.4704,3.786,-2.7844,7.1228,1.512,5.8062,6.3166,4.4244,7.582,2008,4
538,3.3757,7.6178,0.3159,3.2436,0.5473,3.4342,3.7318,1.8141,4.8185,4.1823,4.9124,3.1102,4.3984,-1.0101,5.6653,0.4171,3.4882,4.4661,4.4356,3.9842,3.281,4.7556,7.2012,5.5817,4.1143,6.1535,3.7246,2.048,5.4052,7.1262,8.0843,1.7923,1.002,6.0469,7.8852,4.1812,6.06,9.0601,5.1333,7.2492,8.8558,3.7195,0.0616,5.9137,6.1853,6.2351,3.1309,4.0342,4.8218,8.1543,5.8297,0.9013,7.9343,3.876,4.1428,-3.8197,7.7196,5.0202,5.7151,6.9409,3.006,1.3256,9.2429,5.2226,4.0561,4.9071,5.7218,1.0533,9.3689,5.2183,2.8111,4.832,5.3289,4.2434,5.2742,4.6724,6.1959,0.4552,6.0872,2.2058,1.6669,1.2632,1.3194,2.3443,1.4638,5.5489,0.652,5.9381,5.3079,7.6967,3.1209,2.9253,2.7411,-1.6878,0.012,4.1864,-1.6319,-2.6901,0.0019,3.3671,2008,5
539,-8.531,-4.8043,-6.9121,-11.0534,-9.6415,-10.4359,-9.309,-8.6213,-5.614,-4.6156,-11.1878,-8.7718,-11.3822,-10.9872,-10.3558,-13.0344,-11.6408,-9.0505,-8.4455,-7.0986,-12.9733,-8.5888,-8.1967,-13.0948,-9.8928,-12.3967,-3.988,-11.1494,-9.267,-4.201,-2.1715,-13.424,-9.9784,-7.1302,-10.5515,-9.3479,-3.007,-4.7252,-7.2881,-4.2094,3.868,-9.6437,-12.231,-6.7804,-8.6965,-15.0545,-8.9074,-7.3386,-11.4698,-2.5766,-8.9678,-11.3294,-8.7938,-7.3769,-5.2703,-14.8605,-6.6573,-6.7744,-4.3886,-2.3851,-13.0741,-10.3683,-9.6456,-7.0933,-13.0016,-8.3431,-6.7827,-6.7181,-1.956,-3.842,-11.7303,-10.8875,-8.2235,-7.9872,-9.4057,-14.6777,-2.0873,-11.6432,-8.9406,-8.8315,-7.6664,-9.9328,-7.0278,-4.929,-8.0777,-3.3585,-7.5711,-6.1052,-4.5469,-8.3546,-11.4465,-6.4172,-9.6804,-10.0866,-4.528,-9.4557,-13.4023,-8.6549,-10.0249,-9.4262,2008,6
540,2.6277,0.9876,-0.1757,6.4133,6.9937,4.411,2.7664,4.1099,2.0025,1.0236,3.185,9.0111,7.2507,8.7424,12.7855,12.5462,5.1649,7.9064,4.4583,3.157,4.7729,6.2552,7.9559,5.7161,2.8975,8.4954,6.8411,2.3483,4.7019,1.4858,9.8794,5.3211,3.3809,4.8026,7.8387,6.492,4.902,2.0772,-0.068,1.1707,-3.5973,7.713,4.3668,1.4611,2.5917,-0.4871,1.2902,1.075,-2.1855,-1.3224,1.7042,0.3815,2.0795,3.5407,2.5993,-0.371,-0.2786,-0.6588,2.4299,0.4887,-5.9832,4.7392,-1.0016,-1.8482,6.563,2.4205,-5.2579,-5.2035,-7.701,-5.6627,-3.8717,-0.9687,0.4071,-5.9789,1.7051,-5.9378,1.3696,-1.4945,-3.6716,-10.106,0.3495,-1.4963,1.0721,0.8788,-2.312,0.4816,-2.5032,-5.681,-6.7271,-7.9204,-7.2912,0.6716,1.0386,3.173,0.2801,-2.7034,-3.231,6.1022,0.2486,-5.4131,2008,7
541,1.2546,4.642,2.3974,5.5036,6.1149,1.3457,3.4675,4.427,1.2412,0.1606,1.0995,3.8132,5.0015,4.4304,2.5011,6.8814,6.0784,14.6171,5.7938,-0.0509,6.3693,2.2678,6.6976,5.1142,4.1589,2.623,8.5998,3.6279,3.6127,4.5197,4.515,4.3756,3.7133,9.7097,6.4096,2.3245,4.5061,15.6361,6.3332,5.1033,2.2075,7.7322,0.7098,4.5025,3.7782,2.5656,5.4889,3.9278,4.3211,1.7401,5.6774,4.6703,4.9184,2.9302,0.8177,2.7207,4.0735,2.0947,4.3532,3.279,6.3497,-1.5613,3.1989,6.1119,2.6901,2.3307,2.5558,1.6481,0.2708,-1.2646,2.2264,0.2282,2.3186,0.3262,4.8998,4.1837,3.9305,3.2707,3.2517,-0.6038,1.6034,3.8686,-2.2869,1.5539,0.3169,2.2924,2.3879,0.3618,-10.2667,-1.4585,4.4821,2.3776,3.515,0.9461,1.9151,1.0855,0.7478,0.5902,0.3619,-0.0372,2008,8
542,-15.2411,-10.3598,-9.5332,-4.3617,-5.6378,-5.9883,-5.5787,-7.8835,-9.7924,-13.8036,-4.3514,-5.5239,-3.6154,-2.6823,-2.1698,-9.5006,-5.196,-10.0846,-7.9504,-13.3872,-14.4535,-3.7197,-6.183,-6.0777,-5.1087,-5.0107,-6.8866,-6.432,-7.2041,-10.4568,-12.3763,-5.4291,-5.2332,-3.334,-1.8513,-2.3746,-9.2216,-8.7022,-9.2261,-8.8758,-10.607,-8.168,-6.6621,-9.6726,-10.4852,-5.6295,-10.2685,-16.8973,-9.9089,-16.8877,-6.4073,-8.6972,-6.2244,-6.3799,-6.7925,-8.891,-11.8424,-17.4343,-10.398,-10.475,-10.2732,-8.4769,-11.6568,-2.9508,-6.4481,-11.0142,-5.6309,-16.5608,-16.4715,-17.5304,-11.2737,-14.7797,-10.92,-22.045,-11.9593,-7.4243,-12.0934,-11.624,-12.3211,-15.0646,-11.6789,-7.4892,-9.3513,-5.6629,-10.3412,-11.809,-11.0237,-14.9683,-12.7224,-20.5974,-6.8838,-24.2808,-7.1102,-10.3846,-10.3752,-4.8404,-9.3227,-2.1623,-11.3882,-15.2372,2008,9
543,-28.2085,-21.694,-20.9463,-19.2949,-9.2686,-17.3085,-19.5755,-20.3267,-19.8404,-21.8012,-28.8979,-18.6289,-15.3534,-20.6457,-19.4019,-15.4681,-18.4502,-17.8208,-21.635,-23.5839,-32.5372,-14.3307,-20.6965,-20.3018,-20.657,-22.0712,-17.3571,-22.6194,-21.6755,-24.7545,-27.1666,-23.2819,-21.6914,-18.3827,-14.2385,-19.4518,-20.1227,-20.6483,-25.9917,-20.8008,-19.6025,-11.7696,-19.198,-17.4805,-18.5556,-19.2069,-21.4936,-27.4812,-23.5903,-23.7555,-24.4679,-19.6606,-13.958,-12.3093,-18.5269,-18.7679,-20.1864,-24.5857,-19.8113,-25.7978,-23.3273,-10.5881,-22.8228,-21.3363,-24.8559,-19.1611,-25.1697,-19.4396,-23.8233,-29.6947,-24.8215,-20.4099,-19.3883,-27.7445,-9.6936,-15.7793,-19.4101,-18.2162,-23.616,-27.3211,-20.0174,-21.1284,-20.6661,-14.1552,-17.6542,-28.0037,-20.6658,-22.1213,-18.5462,-25.1315,-17.2444,-22.1393,-9.9571,-13.4509,-20.0266,-13.3791,-14.3035,-17.0673,-15.1616,-14.6416,2008,10
