,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,ME1 OP5,ME1 OP6,ME1 OP7,ME1 OP8,ME1 OP9,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME2 OP6,ME2 OP7,ME2 OP8,ME2 OP9,ME2 OP10,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME3 OP6,ME3 OP7,ME3 OP8,ME3 OP9,ME3 OP10,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,ME4 OP6,ME4 OP7,ME4 OP8,ME4 OP9,ME4 OP10,ME5 OP1,ME5 OP2,ME5 OP3,ME5 OP4,ME5 OP5,ME5 OP6,ME5 OP7,ME5 OP8,ME5 OP9,ME5 OP10,ME6 OP1,ME6 OP2,ME6 OP3,ME6 OP4,ME6 OP5,ME6 OP6,ME6 OP7,ME6 OP8,ME6 OP9,ME6 OP10,ME7 OP1,ME7 OP2,ME7 OP3,ME7 OP4,ME7 OP5,ME7 OP6,ME7 OP7,ME7 OP8,ME7 OP9,ME7 OP10,ME8 OP1,ME8 OP2,ME8 OP3,ME8 OP4,ME8 OP5,ME8 OP6,ME8 OP7,ME8 OP8,ME8 OP9,ME8 OP10,ME9 OP1,ME9 OP2,ME9 OP3,ME9 OP4,ME9 OP5,ME9 OP6,ME9 OP7,ME9 OP8,ME9 OP9,ME9 OP10,BIG LoOP,ME10 OP2,ME10 OP3,ME10 OP4,ME10 OP5,ME10 OP6,ME10 OP7,ME10 OP8,ME10 OP9,BIG HiOP,Year,Month
330,9.3183,8.5288,6.5054,4.4741,9.5826,9.7855,10.536,8.2186,9.7989,7.2,9.0988,7.8477,9.7495,6.0384,12.0899,12.665,11.0195,5.6904,10.381,12.3845,10.6805,7.6748,5.1324,5.1417,4.1947,8.6997,10.5229,7.133,12.2511,10.0913,21.6049,4.1469,6.4412,7.3763,8.1537,7.3263,3.5805,5.4811,9.5269,9.6009,4.3013,9.7453,3.7061,2.749,11.824,15.6095,10.02,7.3028,10.2715,15.0908,4.8653,3.5602,8.2678,3.5478,3.7775,9.537,11.2678,6.2262,9.0661,14.4784,9.3953,9.5725,6.3237,2.3911,2.4166,9.2744,5.3899,6.6082,10.6328,7.0117,-1.1018,4.7931,4.5261,1.0012,4.3053,5.5791,3.8299,12.2271,5.0012,9.2957,7.7252,5.5661,2.1991,4.7426,4.2612,6.8293,9.0637,8.5997,5.296,7.326,2.5352,7.525,1.8558,2.0336,2.7424,1.4237,4.6278,2.1861,7.2738,4.899,1991,1
331,15.4737,9.9831,11.7121,9.9504,12.2911,10.3481,11.0523,14.5241,16.0159,14.5714,15.9724,10.9793,9.9646,11.5355,13.9632,10.0658,9.2614,16.7573,8.4876,12.6756,16.0868,12.0671,9.2875,8.7077,4.9747,9.0478,9.4736,12.0897,10.1254,9.9862,8.1158,16.5693,11.2649,9.5396,7.5246,10.6667,10.7718,10.6141,14.7497,12.4052,16.1911,7.6636,12.1312,10.1631,7.7842,9.2253,11.155,12.3513,8.6334,7.4145,12.1734,7.8997,3.2926,7.9658,8.2704,5.7135,9.2026,9.4745,9.2981,10.8352,11.3544,12.0879,6.0712,9.2924,9.7866,7.4733,12.5648,11.1692,7.8902,10.3017,7.2845,8.7575,9.516,5.4644,3.9313,6.0029,8.1538,6.6692,10.7967,8.4016,14.3413,9.0078,6.4006,8.6312,8.2557,7.8271,8.0397,7.2329,8.7675,8.4673,1.3736,6.5475,4.7673,6.3392,7.2578,4.8137,4.9767,7.0603,6.2998,9.8927,1991,2
332,12.0698,10.6759,7.5394,7.9226,8.8917,6.9112,8.019,11.0162,10.5333,13.8392,8.8501,7.1634,8.1981,4.236,5.9947,7.4894,2.7113,4.2888,6.2895,11.2008,11.8438,3.9047,3.6131,6.0328,6.622,6.6619,4.6838,6.2049,6.3569,10.3977,15.058,2.077,4.3689,4.7422,8.4586,10.2391,2.6401,5.2121,2.9745,8.2966,2.2667,10.3175,3.9201,2.8659,3.9927,8.6003,6.4646,4.9643,6.1178,3.6119,5.4828,3.0797,5.5635,2.9441,2.3387,4.6085,6.3086,4.0849,4.8749,7.14,-4.8372,4.2085,4.2996,1.602,5.9147,4.1496,1.6391,4.3292,1.857,5.0458,2.2255,3.1901,4.7289,0.6911,5.4307,5.5491,4.5897,7.8081,2.4023,0.9353,17.5119,3.8512,0.8947,0.9125,2.4329,1.7703,1.9123,4.0048,3.8463,3.1702,2.4282,2.6159,0.7093,0.0786,0.3202,2.8137,-0.2213,1.0467,5.2564,3.7633,1991,3
333,2.2844,3.5064,3.6528,-0.2816,2.2281,0.762,2.9779,0.507,5.7412,3.1467,-0.4221,-3.3543,-0.3233,1.0701,-1.9732,1.0409,-1.0661,-1.0319,1.3162,1.4885,-2.0406,-1.2039,-1.2127,0.4743,2.7172,-0.246,-0.3051,3.6941,-0.5076,-0.7182,-6.4566,0.5886,1.3555,1.8115,-0.563,-3.081,5.0674,-2.385,3.4875,3.3814,-4.3078,0.3982,4.806,2.2827,-0.3069,0.9617,4.1682,-0.9462,0.5481,2.2275,-8.1823,-2.6194,-1.5477,0.5532,2.1878,2.4894,-0.9271,0.9769,4.8153,-3.8121,-2.6246,-3.1774,-1.3251,-2.8337,-0.1474,1.4263,0.4906,1.3375,0.1636,1.0074,0.027,0.4651,0.3906,3.2754,2.0157,-2.2293,3.4142,-0.6177,5.163,2.94,4.8829,-3.725,2.1515,-0.3072,1.8503,-0.8958,1.6897,3.0544,2.3271,4.7312,10.4278,1.7804,1.016,-1.4161,1.1827,0.7169,-1.8258,-0.0492,-1.4326,0.3917,1991,4
334,2.1768,2.3396,4.1365,3.0327,3.0384,0.8369,3.4518,5.7689,4.519,3.1789,3.1411,1.9477,4.2697,6.326,2.8246,2.3838,0.786,7.4121,6.5149,7.3284,2.9101,9.2766,4.346,6.1715,6.0199,3.846,2.9952,6.3995,3.8283,5.7727,5.2453,1.9104,2.7387,4.0241,5.9087,1.3119,5.4736,2.1996,5.5481,4.3263,3.8073,1.1925,2.2666,3.1673,3.9647,5.0163,5.5985,1.6964,6.2835,7.6164,4.537,5.1122,2.9115,4.3395,4.7734,6.5648,6.3279,5.0569,2.8215,2.1934,0.3813,2.7789,2.6473,3.1732,5.4039,7.7306,4.8884,3.5098,5.8503,5.7967,2.0836,6.1088,3.1968,4.1596,3.4253,10.7352,5.3651,5.6674,5.3231,4.8482,-0.5578,2.4634,3.3477,6.6042,3.947,5.2246,6.5117,5.4566,6.1029,5.6832,6.5375,3.7591,0.4165,0.7295,5.4952,0.1319,2.894,7.7502,1.9208,5.5442,1991,5
335,-5.3485,-2.9154,-4.7668,-1.2665,-4.2665,-4.4658,-5.1953,-4.4678,-6.2233,-3.6004,-9.2431,-5.0668,-4.699,-1.8489,-3.0906,-2.8466,-0.8448,-4.0672,-2.4789,-9.5118,-5.4174,-5.8266,-2.4207,-4.0526,-6.3464,-7.7054,0.3765,-2.8798,-3.1798,-4.1491,-8.186,-6.7175,-6.6338,-6.81,-6.0037,-4.0432,-1.3617,-1.4482,-2.611,-5.3698,-5.6604,-4.608,-4.3552,-4.5616,-4.2182,-5.2018,-2.9464,-2.282,-1.4468,-2.7715,-9.2474,-4.786,-6.1949,-2.2368,-4.1071,-4.434,-6.2166,-1.9251,-1.9479,-7.4393,-11.5189,-2.1407,-7.3301,-3.3883,-4.5319,-5.2403,-3.9189,-2.9328,-3.2302,-1.428,-4.4702,-5.655,-7.2169,-3.8576,-3.4627,-3.7544,-3.684,-5.6808,-5.8014,-6.2364,-7.1587,-7.4978,-2.9701,-8.3339,-4.4541,-8.0779,-5.1915,-5.5095,-3.8263,-7.248,-4.3273,-7.2027,-3.3796,-5.38,-2.8118,-2.8225,-5.024,-5.0259,-4.179,-3.5183,1991,6
336,0.4747,1.6413,4.6305,1.4365,0.8048,3.4104,-0.1451,2.6193,6.504,2.834,3.2437,6.5866,5.6774,2.007,3.7641,2.135,3.4465,1.2544,5.3085,3.2575,3.5891,0.6899,4.2094,3.733,3.6264,3.7351,4.9752,3.2335,-0.0352,3.6979,7.2045,0.7574,1.0369,4.5327,2.0845,0.8518,5.0633,4.341,5.5918,9.1055,5.9985,2.1073,5.3706,5.273,0.6553,1.8917,6.6755,4.3349,4.2397,7.4399,0.3363,5.4952,2.9368,5.9969,3.3387,7.8575,7.8746,4.696,4.6953,4.0489,7.2644,3.4458,1.9225,2.2868,1.4747,4.7931,4.2488,8.1679,3.6857,8.2992,1.2493,3.9837,5.3109,2.6454,5.6816,2.1547,5.1721,5.1141,6.7353,4.456,5.8452,2.7799,4.0336,6.2927,6.4422,3.9645,4.7084,3.0406,4.772,6.3352,0.627,5.8684,3.0047,4.544,4.8662,2.912,2.8224,4.2093,5.8048,7.1526,1991,7
337,0.7624,4.4025,0.2585,1.5583,0.3043,1.4182,2.845,-0.456,3.5727,4.237,6.0399,0.7757,7.5178,3.223,2.9694,2.9958,1.8884,1.0665,5.3716,3.6632,7.4516,2.094,4.078,1.913,1.1519,3.2232,1.2376,5.5915,2.2229,1.6662,3.4583,4.9034,4.3556,3.0758,4.2169,4.8872,3.9174,2.0543,2.6847,6.8905,7.0695,5.414,6.3262,3.036,1.8863,3.4225,4.3245,6.9342,6.2832,2.1666,0.3213,-0.5237,4.9891,4.0735,6.6381,3.3892,6.7764,7.0345,1.5564,5.742,1.4466,3.5685,5.2614,1.8769,-0.5251,2.9679,-1.7131,4.0488,3.7899,0.8126,-2.808,-0.6664,2.6677,1.6232,2.6271,0.2502,4.676,4.7068,1.4058,5.3864,5.0401,-1.6527,2.033,3.4847,1.7883,0.379,1.1399,3.832,5.741,4.1966,3.1153,4.1627,0.722,2.5833,-0.259,0.1045,0.7899,2.8786,4.3451,4.2562,1991,8
338,1.3374,1.0881,-0.535,1.1231,-1.1359,0.4335,4.2521,1.5688,3.1325,0.8355,3.4344,2.1721,-0.6568,-0.7268,2.2058,2.5463,-1.0378,-0.7911,2.2381,1.6365,7.7712,-0.0058,-2.5897,1.8829,0.0231,4.299,-1.01,-1.6481,-0.1557,0.4849,0.5443,1.7382,1.7913,-3.3299,1.1721,0.285,-2.0843,1.0952,-0.1772,-1.293,1.0673,-1.3815,-0.5466,1.2792,-0.9697,-0.4857,0.9007,-2.8139,-1.4368,0.9105,-1.362,-4.1382,-2.173,0.295,-0.9228,-1.7564,-2.638,0.3108,2.3916,0.6659,18.676,-0.753,0.6101,-0.8725,0.131,0.5007,-1.5209,-3.1793,-3.0315,-0.3098,1.9231,0.6225,3.1631,-0.8237,1.1453,-0.251,-2.515,-3.1537,-1.8748,-0.3518,1.7205,-0.2761,2.0827,0.5904,-1.3535,-1.7648,-1.9052,-3.0187,0.5844,-1.5412,3.6254,-1.8617,-1.9472,2.8139,-0.4057,0.2924,-1.2975,-1.87,-3.3797,-1.9116,1991,9
339,3.0755,2.2519,1.989,2.7239,3.1904,1.5215,1.9146,0.5663,5.885,1.2763,7.5233,4.4015,4.5242,3.0148,1.6907,2.438,3.1616,7.3728,3.4656,5.8611,10.4812,-1.1537,2.1388,4.86,0.3531,3.7129,0.6519,2.8914,0.7779,1.334,4.7283,1.7653,1.5574,-0.3715,1.679,3.7413,0.8771,-0.7708,0.8561,1.73,8.2133,4.3608,2.8869,-0.5485,-1.0569,3.9929,4.182,1.1664,3.9697,0.3185,3.2643,6.3288,3.5748,-1.0149,-0.9111,3.2439,2.3806,2.9552,0.2979,-1.6604,-0.2658,7.3541,-0.8373,2.3989,1.8464,0.3618,1.3796,0.8123,2.1072,-0.0377,6.0268,3.8675,2.8182,4.2841,-0.9675,3.002,-1.2479,2.8846,1.8541,4.2204,6.8592,7.8817,2.3088,4.0907,2.9052,0.6298,1.5855,-0.3968,5.9647,0.4888,7.1429,-3.8572,1.8201,3.534,0.3776,1.5888,0.1266,1.9412,0.4554,1.7362,1991,10
