,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Year,Month
978,-5.2,-5.4,-7.43,-9.08,-12.37,-7.75,-0.49,-4.6,-6.93,-2.08,2008,1
979,-0.06,-5.97,0.74,6.87,-3.58,-3.88,-4.65,-0.93,-3.02,-7.87,2008,2
980,1.21,-4.13,-0.1,-2.94,0.66,-0.05,1.86,-1.77,0.81,-1.92,2008,3
981,-1.08,6.6,5.04,10.7,6.46,4.69,5.01,0.44,6.39,3.47,2008,4
982,3.32,1.36,3.3,4.23,5.68,4.73,1.18,1.63,3.58,-2.35,2008,5
983,-7.42,-19.56,-9.25,2.76,-8.83,-10.89,-8.08,-3.01,-0.4,-14.64,2008,6
984,2.25,-0.23,-0.28,-15.67,-0.53,-3.18,1.14,6.73,-7.13,4.3,2008,7
985,1.72,1.76,1.42,-0.03,2.39,4.0,5.38,1.8,-0.43,0.41,2008,8
986,-2.93,-9.19,-13.48,-12.1,-12.44,-12.61,-5.77,-5.96,-11.94,-6.0,2008,9
987,-13.02,-33.18,-20.75,-16.67,-18.33,-15.56,-15.13,-11.03,-11.12,-19.8,2008,10
988,-5.47,-10.3,-7.76,0.22,-10.9,-1.58,-7.69,-7.35,1.23,-12.4,2008,11
989,0.86,0.3,1.37,-2.42,2.17,3.46,4.88,6.74,-2.04,0.76,2008,12
990,-5.13,-13.78,-9.14,-3.53,-3.23,-10.28,-7.6,-2.21,-0.82,-17.81,2009,1
991,-7.65,-12.27,-13.49,-12.46,-5.06,-6.94,-3.06,-9.95,-12.59,-14.53,2009,2
992,6.42,11.95,7.61,3.95,11.5,7.51,9.95,7.06,2.79,13.01,2009,3
993,4.96,45.52,17.33,4.53,12.27,9.66,9.53,-0.9,2.09,16.17,2009,4
994,7.16,-3.65,5.49,10.37,3.03,1.05,-0.94,6.2,4.63,7.23,2009,5
995,0.65,4.31,-1.71,-4.75,4.55,1.65,-0.29,3.59,4.63,-2.02,2009,6
996,7.31,19.73,11.32,5.33,8.12,5.52,6.76,5.49,4.41,9.16,2009,7
