,Cnsmr,Manuf,HiTec,Hlth ,Other,Year,Month
978,-2.76,-7.96,-11.24,-4.6,-2.08,2008,1
979,-2.9,2.39,-3.65,-0.93,-7.87,2008,2
980,1.2,-1.05,0.48,-1.77,-1.92,2008,3
981,2.6,7.4,6.02,0.44,3.47,2008,4
982,2.04,3.71,5.44,1.63,-2.35,2008,5
983,-8.54,-3.14,-9.34,-3.01,-14.64,2008,6
984,1.53,-7.84,-1.17,6.73,4.3,2008,7
985,3.62,0.57,2.77,1.8,0.41,2008,8
986,-4.77,-12.71,-12.48,-5.96,-6.0,2008,9
987,-15.2,-17.64,-17.66,-11.03,-19.8,2008,10
988,-6.88,-3.1,-8.61,-7.35,-12.4,2008,11
989,3.0,-0.77,2.51,6.74,0.76,2008,12
990,-6.84,-5.44,-5.11,-2.21,-17.81,2009,1
991,-5.32,-12.91,-5.53,-9.95,-14.53,2009,2
992,8.59,5.23,10.51,7.06,13.01,2009,3
993,9.0,9.36,11.65,-0.9,16.17,2009,4
994,2.03,7.24,2.57,6.2,7.23,2009,5
995,0.29,-1.88,3.88,3.59,-2.02,2009,6
996,7.66,7.78,7.54,5.49,9.16,2009,7
997,2.45,1.68,1.94,2.21,7.7,2009,8
998,3.1,5.24,5.49,2.39,3.14,2009,9
999,-0.25,-0.86,-1.95,-3.72,-5.38,2009,10
1000,4.86,5.44,5.2,8.23,5.66,2009,11
1001,2.44,2.09,6.08,2.47,0.73,2009,12
1002,-1.97,-4.07,-7.6,-0.02,-0.54,2010,1
1003,3.86,3.32,4.37,0.38,3.64,2010,2
1004,6.32,4.78,6.89,3.63,8.1,2010,3
1005,1.52,3.44,2.52,-2.18,1.83,2010,4
1006,-5.76,-8.74,-7.37,-8.06,-8.76,2010,5
1007,-6.53,-5.15,-5.67,-1.67,-6.52,2010,6
1008,6.46,8.5,7.8,2.14,6.81,2010,7
1009,-3.3,-3.8,-5.52,-1.66,-7.1,2010,8
1010,9.82,8.66,11.48,9.01,8.51,2010,9
1011,3.61,4.4,6.0,1.98,2.03,2010,10
1012,2.76,2.39,-0.99,-3.34,0.5,2010,11
1013,4.08,7.27,6.12,5.44,9.23,2010,12
1014,-1.34,4.3,3.08,-0.72,2.1,2011,1
1015,2.84,4.85,3.47,3.32,2.94,2011,2
1016,1.89,1.82,-0.76,2.29,-1.08,2011,3
1017,4.36,2.58,3.17,6.34,1.06,2011,4
1018,0.97,-2.57,-1.18,1.95,-2.64,2011,5
1019,-0.98,-1.21,-2.21,-1.88,-2.12,2011,6
1020,-1.38,-2.11,-1.54,-3.66,-3.66,2011,7
1021,-2.87,-6.62,-6.41,-3.16,-8.15,2011,8
1022,-5.13,-9.86,-5.02,-3.95,-11.1,2011,9
