,Mkt-RF,SMB,HML,RF,Year,Month
978,-6.36,-1.03,3.97,0.21,2008,1
979,-3.09,-0.43,-0.84,0.13,2008,2
980,-0.93,0.71,0.3,0.17,2008,3
981,4.6,-1.72,-0.94,0.18,2008,4
982,1.86,2.96,-1.43,0.18,2008,5
983,-8.44,1.23,-2.71,0.17,2008,6
984,-0.77,2.61,5.42,0.15,2008,7
985,1.53,3.6,1.59,0.13,2008,8
986,-9.24,-1.23,5.91,0.15,2008,9
987,-17.23,-2.6,-2.3,0.08,2008,10
988,-7.86,-2.85,-6.31,0.03,2008,11
989,1.74,3.46,0.14,0.0,2008,12
990,-8.12,0.07,-11.29,0.0,2009,1
991,-10.1,0.05,-6.95,0.01,2009,2
992,8.95,0.03,3.47,0.02,2009,3
993,10.18,5.4,5.36,0.01,2009,4
994,5.21,-2.52,0.28,0.0,2009,5
995,0.43,2.63,-2.73,0.01,2009,6
996,7.72,1.87,4.83,0.01,2009,7
997,3.33,-1.08,7.63,0.01,2009,8
998,4.08,2.43,1.05,0.01,2009,9
999,-2.59,-4.35,-4.21,0.0,2009,10
1000,5.56,-2.4,-0.34,0.0,2009,11
1001,2.75,6.05,-0.17,0.01,2009,12
1002,-3.36,0.4,0.43,0.0,2010,1
1003,3.4,1.19,3.23,0.0,2010,2
1004,6.31,1.48,2.21,0.01,2010,3
1005,2.0,4.87,2.89,0.01,2010,4
1006,-7.89,0.09,-2.44,0.01,2010,5
1007,-5.57,-1.82,-4.7,0.01,2010,6
1008,6.93,0.2,-0.31,0.01,2010,7
1009,-4.77,-3.0,-1.9,0.01,2010,8
1010,9.54,3.96,-3.16,0.01,2010,9
1011,3.88,1.14,-2.43,0.01,2010,10
1012,0.6,3.77,-0.96,0.01,2010,11
1013,6.82,0.73,3.7,0.01,2010,12
1014,1.99,-2.5,0.83,0.01,2011,1
1015,3.49,1.53,1.27,0.01,2011,2
1016,0.46,2.54,-1.83,0.01,2011,3
1017,2.9,-0.38,-2.43,0.0,2011,4
1018,-1.27,-0.59,-2.12,0.0,2011,5
1019,-1.75,-0.12,-0.42,0.0,2011,6
1020,-2.35,-1.26,-0.9,0.0,2011,7
1021,-5.99,-3.05,-2.36,0.01,2011,8
1022,-7.59,-3.31,-1.72,0.0,2011,9
1023,11.35,3.28,0.1,0.0,2011,10
1024,-0.28,-0.16,-0.46,0.0,2011,11
1025,0.74,-0.59,1.63,0.0,2011,12
1026,5.05,2.04,-0.97,0.0,2012,1
1027,4.42,-1.85,0.43,0.0,2012,2
1028,3.11,-0.64,1.14,0.0,2012,3
1029,-0.85,-0.42,-0.78,0.0,2012,4
1030,-6.19,0.07,-1.07,0.01,2012,5
1031,3.89,0.67,0.62,0.0,2012,6
1032,0.79,-2.74,-0.02,0.0,2012,7
1033,2.55,0.47,1.3,0.01,2012,8
1034,2.73,0.5,1.6,0.01,2012,9
1035,-1.76,-1.15,3.59,0.01,2012,10
1036,0.78,0.63,-0.84,0.01,2012,11
1037,1.18,1.48,3.51,0.01,2012,12
1038,5.57,0.33,0.96,0.0,2013,1
1039,1.29,-0.27,0.11,0.0,2013,2
1040,4.03,0.81,-0.19,0.0,2013,3
1041,1.55,-2.37,0.45,0.0,2013,4
1042,2.8,1.7,2.63,0.0,2013,5
1043,-1.2,1.33,0.03,0.0,2013,6
1044,5.65,1.87,0.57,0.0,2013,7
1045,-2.71,0.27,-2.69,0.0,2013,8
1046,3.77,2.88,-1.22,0.0,2013,9
1047,4.18,-1.53,1.25,0.0,2013,10
1048,3.13,1.29,0.32,0.0,2013,11
1049,2.81,-0.46,-0.02,0.0,2013,12
1050,-3.32,0.89,-2.07,0.0,2014,1
1051,4.65,0.35,-0.31,0.0,2014,2
1052,0.43,-1.81,4.93,0.0,2014,3
1053,-0.19,-4.19,1.17,0.0,2014,4
1054,2.06,-1.88,-0.13,0.0,2014,5
1055,2.61,3.09,-0.7,0.0,2014,6
1056,-2.04,-4.29,0.03,0.0,2014,7
1057,4.24,0.4,-0.45,0.0,2014,8
1058,-1.97,-3.71,-1.34,0.0,2014,9
1059,2.52,4.21,-1.81,0.0,2014,10
1060,2.55,-2.06,-3.09,0.0,2014,11
1061,-0.06,2.49,2.27,0.0,2014,12
1062,-3.11,-0.56,-3.58,0.0,2015,1
1063,6.13,0.63,-1.86,0.0,2015,2
1064,-1.12,3.04,-0.37,0.0,2015,3
1065,0.59,-3.06,1.82,0.0,2015,4
1066,1.36,0.93,-1.14,0.0,2015,5
1067,-1.53,2.91,-0.79,0.0,2015,6
1068,1.54,-4.17,-4.13,0.0,2015,7
1069,-6.04,0.33,2.77,0.0,2015,8
1070,-3.07,-2.62,0.56,0.0,2015,9
1071,7.75,-1.88,-0.46,0.0,2015,10
1072,0.56,3.6,-0.42,0.0,2015,11
1073,-2.17,-2.84,-2.61,0.01,2015,12
1074,-5.77,-3.42,2.09,0.01,2016,1
1075,-0.07,0.73,-0.57,0.02,2016,2
1076,6.96,0.82,1.19,0.02,2016,3
1077,0.91,0.76,3.28,0.01,2016,4
1078,1.78,-0.17,-1.66,0.01,2016,5
1079,-0.05,0.61,-1.48,0.02,2016,6
1080,3.95,2.49,-1.32,0.02,2016,7
1081,0.49,1.15,3.18,0.02,2016,8
1082,0.25,2.12,-1.24,0.02,2016,9
1083,-2.02,-4.4,4.09,0.02,2016,10
1084,4.86,5.71,8.21,0.01,2016,11
1085,1.82,0.1,3.53,0.03,2016,12
1086,1.94,-1.19,-2.75,0.04,2017,1
1087,3.57,-2.05,-1.67,0.04,2017,2
1088,0.17,1.14,-3.35,0.03,2017,3
1089,1.09,0.73,-2.13,0.05,2017,4
1090,1.06,-2.57,-3.78,0.06,2017,5
1091,0.78,2.25,1.48,0.06,2017,6
1092,1.87,-1.51,-0.31,0.07,2017,7
1093,0.16,-1.67,-2.09,0.09,2017,8
1094,2.51,4.47,3.14,0.09,2017,9
1095,2.25,-1.94,0.2,0.09,2017,10
1096,3.12,-0.55,-0.03,0.08,2017,11
1097,1.06,-1.32,0.06,0.09,2017,12
1098,5.57,-3.13,-1.29,0.12,2018,1
1099,-3.65,0.25,-1.04,0.11,2018,2
1100,-2.35,4.06,-0.21,0.11,2018,3
1101,0.28,1.13,0.54,0.14,2018,4
1102,2.65,5.25,-3.2,0.14,2018,5
1103,0.48,1.14,-2.34,0.14,2018,6
1104,3.19,-2.22,0.47,0.16,2018,7
1105,3.44,1.14,-3.94,0.16,2018,8
1106,0.06,-2.27,-1.7,0.15,2018,9
1107,-7.68,-4.78,3.4,0.19,2018,10
1108,1.69,-0.68,0.3,0.18,2018,11
1109,-9.57,-2.38,-1.84,0.2,2018,12
1110,8.4,2.9,-0.46,0.21,2019,1
1111,3.4,2.05,-2.67,0.18,2019,2
1112,1.1,-3.05,-4.17,0.19,2019,3
1113,3.97,-1.74,2.15,0.21,2019,4
1114,-6.94,-1.32,-2.37,0.21,2019,5
1115,6.93,0.29,-0.71,0.18,2019,6
1116,1.19,-1.93,0.48,0.19,2019,7
1117,-2.58,-2.38,-4.78,0.16,2019,8
1118,1.43,-0.96,6.75,0.18,2019,9
1119,2.06,0.29,-1.91,0.16,2019,10
