,Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Year,Month,WML
0,6,4.27,2.69,-0.05,1.19,-4.59,0.52,1991,1,-2.63
1,7,7.18,4.13,-0.84,-1.7,-0.1,0.48,1991,2,-2.21
2,8,2.44,3.86,-3.0,-0.01,-1.68,0.44,1991,3,3.17
3,9,-0.17,0.06,1.25,-0.1,-0.1,0.53,1991,4,-1.17
4,10,3.59,0.07,-0.01,-0.13,-2.06,0.47,1991,5,0.5
5,11,-4.71,0.9,0.57,1.48,0.97,0.42,1991,6,0.01
6,12,3.99,-0.89,-2.54,2.01,-1.46,0.49,1991,7,4.66
7,13,2.17,0.99,-1.66,1.12,-1.05,0.46,1991,8,2.81
8,14,-1.7,1.69,-0.77,-0.08,-0.02,0.46,1991,9,1.91
9,15,1.45,1.04,-0.26,-1.35,-0.65,0.42,1991,10,2.28
10,16,-4.16,-0.56,-2.18,1.92,-0.37,0.39,1991,11,0.67
11,17,10.03,-3.16,-5.33,3.5,-4.47,0.38,1991,12,8.3
12,18,-0.68,8.61,3.84,-1.96,2.59,0.34,1992,1,-1.03
13,19,1.0,1.46,4.83,-1.16,1.67,0.28,1992,2,-0.48
14,20,-2.74,-0.95,4.23,-0.76,2.04,0.34,1992,3,-0.61
15,21,1.12,-5.29,3.4,0.29,3.33,0.32,1992,4,-2.8
16,22,0.32,-0.25,0.95,-1.76,1.12,0.28,1992,5,0.57
17,23,-2.16,-2.38,2.87,-0.97,0.91,0.32,1992,6,-0.56
18,24,3.66,-0.89,-0.79,1.49,-0.28,0.31,1992,7,1.24
19,25,-2.32,-0.21,-0.24,3.36,-0.2,0.26,1992,8,-1.0
20,26,0.72,0.45,-0.96,1.43,-0.77,0.26,1992,9,2.58
21,27,0.97,2.1,-3.12,2.21,-1.93,0.23,1992,10,2.3
22,28,3.51,3.41,-2.89,0.21,-2.74,0.23,1992,11,1.88
23,29,1.55,1.66,2.07,-0.63,1.38,0.28,1992,12,3.55
24,30,0.75,2.4,5.17,-2.39,2.5,0.23,1993,1,4.97
25,31,0.45,-2.81,7.22,-2.37,4.67,0.22,1993,2,2.71
26,32,2.34,0.72,1.98,-1.5,2.03,0.25,1993,3,4.14
27,33,-2.6,-0.31,2.99,-2.94,2.12,0.24,1993,4,-0.29
28,34,2.81,1.75,-2.8,0.33,-1.31,0.22,1993,5,0.97
29,35,0.27,0.73,1.99,-0.95,1.13,0.25,1993,6,4.85
30,36,-0.37,1.11,2.55,-1.58,1.79,0.24,1993,7,2.45
31,37,3.58,0.57,0.17,0.0,-0.06,0.25,1993,8,2.34
32,38,-0.36,2.62,0.34,0.19,-0.09,0.26,1993,9,3.03
33,39,1.7,1.85,-2.98,1.16,0.62,0.22,1993,10,-1.51
34,40,-1.86,-1.44,-0.59,0.83,-0.97,0.25,1993,11,-4.39
35,41,1.68,1.06,1.02,-0.08,-0.2,0.23,1993,12,2.46
36,42,2.93,-0.15,1.87,-1.74,1.38,0.25,1994,1,1.26
37,43,-2.62,1.99,-0.72,1.27,-1.05,0.21,1994,2,-0.59
38,44,-4.64,-0.78,1.76,-0.65,1.47,0.27,1994,3,-1.4
39,45,0.61,-0.99,1.68,0.32,1.5,0.27,1994,4,-0.46
40,46,0.74,-2.27,1.23,-1.16,0.33,0.32,1994,5,-2.1
41,47,-3.15,-0.54,2.18,0.4,1.89,0.31,1994,6,-1.27
42,48,2.82,-1.76,0.49,-0.3,0.1,0.28,1994,7,-0.11
43,49,4.02,0.45,-2.57,0.89,-1.5,0.37,1994,8,1.51
44,50,-2.07,2.75,-1.07,0.1,0.48,0.37,1994,9,1.32
45,51,1.17,-1.78,-1.52,1.26,-0.73,0.38,1994,10,1.06
46,52,-4.09,-0.11,-1.16,0.84,0.02,0.37,1994,11,-0.38
47,53,0.89,-0.33,-0.23,0.6,0.45,0.44,1994,12,3.18
48,54,1.39,-1.98,1.51,1.11,0.36,0.42,1995,1,-1.18
49,55,3.63,-0.63,0.63,0.3,-0.89,0.4,1995,2,-0.46
50,56,2.25,-0.49,-1.6,-0.57,-0.28,0.46,1995,3,0.23
51,57,2.13,-0.11,1.46,-0.59,1.47,0.45,1995,4,1.89
52,58,2.94,-1.77,1.2,0.02,0.51,0.54,1995,5,-0.33
53,59,2.5,3.03,-2.9,0.41,-2.92,0.47,1995,6,3.87
54,60,3.6,2.14,-2.39,0.57,-2.36,0.45,1995,7,3.01
55,61,0.49,1.56,2.17,-1.82,1.75,0.47,1995,8,0.11
56,62,3.19,-1.42,-0.92,0.76,0.93,0.43,1995,9,2.14
57,63,-1.58,-4.11,-0.51,1.89,0.14,0.47,1995,10,2.92
58,64,3.93,-0.57,0.01,-1.63,1.14,0.42,1995,11,-0.55
59,65,1.01,0.51,-0.52,-0.35,3.08,0.49,1995,12,1.32
60,66,2.45,-2.46,0.0,0.1,2.02,0.43,1996,1,0.9
61,67,1.25,1.9,-1.92,0.09,-1.86,0.39,1996,2,1.59
62,68,0.83,1.4,0.85,0.78,-0.79,0.39,1996,3,-1.39
63,69,1.99,4.9,-3.07,0.49,-2.48,0.46,1996,4,0.26
64,70,2.14,3.11,-1.33,0.38,-0.58,0.42,1996,5,2.02
65,71,-1.03,-3.89,2.0,2.65,1.75,0.4,1996,6,-1.02
66,72,-5.8,-3.64,5.6,1.47,3.43,0.45,1996,7,-1.45
67,73,2.87,2.43,-0.38,-0.89,-2.06,0.41,1996,8,0.8
68,74,4.87,-1.84,-2.61,0.9,-2.68,0.44,1996,9,2.62
69,75,1.31,-2.61,5.33,0.5,3.17,0.42,1996,10,2.47
70,76,6.31,-4.04,2.34,1.22,-0.24,0.41,1996,11,-1.93
71,77,-1.68,3.19,0.59,-0.02,1.39,0.46,1996,12,0.17
72,78,4.97,-1.58,-1.54,1.23,-1.23,0.45,1997,1,2.39
73,79,-0.36,-2.61,5.03,-0.5,5.15,0.39,1997,2,-3.13
74,80,-4.9,-0.63,3.87,0.71,2.64,0.43,1997,3,0.78
75,81,3.9,-6.22,-0.14,3.33,-1.12,0.43,1997,4,4.78
76,82,6.63,4.59,-3.62,0.08,-3.8,0.49,1997,5,-3.89
77,83,3.88,0.94,1.12,0.68,0.48,0.37,1997,6,2.74
78,84,7.29,-2.82,-0.3,-0.05,-2.51,0.43,1997,7,3.71
79,85,-4.07,7.41,0.25,-0.67,-1.16,0.41,1997,8,-1.69
80,86,5.45,2.58,0.08,-1.66,-1.29,0.44,1997,9,2.35
81,87,-3.76,-0.7,2.64,0.97,1.91,0.42,1997,10,0.21
82,88,2.53,-5.78,0.9,2.92,3.4,0.39,1997,11,0.82
83,89,1.4,-1.81,3.43,-0.1,2.24,0.48,1997,12,2.86
84,90,-0.02,-1.56,-1.97,1.3,-0.64,0.43,1998,1,0.06
85,91,7.01,-0.24,-0.71,-0.6,-2.72,0.39,1998,2,-0.42
86,92,4.84,-0.72,1.25,-0.85,-0.15,0.39,1998,3,1.43
87,93,0.83,0.09,0.36,-1.9,-0.16,0.43,1998,4,0.93
88,94,-2.84,-2.78,2.91,1.08,2.63,0.4,1998,5,1.94
89,95,2.88,-3.84,-2.38,-0.08,-3.42,0.41,1998,6,7.59
90,96,-2.76,-5.15,-1.76,1.58,1.32,0.4,1998,7,3.41
91,97,-16.32,-4.32,1.86,4.18,6.9,0.43,1998,8,0.62
92,98,5.98,-0.46,-3.5,-1.43,-2.42,0.46,1998,9,-0.15
93,99,7.05,-3.29,-1.35,1.02,0.06,0.32,1998,10,-3.84
94,100,5.82,0.32,-4.13,0.04,-0.71,0.31,1998,11,1.78
95,101,5.95,-1.34,-4.88,0.77,-4.38,0.38,1998,12,9.85
96,102,3.35,-1.83,-4.45,-1.89,-5.94,0.35,1999,1,5.11
97,103,-4.16,-4.31,1.89,-1.77,4.52,0.35,1999,2,-1.17
98,104,3.34,-3.48,-2.3,-1.71,-2.8,0.43,1999,3,1.39
99,105,4.34,4.1,3.35,-2.04,0.06,0.37,1999,4,-8.08
100,106,-2.12,3.49,1.55,0.68,2.57,0.34,1999,5,-2.0
101,107,4.71,1.43,-3.47,0.73,-3.0,0.4,1999,6,6.63
102,108,-3.37,2.07,1.24,1.23,1.81,0.38,1999,7,1.65
103,109,-1.37,-1.54,-2.19,0.48,0.11,0.39,1999,8,2.77
104,110,-2.69,3.03,-4.19,-0.91,-1.92,0.39,1999,9,6.27
105,111,5.63,-6.85,-3.02,-2.28,-0.63,0.39,1999,10,3.39
106,112,2.84,4.36,-8.35,-1.7,-4.57,0.36,1999,11,9.27
107,113,7.11,3.49,-8.72,-5.77,-6.61,0.44,1999,12,18.98
108,114,-4.28,2.7,0.06,-6.02,4.0,0.41,2000,1,3.29
109,115,1.64,16.7,-14.07,-15.45,-4.5,0.43,2000,2,29.32
110,116,6.83,-13.87,9.64,11.02,-0.22,0.47,2000,3,-12.78
111,117,-4.86,-3.18,7.19,6.42,7.82,0.46,2000,4,-12.41
112,118,-3.55,-2.18,5.25,3.09,2.77,0.5,2000,5,-12.3
113,119,3.66,7.31,-10.34,-5.29,-5.35,0.4,2000,6,17.48
114,120,-2.24,-1.51,9.29,5.59,4.74,0.48,2000,7,-4.32
115,121,7.12,-0.45,-1.77,-4.3,-0.5,0.5,2000,8,8.46
116,122,-5.36,0.85,9.58,3.69,8.85,0.51,2000,9,-4.47
117,123,-2.89,-3.42,7.02,9.83,8.17,0.56,2000,10,-7.85
118,124,-10.31,-0.71,16.01,13.94,14.39,0.51,2000,11,-11.87
119,125,1.5,4.87,10.96,0.68,8.12,0.5,2000,12,4.87
120,126,3.25,3.42,-8.68,-6.11,-10.78,0.54,2001,1,-22.28
121,127,-9.77,2.3,17.58,9.92,13.11,0.38,2001,2,10.92
