,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10,ME7 BM1,ME7 BM2,ME7 BM3,ME7 BM4,ME7 BM5,ME7 BM6,ME7 BM7,ME7 BM8,ME7 BM9,ME7 BM10,ME8 BM1,ME8 BM2,ME8 BM3,ME8 BM4,ME8 BM5,ME8 BM6,ME8 BM7,ME8 BM8,ME8 BM9,ME8 BM10,ME9 BM1,ME9 BM2,ME9 BM3,ME9 BM4,ME9 BM5,ME9 BM6,ME9 BM7,ME9 BM8,ME9 BM9,ME9 BM10,BIG LoBM,ME10 BM2,ME10 BM3,ME10 BM4,ME10 BM5,ME10 BM6,ME10 BM7,ME10 BM8,ME10 BM9,BIG HiBM,Year,Month
774,7.2288,6.0566,9.8096,7.5011,8.8738,9.2758,9.1227,8.0028,10.4782,11.3262,7.8671,10.4177,6.8385,5.8485,13.6571,9.8895,11.2081,5.1942,10.306,13.2981,9.9439,9.9912,5.4074,4.8908,10.0808,7.8644,10.0805,4.2373,7.2421,10.2395,12.469,7.17,6.0887,8.7479,4.578,8.4561,4.4847,9.217,6.8264,11.8974,10.8967,10.0914,10.8723,13.0543,10.1877,7.1431,6.8041,7.9215,2.9635,6.7868,8.7599,8.0414,8.3143,5.6048,11.9157,2.7197,6.8965,9.8688,5.3165,-0.8758,7.4811,9.448,5.4906,8.0231,9.3277,11.5424,2.6324,4.2681,4.8329,5.6868,8.2746,8.4148,2.8693,3.3447,7.8483,5.7769,6.2556,3.5137,3.1558,8.5867,5.4256,7.2217,8.1569,6.1547,7.5316,4.4997,11.7242,4.7466,2.4357,5.7695,5.2504,4.6121,9.2728,1.3778,-1.3964,5.0622,5.2955,4.4701,3.9518,5.4545,1991,1
775,15.1715,14.3765,9.9,13.6911,18.5832,11.6752,12.2555,13.3867,9.7227,11.2583,14.8179,11.9221,11.2825,12.6664,15.4618,8.6007,10.5979,14.7409,14.0135,10.7606,12.7865,9.2344,5.0779,12.9342,10.4551,12.1735,6.1086,8.9804,9.0263,11.6734,12.2772,12.8583,12.7356,9.6355,9.7924,8.6557,7.9882,10.9101,14.7323,22.7668,11.6275,9.0472,12.8888,9.3248,9.2023,14.3631,8.6125,5.0795,8.4671,17.1833,9.5864,7.8908,10.0114,10.4746,7.0097,7.2348,9.5548,9.1999,4.8924,6.2389,10.3539,8.3222,11.6999,10.9871,9.7444,13.0867,7.2432,9.0912,6.5524,6.5106,9.5467,4.264,8.3085,8.6364,6.6935,7.0633,6.9871,8.4031,4.0841,6.7844,8.6551,10.8211,6.8286,8.5158,8.0432,7.8546,10.6037,5.9027,7.2688,5.8053,7.7053,8.3799,5.9972,7.8144,4.8548,4.7207,4.5892,5.3099,8.0724,10.069,1991,2
776,12.5579,12.3097,11.4539,10.7399,10.2383,10.4412,5.9774,6.0208,10.845,9.2399,9.5856,6.7618,4.4992,8.8951,7.4233,3.6983,6.9198,7.0067,4.4496,6.1981,7.2845,5.2337,8.6274,5.8254,7.6459,4.6969,4.6996,6.3278,12.1789,1.8377,10.4592,6.0748,3.1879,4.7726,6.8951,4.5906,7.7678,5.5254,6.6047,4.6394,8.8719,6.849,6.32,1.0549,3.6208,0.6839,4.0392,5.7982,3.3,9.5554,7.4894,7.447,0.9839,3.3894,3.5641,0.3072,3.2492,5.6826,4.4382,11.1749,7.1646,4.7187,3.146,1.127,1.6165,2.0615,2.7379,4.787,3.0137,2.3861,3.9086,5.0499,4.8998,4.4017,2.3425,7.5189,3.8264,3.7453,3.6481,2.6732,8.173,-0.2898,2.8819,5.0755,3.9943,2.505,0.5414,1.2627,3.6382,1.727,4.5829,4.7506,2.0181,0.2309,2.1883,-3.5816,0.8426,5.0428,1.8091,-4.4304,1991,3
777,4.9601,0.7399,3.2009,4.255,0.4646,1.1647,3.252,1.3365,-0.0799,2.1064,-0.3902,-4.3474,-0.8824,-1.1647,1.1788,2.0397,-3.1787,2.2311,-2.3892,1.3258,-1.4372,-1.1186,-2.0242,1.7048,-0.1051,0.6719,1.2873,1.9405,3.5505,1.1666,-2.766,-0.2987,0.7182,2.0489,2.0815,0.2508,0.949,2.5915,2.1048,-0.4856,-0.5947,-2.1839,0.2003,-0.5866,6.8163,-0.3132,2.5759,3.3704,0.8422,2.7052,-2.5256,-5.6214,-1.188,-0.9281,1.8216,2.7972,5.3149,-0.2671,3.2814,-3.5591,-2.8104,-2.1637,-0.834,5.0643,-1.2958,2.6694,3.5397,4.1657,-2.6846,-3.0173,1.1198,-1.2262,0.5034,0.9653,2.0205,8.0034,2.5319,-1.5142,-3.5605,8.9148,5.0015,0.6789,1.6746,-0.4385,2.6291,1.3311,2.3308,0.1686,2.7708,-1.5966,-0.4348,-0.5579,-1.1165,0.8917,0.8811,-2.236,1.564,2.9007,0.2321,-5.298,1991,4
778,1.067,1.4682,4.3465,0.624,5.6172,4.8729,3.3582,2.4424,3.7353,3.1447,3.7783,4.8264,6.9435,3.5928,6.3801,2.2955,3.8637,3.3456,3.7961,2.4838,2.6664,6.5628,3.7534,4.4462,9.7335,5.9773,2.951,5.0157,6.583,2.6936,6.5379,5.6423,0.8124,2.8296,4.6649,4.5274,2.5962,3.3969,2.533,2.519,4.6303,2.779,7.0196,7.8893,4.4994,3.9201,6.9078,1.5241,0.9623,-0.6297,1.9752,5.664,5.672,6.5851,4.6845,5.7934,7.1139,2.0378,0.4613,-0.2003,5.4215,3.6965,4.1381,4.0371,10.1899,5.2439,1.6211,5.8532,5.5741,1.4768,7.2631,10.1413,0.5713,5.8591,4.7948,5.3354,5.6983,4.8745,7.5237,5.8735,3.9379,4.7761,5.5624,5.8102,5.6807,5.3665,5.687,3.6663,3.4723,10.0266,4.5389,2.6996,7.5291,2.2753,0.409,1.9659,3.8738,4.4936,2.9293,21.7483,1991,5
779,-6.9006,-6.0644,-1.9985,-4.0273,-4.0262,-2.3583,-3.6081,-5.1372,-3.7766,-4.1336,-8.0545,-5.7333,-3.1375,-4.8846,-4.2561,-5.7655,-5.1825,-1.9162,-2.3836,-4.7864,-3.891,-7.1173,-8.6064,-3.8725,-3.2294,-1.6153,-5.4342,-0.7668,-3.9789,-3.9129,-3.9086,-6.9699,-4.3209,-4.1916,-3.8056,-3.3307,-2.0346,-5.3959,-6.0358,-9.3173,-3.9918,-3.5497,-6.6873,-2.8715,-1.787,-3.0474,-0.8114,-0.2794,-3.8103,-10.3752,-7.8966,-2.8638,-5.0226,-3.2598,-5.7391,-2.6227,-3.8243,-2.7211,-2.696,-2.238,-2.6901,-4.4989,-2.4343,-4.0352,-10.2889,-6.3943,-0.5858,-3.0451,-1.5763,-4.8014,-7.0506,-5.0715,-3.9676,-6.1428,-4.3226,-5.6954,-4.557,-3.621,-7.9387,-0.3482,-4.2371,-5.4349,-7.1024,-5.8137,-7.8749,-6.5604,-6.5012,-4.8541,-5.4955,-4.9968,-3.902,-5.1652,-6.2022,-4.33,-1.9723,-4.7684,-5.9221,-2.8944,-1.9373,-5.5072,1991,6
780,-0.2299,5.041,4.5497,4.4884,-0.1773,1.2617,0.6701,4.4423,2.2738,0.1992,3.0686,4.519,3.776,3.9353,2.0667,4.8069,4.0914,3.8361,3.5903,4.4447,4.2188,3.8194,0.5462,6.4792,2.2864,1.8135,1.6075,3.0217,4.5503,1.0089,4.604,3.6997,3.6349,4.4904,5.0621,2.8663,6.4039,4.1585,0.4245,2.1279,8.9402,4.6276,4.0671,3.8594,3.7115,2.4642,2.4554,-0.9634,3.7575,8.0494,6.8117,4.2018,2.4886,5.5411,3.2612,6.4405,1.2082,6.7793,8.4054,7.503,9.67,1.9474,5.5116,3.8633,5.4268,2.8666,0.8191,3.5041,-0.294,4.7583,6.5276,4.6835,3.2148,2.7539,2.9849,1.1992,5.9235,5.97,5.6468,15.9951,5.4914,2.3777,4.0432,3.401,4.401,6.0972,7.8398,5.4002,2.2994,-4.5741,7.7196,3.8423,1.926,3.4932,4.8698,4.0493,4.2582,2.0493,6.4512,-5.8333,1991,7
781,4.4214,1.6212,1.3073,0.8916,1.5829,3.9476,2.2561,0.058,0.2753,-0.1304,3.6914,4.3861,6.8086,7.7922,2.3069,5.1396,-0.4284,2.0653,4.4716,5.8945,4.1892,5.5588,2.5185,1.8948,1.7923,5.5178,3.5434,0.2906,4.2142,0.5842,5.078,1.6607,4.484,4.512,3.2765,4.0873,2.5484,6.0229,2.092,12.2367,8.5084,2.4092,4.8727,2.0054,1.5659,2.4862,3.4312,5.1504,5.2031,12.3233,6.2155,3.7349,4.3354,5.2349,3.0962,3.3604,1.9554,6.12,1.5104,10.3014,2.3471,2.8514,-0.5515,0.7524,1.7859,3.4064,4.3399,-0.1015,5.4486,0.4715,0.36,1.7525,4.4419,3.2394,5.035,0.9712,3.6505,2.6541,3.0521,2.544,3.9447,2.9874,0.3448,3.5704,1.1161,1.0442,2.5901,2.1669,8.5597,-9.0899,4.6688,3.7664,0.9153,0.1134,1.5652,7.6345,1.6277,-0.4578,2.0287,-7.0896,1991,8
782,3.4614,1.7439,6.4279,3.0531,0.8334,-0.0471,-2.0381,0.5416,1.0956,-2.7289,6.4404,3.6247,2.0392,0.2281,-1.2814,1.8397,2.2959,-0.5444,-1.6642,-1.7881,3.5385,-0.5184,2.3092,-0.8064,0.7737,4.2286,0.0636,4.1867,-2.2101,-2.4386,-1.5822,0.756,-0.5157,1.3116,0.3046,2.1569,0.1405,0.404,0.1965,-2.7145,2.8464,-0.7653,-1.3853,-2.0164,-1.5091,-1.0508,4.1229,-1.0255,0.4641,-5.3644,-1.1236,-0.7984,0.0141,1.6043,-0.0626,-0.5484,1.6512,-2.1375,-1.7949,-10.3784,1.1809,-0.4837,-2.332,-0.9573,-0.9553,-1.0038,0.4566,-4.0587,-4.7367,3.6834,-1.3748,-0.5666,-1.167,-2.4525,-0.2712,-1.3408,1.7975,0.4214,-1.4248,0.4943,0.9959,-3.8827,-3.7717,-3.0376,1.0046,0.4511,1.7928,0.1659,-1.9467,-9.5339,-2.6354,-1.128,-3.703,0.9739,-2.8895,1.4946,2.6174,-2.5689,-5.5748,-3.6145,1991,9
783,2.7983,5.2566,3.5744,1.64,2.6549,2.2915,2.3715,-0.0049,2.805,0.0558,8.6471,8.6683,2.7044,6.4329,1.3457,1.6268,9.4153,1.3755,3.4397,-0.921,2.7751,4.0998,3.7534,4.009,2.4221,7.0028,1.7815,0.9959,0.7341,-1.8647,2.1463,0.975,-0.3033,-0.0694,7.3248,-0.9331,0.6911,-1.3976,3.0581,5.5701,6.5845,-2.6315,1.8316,1.1664,1.6385,0.6721,5.1743,5.2118,5.1137,2.3885,6.986,-2.4299,-0.881,1.2582,0.0147,3.9496,1.6856,0.5123,3.6404,3.906,1.4588,2.1082,0.1489,-1.7284,1.1458,2.2293,4.5757,2.197,1.3256,-1.8253,4.5387,1.6062,1.4439,0.705,-0.6538,2.8714,3.7385,0.5521,3.4542,6.4997,6.0415,-2.6748,-0.6191,1.8307,0.9045,1.2606,4.3755,4.1099,7.0725,18.331,1.408,0.8464,1.763,0.5877,2.221,2.3523,4.3995,-0.0041,-7.527,-8.25,1991,10
