,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Year,Month
450,0.8,1.22,2.71,4.85,2.93,3.32,2.52,3.7,1.4,1.17,1964,1
451,1.86,1.64,2.73,1.08,1.96,-0.28,1.63,1.65,0.87,5.38,1964,2
452,3.08,1.08,3.7,1.4,3.38,-0.9,2.43,-1.94,-0.74,2.34,1964,3
453,-0.47,1.8,-1.72,4.04,-3.63,0.83,2.88,-1.42,1.05,0.29,1964,4
454,1.56,1.52,1.77,2.15,2.74,-0.39,3.91,0.52,0.84,2.38,1964,5
455,1.6,0.77,0.88,0.67,0.51,4.69,3.84,0.58,2.21,1.31,1964,6
456,1.76,5.64,1.34,3.33,-1.81,-2.01,1.21,4.76,4.91,1.23,1964,7
457,-0.26,1.4,-1.26,-1.86,-2.76,-1.56,0.34,-4.22,-0.02,-3.11,1964,8
458,1.69,4.64,4.78,3.08,1.15,-1.03,3.48,2.74,1.88,3.99,1964,9
459,-0.19,0.08,0.42,3.07,-0.99,-0.89,2.31,2.86,0.96,1.75,1964,10
460,0.71,-1.09,-0.58,2.54,-0.23,-2.22,3.24,2.17,1.37,-1.65,1964,11
461,0.23,1.89,-0.71,-0.24,-0.01,3.12,0.16,4.38,0.49,-1.78,1964,12
462,6.06,3.81,5.39,0.51,7.46,0.25,3.06,7.66,3.96,4.72,1965,1
463,1.61,-0.51,2.55,-3.36,2.2,0.81,1.39,2.42,0.44,2.61,1965,2
464,-0.79,1.28,-1.14,-3.02,-0.47,-1.68,-0.82,-0.92,-0.52,-0.37,1965,3
465,4.2,6.78,4.05,0.86,5.14,2.33,6.81,2.97,0.66,2.3,1965,4
466,-0.79,-3.26,-0.54,0.87,0.47,2.76,0.19,-1.25,-0.97,-1.49,1965,5
467,-5.13,-6.8,-6.24,-1.98,-5.72,-4.17,-6.21,-5.31,-3.66,-6.99,1965,6
468,1.58,2.29,2.07,1.8,3.59,-0.37,-1.4,3.95,1.06,3.34,1965,7
469,4.05,3.42,3.51,1.55,5.87,1.33,2.3,6.29,0.92,5.11,1965,8
470,0.48,7.11,3.84,4.37,5.25,1.1,-0.69,2.24,1.39,1.76,1965,9
471,2.59,6.14,4.37,1.84,5.2,-2.27,0.31,3.23,1.05,4.13,1965,10
472,1.09,-3.78,1.39,0.71,2.74,-4.31,1.35,3.79,-1.0,4.08,1965,11
473,1.27,1.47,3.23,0.18,-1.52,-0.84,1.32,3.84,-0.31,3.29,1965,12
474,1.92,0.61,2.93,1.04,1.34,-1.3,-4.35,2.74,-3.03,5.21,1966,1
475,-0.48,-1.48,-0.75,-3.44,5.01,0.48,-1.84,-1.55,-4.17,2.07,1966,2
476,-2.65,-2.97,-1.76,-2.23,-0.9,-4.84,-2.08,-1.6,-0.14,-2.57,1966,3
477,0.38,0.16,2.85,3.14,7.62,1.27,3.07,-0.01,1.19,3.03,1966,4
478,-4.91,-8.37,-5.67,-3.76,-6.07,-2.99,-2.94,-5.27,-2.73,-7.79,1966,5
479,-1.8,-1.97,-0.96,-2.28,-0.13,0.48,-2.38,0.99,-1.78,0.65,1966,6
480,-1.18,-2.58,-1.6,0.4,-1.71,-1.16,-1.97,-1.71,-0.18,-1.94,1966,7
481,-7.17,-7.57,-7.85,-6.36,-5.92,-4.6,-6.39,-8.09,-8.59,-11.86,1966,8
482,-1.48,-0.97,-3.59,3.94,-1.92,-0.56,-2.01,-1.15,4.36,-1.91,1966,9
483,4.52,0.38,2.52,8.46,0.27,9.18,-1.36,4.87,9.94,3.02,1966,10
484,2.31,-3.4,2.79,-1.14,10.87,-2.83,0.7,6.9,-1.36,7.99,1966,11
485,0.22,-2.63,1.37,-0.66,0.46,2.96,-4.18,-0.18,2.1,2.15,1966,12
486,9.42,11.8,11.19,3.58,10.23,6.24,11.78,6.45,2.84,11.99,1967,1
487,2.03,-1.08,1.22,-0.07,6.15,2.13,3.25,1.4,-1.72,-0.32,1967,2
488,4.45,3.85,5.8,3.61,5.49,2.97,2.34,7.86,1.53,4.42,1967,3
489,4.6,11.06,3.75,1.67,7.86,0.19,9.24,4.46,1.88,2.15,1967,4
490,-2.61,-7.28,-3.67,-2.42,-4.39,-5.67,-4.63,-5.28,-4.11,-2.08,1967,5
491,2.67,1.55,2.11,2.27,6.39,2.73,3.84,5.41,-1.31,3.48,1967,6
492,6.07,11.1,5.03,6.92,3.99,-6.58,6.0,3.79,2.33,7.89,1967,7
493,-0.84,0.18,-0.39,-1.45,-1.01,-1.24,0.51,0.65,-0.65,-0.28,1967,8
494,3.1,4.97,3.12,4.24,8.38,1.23,2.29,2.9,-0.09,1.3,1967,9
495,-2.64,-4.9,-4.52,-0.97,4.89,-3.51,0.68,-5.02,-5.36,-5.13,1967,10
496,0.56,-0.95,0.65,0.76,1.43,0.08,0.85,1.33,3.18,-0.43,1967,11
497,3.21,0.89,5.22,3.07,2.13,0.13,3.43,1.62,3.28,5.54,1967,12
498,-0.6,-5.21,-6.4,-0.9,-8.73,2.67,1.13,-6.58,0.2,-1.89,1968,1
499,-2.66,-2.32,-4.28,-2.66,-4.59,-2.41,-0.84,-4.24,-1.48,-3.48,1968,2
500,0.75,0.65,0.87,0.75,4.24,-1.12,2.84,0.11,-3.93,-0.28,1968,3
501,11.1,11.69,10.64,5.68,12.44,2.21,12.22,11.89,2.49,11.98,1968,4
502,5.02,-0.33,3.18,1.25,3.83,-0.72,3.51,3.35,0.44,6.23,1968,5
503,1.19,-1.4,-0.2,1.84,-2.01,4.17,0.45,2.23,8.44,3.03,1968,6
504,-3.91,-2.95,-4.02,5.28,-5.57,-0.2,-5.18,-4.12,0.18,-2.8,1968,7
505,2.78,1.24,3.34,1.29,0.54,1.28,2.25,0.68,-0.87,2.86,1968,8
506,4.87,6.66,4.55,3.55,2.94,2.97,7.85,0.84,0.25,9.31,1968,9
507,0.83,4.65,0.94,2.58,-4.91,3.17,0.73,-0.04,0.49,1.08,1968,10
508,4.63,-0.09,5.8,5.66,8.61,5.4,5.09,8.11,8.8,7.69,1968,11
509,-1.02,-4.46,-3.35,-2.53,-5.34,-6.66,-4.12,-1.02,-2.91,-3.7,1968,12
510,-1.19,-1.77,-0.49,-1.14,-4.68,1.17,-0.99,-0.23,2.43,0.75,1969,1
511,-6.59,-3.47,-5.71,-4.6,-3.61,-3.33,-4.13,-5.16,-5.21,-8.35,1969,2
512,0.71,5.11,2.6,7.12,5.45,-0.42,5.06,3.34,-1.29,0.74,1969,3
513,1.06,1.22,1.33,-0.36,3.96,7.73,3.77,4.98,1.33,1.77,1969,4
514,1.21,0.14,-0.86,3.76,-1.71,1.08,0.55,1.68,0.03,-1.23,1969,5
515,-7.31,-5.99,-6.93,-9.89,-0.15,-4.0,-5.49,-5.04,-5.73,-10.68,1969,6
516,-6.85,-6.98,-5.43,-9.64,-5.4,-4.5,-8.44,-2.73,-2.97,-9.1,1969,7
517,4.95,2.74,4.18,6.59,7.01,1.66,8.13,9.3,-1.29,9.03,1969,8
