,Cnsmr,Manuf,HiTec,Hlth ,Other,Year,Month
774,6.93,2.31,7.07,4.55,7.47,1991,1
775,9.54,6.32,4.95,9.9,9.74,1991,2
776,5.84,1.43,1.7,5.44,3.07,1991,3
777,0.02,0.91,-0.95,-1.14,1.34,1991,4
778,6.38,3.55,1.07,4.7,4.99,1991,5
779,-4.63,-3.71,-5.29,-4.21,-5.24,1991,6
780,4.89,3.8,3.89,8.51,4.73,1991,7
781,3.91,2.16,1.78,2.94,3.19,1991,8
782,-3.15,-0.57,-0.5,-0.33,-0.65,1991,9
783,-1.26,1.56,1.95,6.53,2.27,1991,10
784,-1.47,-4.39,-4.56,-2.52,-5.41,1991,11
785,13.39,7.64,9.53,16.61,12.75,1991,12
786,-0.56,-0.82,2.0,-5.45,2.0,1992,1
787,2.78,0.79,1.38,-2.73,3.08,1992,2
788,-1.21,-1.37,-3.2,-5.53,-2.16,1992,3
789,-0.18,4.37,2.71,-2.3,0.58,1992,4
790,0.52,0.94,-1.18,1.11,1.48,1992,5
791,-1.88,-2.46,-1.56,-4.78,-0.05,1992,6
792,3.79,4.36,4.17,5.8,3.11,1992,7
793,-0.93,-1.41,-2.77,-3.36,-3.47,1992,8
794,2.16,1.17,2.65,-4.98,3.43,1992,9
795,1.36,-0.42,0.79,3.34,2.97,1992,10
796,5.57,1.43,5.15,4.84,6.12,1992,11
797,0.66,1.82,2.75,-1.35,3.82,1992,12
798,0.71,1.25,3.1,-6.86,3.37,1993,1
799,-1.64,3.75,2.63,-9.0,0.37,1993,2
800,1.82,2.51,2.75,0.73,3.79,1993,3
801,-7.34,0.24,-3.3,1.29,-3.27,1993,4
802,3.81,1.63,6.46,3.59,1.64,1993,5
803,-1.06,0.36,2.09,-2.96,2.29,1993,6
804,-0.49,0.54,-0.88,-5.99,2.06,1993,7
805,3.56,3.69,5.83,3.02,3.46,1993,8
806,-0.79,-0.84,0.4,0.86,1.79,1993,9
807,5.75,0.65,2.02,5.92,-2.36,1993,10
808,0.64,-2.01,-3.03,0.97,-2.83,1993,11
809,0.51,2.56,1.25,2.33,2.53,1993,12
810,1.41,3.45,3.47,1.81,4.37,1994,1
811,-0.5,-2.11,-1.75,-5.6,-3.87,1994,2
812,-4.76,-4.15,-3.77,-6.74,-4.23,1994,3
813,0.52,1.4,-0.15,2.27,1.35,1994,4
814,-1.75,0.18,1.83,4.28,3.04,1994,5
815,-2.44,-2.73,-2.53,-3.43,-2.56,1994,6
816,2.19,4.4,3.49,1.1,2.7,1994,7
817,4.43,2.83,5.41,10.85,3.51,1994,8
818,-1.9,-1.98,-0.78,1.72,-4.25,1994,9
819,1.25,2.27,3.98,0.88,0.05,1994,10
820,-2.89,-4.22,-3.54,0.44,-5.17,1994,11
821,-0.05,2.13,1.79,0.57,1.41,1994,12
822,0.62,1.06,1.25,6.18,4.71,1995,1
823,3.14,4.37,4.52,2.26,4.85,1995,2
824,2.93,2.85,2.77,2.8,1.9,1995,3
825,0.33,2.68,5.59,3.0,1.77,1995,4
826,3.91,3.92,2.22,1.63,4.49,1995,5
827,2.86,0.44,7.59,4.5,2.21,1995,6
828,2.42,2.55,6.86,5.52,4.76,1995,7
829,-0.74,-0.29,1.54,1.04,3.73,1995,8
830,3.88,2.73,2.99,7.37,4.5,1995,9
831,-2.8,-1.35,0.93,1.04,-2.04,1995,10
832,5.32,5.14,0.62,4.99,6.12,1995,11
833,0.85,3.07,-1.14,5.92,1.06,1995,12
834,1.62,2.19,2.03,6.02,3.54,1996,1
835,3.47,0.27,2.99,-1.1,2.15,1996,2
836,2.69,3.03,-2.89,0.24,1.8,1996,3
837,2.38,1.3,7.4,-0.61,0.25,1996,4
838,4.92,1.71,2.54,3.89,1.51,1996,5
839,-0.18,0.86,-3.03,-0.24,-0.25,1996,6
840,-5.54,-4.46,-7.77,-6.28,-4.26,1996,7
841,2.47,3.12,2.5,4.32,3.9,1996,8
842,3.31,4.68,7.82,7.36,5.15,1996,9
843,0.36,2.92,-1.49,-0.85,3.95,1996,10
844,4.47,5.36,9.98,6.61,7.48,1996,11
845,-1.55,-0.04,-1.09,-2.59,-1.83,1996,12
846,3.11,3.69,7.28,9.54,6.05,1997,1
847,3.14,-1.03,-4.61,0.93,2.6,1997,2
848,-3.46,-1.5,-6.33,-7.48,-5.83,1997,3
849,3.93,3.04,6.19,6.11,5.07,1997,4
850,5.99,7.1,9.18,6.99,6.14,1997,5
851,4.12,3.98,1.98,8.88,5.25,1997,6
852,5.69,6.66,12.09,2.1,9.28,1997,7
853,-3.78,-3.55,-1.71,-6.11,-4.78,1997,8
854,5.37,4.26,5.02,6.62,8.04,1997,9
855,-2.74,-3.98,-5.38,0.1,-2.76,1997,10
856,4.91,2.63,4.07,2.82,2.97,1997,11
857,2.11,0.73,-1.67,3.53,5.14,1997,12
858,-0.81,-1.63,5.2,5.68,-1.93,1998,1
859,8.21,6.38,7.82,5.51,8.25,1998,2
860,6.21,5.1,3.98,3.57,5.96,1998,3
861,-1.49,1.25,2.48,1.91,1.96,1998,4
862,2.43,-2.65,-5.44,-2.5,-3.07,1998,5
863,4.14,-0.29,6.98,6.17,3.22,1998,6
864,-3.23,-5.89,1.52,-0.26,-1.86,1998,7
865,-14.36,-10.86,-15.8,-12.35,-21.46,1998,8
866,1.32,4.74,13.55,12.04,2.78,1998,9
867,10.86,6.4,6.45,3.87,9.02,1998,10
868,7.72,2.48,9.17,6.19,6.11,1998,11
869,4.91,1.64,14.95,5.0,3.45,1998,12
870,0.25,-1.9,13.29,0.22,0.95,1999,1
871,-2.74,-2.52,-9.06,0.18,0.02,1999,2
872,0.56,5.76,5.64,2.52,2.44,1999,3
873,2.75,10.44,3.79,-5.53,6.69,1999,4
874,-1.57,-1.71,-0.25,-2.03,-3.91,1999,5
875,4.25,1.73,9.99,4.49,3.01,1999,6
876,-4.16,-0.45,-1.76,-4.43,-5.95,1999,7
877,-4.72,0.16,1.74,3.71,-5.08,1999,8
878,-2.89,-3.5,0.9,-7.07,-4.52,1999,9
879,4.55,3.62,4.42,10.77,11.54,1999,10
880,1.54,-0.89,10.59,1.51,-2.48,1999,11
881,2.9,6.64,16.45,-5.65,1.37,1999,12
882,-7.92,-4.93,-4.89,7.59,-4.77,2000,1
883,-5.23,-4.63,13.22,-2.75,-7.38,2000,2
884,10.98,8.13,4.83,0.16,14.39,2000,3
885,-2.21,1.53,-9.96,5.26,-2.85,2000,4
886,-0.6,1.25,-10.76,3.96,3.36,2000,5
887,-1.32,-2.53,11.06,11.55,-3.11,2000,6
888,0.02,-0.87,-5.6,-6.47,5.34,2000,7
889,-1.51,8.48,10.18,3.46,9.24,2000,8
890,2.28,-0.36,-12.99,3.71,0.25,2000,9
891,1.86,0.69,-6.2,2.08,-1.29,2000,10
892,-0.73,-1.86,-21.71,0.75,-6.02,2000,11
893,5.08,7.09,-7.29,3.51,7.13,2000,12
894,3.84,-3.42,15.69,-8.51,0.07,2001,1
895,-3.06,-1.15,-22.72,-0.55,-4.3,2001,2
896,-3.56,-3.12,-11.93,-8.57,-4.51,2001,3
897,4.23,7.89,14.1,4.23,6.09,2001,4
898,1.9,1.21,-2.8,2.81,3.63,2001,5
899,-1.61,-5.74,0.36,-3.07,-0.08,2001,6
900,2.78,-1.14,-5.77,2.31,-2.2,2001,7
901,-4.17,-1.95,-11.76,-3.09,-5.35,2001,8
902,-7.77,-9.57,-14.34,-0.6,-8.0,2001,9
903,1.41,3.7,7.8,1.24,-0.97,2001,10
904,7.36,2.93,13.25,5.03,7.3,2001,11
905,3.07,3.76,0.14,-2.82,3.67,2001,12
906,2.24,-0.77,-2.11,-2.41,-1.68,2002,1
907,1.64,3.8,-10.51,-0.46,-0.25,2002,2
908,3.15,6.63,4.83,0.54,5.18,2002,3
909,0.12,-2.08,-12.06,-7.52,-2.82,2002,4
910,-0.35,-1.65,-2.03,-2.27,-0.52,2002,5
911,-5.63,-2.76,-12.62,-9.68,-5.16,2002,6
912,-9.68,-10.07,-10.29,-2.57,-6.38,2002,7
913,1.9,0.05,-0.65,0.63,1.14,2002,8
914,-8.86,-8.72,-14.75,-5.88,-10.6,2002,9
915,4.82,2.87,20.16,5.67,6.37,2002,10
916,1.4,4.59,15.0,3.78,4.21,2002,11
917,-4.38,-1.31,-11.97,-4.07,-4.79,2002,12
918,-4.32,-3.51,-2.19,-0.61,-2.38,2003,1
919,-2.16,-1.36,-0.95,-1.96,-2.7,2003,2
920,1.24,1.85,-0.88,3.79,1.04,2003,3
921,7.61,4.55,9.78,4.39,11.63,2003,4
922,5.7,6.67,8.89,3.94,5.23,2003,5
923,2.7,0.13,0.75,4.15,0.91,2003,6
924,1.61,0.99,3.56,0.48,3.59,2003,7
925,4.44,4.31,4.8,-2.82,0.64,2003,8
926,-2.5,-2.06,-2.09,0.29,0.26,2003,9
927,7.75,5.6,7.93,0.87,6.34,2003,10
928,1.83,1.5,1.25,1.83,1.15,2003,11
929,0.93,8.4,3.43,5.65,4.27,2003,12
930,0.18,0.01,3.76,3.09,2.9,2004,1
931,4.92,2.7,-2.35,0.9,2.13,2004,2
932,0.04,0.03,-2.4,-3.92,-0.64,2004,3
933,-0.81,0.09,-3.83,3.52,-3.81,2004,4
934,-0.68,1.27,2.88,-0.41,1.73,2004,5
935,1.02,4.84,2.23,-0.5,1.32,2004,6
936,-4.81,-1.12,-6.71,-5.92,-2.35,2004,7
937,-0.56,0.9,-3.07,1.64,1.88,2004,8
938,0.87,3.85,2.92,-1.4,1.11,2004,9
939,2.46,0.13,4.73,-2.44,1.1,2004,10
940,4.29,6.62,5.23,0.68,4.72,2004,11
941,4.08,1.02,3.38,5.66,4.43,2004,12
942,-1.09,0.26,-5.83,-4.08,-2.18,2005,1
943,0.7,8.5,-0.04,2.44,0.15,2005,2
944,-0.91,-1.78,-1.96,-0.47,-2.37,2005,3
945,-4.1,-3.86,-3.86,3.95,-1.6,2005,4
946,5.03,2.41,6.53,1.48,3.24,2005,5
947,0.88,2.26,-1.21,-0.59,1.42,2005,6
948,4.58,5.42,5.41,3.72,2.42,2005,7
949,-3.33,1.47,-0.56,-0.31,-1.68,2005,8
950,-1.29,3.71,0.17,-1.92,1.28,2005,9
951,-0.21,-6.11,-2.05,-3.27,1.36,2005,10
952,2.76,2.81,5.64,1.58,4.93,2005,11
953,-0.28,1.07,-1.86,2.39,0.12,2005,12
954,1.54,7.34,4.03,2.17,1.59,2006,1
955,1.23,-2.43,-0.1,1.07,0.97,2006,2
956,2.04,2.21,2.64,-0.96,1.86,2006,3
957,-0.43,3.91,-0.55,-1.96,2.13,2006,4
958,-0.36,-2.62,-5.51,-2.18,-3.25,2006,5
959,0.4,1.09,-0.48,-0.12,-0.37,2006,6
960,-1.4,0.82,-2.3,4.14,-0.9,2006,7
961,2.55,0.19,6.13,2.33,1.72,2006,8
962,3.19,-0.8,3.59,1.53,3.23,2006,9
963,3.61,4.84,4.33,1.71,2.98,2006,10
964,-0.08,5.15,2.43,0.06,1.61,2006,11
