This file was created using the 202403 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 INV portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
199007   ,4.91   ,4.28   ,6.03   ,4.70   ,3.93   ,4.77   ,6.01   ,6.34   ,5.68   ,4.86   ,4.86   ,5.58   ,6.52   ,4.19   ,5.16   ,5.65   ,6.98   ,3.46   ,3.29   ,5.03   ,5.61   ,6.06   ,3.48   ,5.29   ,5.23
199008  ,-8.45  ,-9.70  ,-8.77  ,-8.65 ,-10.32  ,-8.96  ,-9.07 ,-10.30 ,-10.73 ,-12.39 ,-11.89 ,-10.61 ,-10.64 ,-11.71 ,-12.43 ,-11.83 ,-11.41 ,-11.55 ,-11.95 ,-12.52  ,-8.36  ,-8.86 ,-12.70  ,-8.93 ,-11.29
199009  ,-7.80  ,-8.40  ,-7.98  ,-9.46 ,-10.58  ,-9.27  ,-7.70  ,-8.76 ,-10.97 ,-11.75 ,-12.54 ,-10.00 ,-10.59 ,-13.36 ,-12.01 ,-12.00  ,-9.77 ,-11.08 ,-12.59 ,-14.39  ,-8.15 ,-12.28 ,-13.54 ,-11.10 ,-12.95
199010   ,3.67   ,3.35   ,4.13   ,3.47   ,2.12   ,2.59   ,4.87   ,5.83   ,7.71   ,3.84   ,7.95   ,5.58   ,8.66   ,5.47   ,5.55   ,6.78   ,6.64   ,3.41   ,5.57   ,5.26   ,6.62   ,7.43   ,8.24   ,7.74   ,8.62
199011  ,-3.08  ,-1.67  ,-2.49  ,-2.63  ,-3.43  ,-3.14  ,-2.35  ,-1.92  ,-1.05  ,-2.01  ,-2.94  ,-0.87  ,-1.88  ,-1.59  ,-1.79  ,-0.03  ,-0.87  ,-1.56  ,-2.21  ,-3.16   ,0.39   ,2.08  ,-2.66   ,2.30   ,1.33
199012  ,-0.94  ,-1.10  ,-1.80   ,0.84  ,-1.82  ,-0.85   ,1.71   ,0.16  ,-0.54  ,-0.94  ,-1.89   ,0.47   ,0.19  ,-0.10  ,-3.34  ,-1.03  ,-0.18  ,-1.39  ,-1.37  ,-0.43  ,-1.23  ,-2.13   ,0.76  ,-1.41  ,-1.33
199101  ,-0.61  ,-3.61  ,-2.50  ,-1.51  ,-3.45  ,-1.33  ,-0.57  ,-2.13  ,-2.49  ,-2.53  ,-0.60  ,-0.67  ,-1.17  ,-2.22  ,-2.31  ,-0.98  ,-0.33  ,-0.66   ,2.44  ,-1.12   ,1.76   ,1.99   ,3.15   ,4.67   ,2.44
199102   ,5.25   ,7.10   ,7.59   ,7.19   ,9.00   ,8.17   ,7.95  ,12.39   ,8.91  ,11.19  ,10.55   ,8.24   ,8.06  ,11.64  ,10.41   ,8.06   ,7.36   ,9.23  ,11.69  ,13.12   ,6.34   ,6.20   ,8.50   ,7.43   ,9.15
199103  ,-4.68  ,-4.00  ,-2.24  ,-2.44  ,-1.36  ,-6.01  ,-5.56  ,-4.70  ,-3.10  ,-3.58  ,-6.25  ,-6.11  ,-5.72  ,-5.18  ,-4.72  ,-5.24  ,-5.97  ,-5.62  ,-5.16  ,-5.18  ,-7.09  ,-6.78  ,-7.25  ,-5.13  ,-7.12
199104  ,-1.14   ,0.48   ,2.41  ,-0.20  ,-1.20  ,-1.76   ,0.21   ,2.63  ,-2.55  ,-0.39   ,0.05   ,0.06  ,-1.31  ,-2.94  ,-1.87  ,-1.07  ,-0.81  ,-2.06  ,-1.04  ,-2.80  ,-0.17   ,1.19  ,-0.45  ,-0.63  ,-1.01
199105  ,-2.19  ,-1.03  ,-2.12  ,-1.56  ,-2.77  ,-0.55  ,-0.43  ,-1.52  ,-2.74  ,-3.72   ,0.40  ,-0.97   ,0.33  ,-2.49  ,-2.60  ,-0.59  ,-0.21  ,-1.51  ,-2.16  ,-1.30   ,2.06   ,2.61   ,2.47   ,1.87   ,0.02
199106  ,-4.98  ,-5.97  ,-4.36  ,-5.94  ,-7.14  ,-6.38  ,-5.43  ,-5.06  ,-6.74  ,-6.86  ,-6.44  ,-5.02  ,-6.15  ,-5.71  ,-7.14  ,-5.05  ,-6.32  ,-6.67  ,-6.02  ,-8.46  ,-7.11  ,-7.59  ,-7.01  ,-6.55  ,-7.66
199107   ,1.03   ,2.74   ,3.68   ,2.51   ,2.62   ,0.56   ,3.46   ,3.98   ,5.20   ,2.70   ,5.11   ,2.26   ,3.50   ,3.07   ,1.39   ,4.05   ,1.81   ,2.86   ,4.79   ,4.80   ,7.51   ,7.19   ,5.53   ,6.15   ,6.63
199108   ,0.16  ,-0.45   ,0.17   ,0.50   ,0.74  ,-0.55   ,1.14   ,1.76   ,1.31   ,0.37   ,0.81   ,1.49   ,2.11   ,2.30   ,2.52   ,1.73  ,-0.02   ,3.60   ,2.13   ,0.81   ,2.73   ,1.57   ,2.60   ,1.40   ,2.05
199109   ,8.39   ,6.75   ,6.13   ,6.42   ,6.66   ,2.22   ,6.30   ,5.62   ,4.83   ,4.61   ,5.08   ,3.45   ,4.11   ,3.80   ,3.20   ,4.35   ,2.34   ,3.88   ,1.87   ,5.04   ,1.58   ,3.29   ,3.02   ,3.73   ,4.08
199110  ,-3.19  ,-1.94  ,-1.94  ,-2.69  ,-4.32  ,-3.50  ,-0.56  ,-1.91  ,-1.77  ,-3.92  ,-2.92  ,-3.42  ,-2.29  ,-3.93  ,-2.44  ,-4.69  ,-1.76  ,-3.08  ,-2.43  ,-5.59  ,-2.79  ,-1.62  ,-2.87  ,-0.36  ,-1.65
199111  ,-0.15  ,-0.69  ,-1.66  ,-0.22  ,-2.00  ,-2.62  ,-0.90  ,-1.00  ,-2.38  ,-2.04  ,-4.73  ,-1.44  ,-1.92  ,-0.83  ,-2.50  ,-3.49  ,-1.95  ,-2.53  ,-1.19  ,-4.23  ,-2.90  ,-2.71  ,-0.66  ,-0.38  ,-2.22
199112   ,1.67   ,4.56   ,5.09   ,3.41   ,2.47   ,2.06   ,2.99   ,3.55   ,4.42   ,3.25   ,1.70   ,3.26   ,3.36   ,4.62   ,3.53   ,4.45   ,5.94   ,3.57   ,5.48   ,4.62   ,6.46   ,6.58   ,9.17   ,6.83   ,9.10
199201  ,-2.53  ,-2.90  ,-1.76  ,-2.34  ,-4.23  ,-0.04  ,-1.25  ,-0.63  ,-0.20  ,-1.81   ,1.41   ,1.29   ,0.95   ,2.00   ,2.64   ,2.50  ,-1.24   ,1.20   ,0.35   ,0.21  ,-1.71   ,0.99   ,0.79   ,0.12  ,-1.30
199202  ,-0.38  ,-0.40   ,1.02  ,-0.57  ,-0.96   ,0.64  ,-0.83  ,-0.03  ,-0.59  ,-0.58   ,0.80  ,-0.45  ,-0.65   ,0.62  ,-0.05   ,1.71  ,-0.20  ,-0.24  ,-0.07   ,0.80  ,-2.41  ,-0.13   ,1.05   ,1.15  ,-1.00
199203  ,-3.14  ,-2.98  ,-2.49  ,-1.64  ,-4.02  ,-2.82  ,-2.77  ,-2.45  ,-0.89  ,-2.49  ,-4.09  ,-3.03  ,-1.83  ,-2.87  ,-4.51  ,-1.94  ,-2.20  ,-2.10  ,-2.35  ,-3.50  ,-2.72  ,-3.43  ,-3.65  ,-4.56  ,-3.00
199204   ,6.53   ,2.27   ,3.49   ,4.95   ,3.97   ,5.75   ,5.82   ,4.39   ,3.22   ,3.46   ,7.88   ,2.08   ,4.38   ,2.81   ,4.45   ,6.56   ,3.32   ,3.36   ,3.94   ,4.02   ,8.75   ,5.73   ,5.33   ,4.93   ,3.83
199205   ,7.78   ,7.92   ,7.56   ,7.34   ,5.73   ,7.26   ,5.39   ,6.87   ,5.02   ,4.84   ,3.49   ,4.52   ,3.81   ,3.84   ,5.99   ,5.61   ,4.45   ,5.26   ,3.81   ,4.22   ,5.52   ,6.53   ,4.62   ,5.00   ,5.50
199206  ,-0.17   ,1.85   ,1.17   ,0.11  ,-0.68  ,-3.03   ,0.07  ,-0.51  ,-0.94  ,-2.75  ,-3.05   ,0.88  ,-0.54   ,1.79  ,-2.16  ,-1.03   ,0.53  ,-1.15  ,-2.51  ,-1.87  ,-3.28   ,0.07  ,-0.70  ,-0.36  ,-2.81
