
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198801  -3.91  -0.40  -5.81  -1.38  -3.48  -6.95  -5.14  -2.54  -3.71 -99.99
198802   2.89   3.87  -0.58   4.49   6.36   7.65  -1.81   3.86   6.20 -99.99
198803   8.30   3.00  13.04   4.58   8.23   4.34  13.62   3.30  10.49 -99.99
198804   3.95   6.70  -0.12   6.10   4.74   5.98   2.89   9.37   3.38 -99.99
198805   5.88   5.31   6.12   5.58   8.42   7.08   6.04   6.14   6.20 -99.99
198806  -0.47   2.69  -3.55   4.07  -1.90   0.24  -6.42   3.83  -3.93 -99.99
198807   0.54   0.98  -0.11   0.94   2.33   0.69   1.21   2.61   1.16 -99.99
198808  -4.84  -7.11  -7.67  -4.08  -5.01  -6.93  -3.34  -2.93  -4.39 -99.99
198809  -4.62  -2.37  -5.80  -3.67  -4.07  -4.19  -6.83  -5.38  -3.05 -99.99
198810   8.47   6.85  10.49   6.22  10.60   7.00   8.28   8.07  12.29 -99.99
198811   7.75   6.72   6.53  10.03   9.36   4.28   4.64   8.72   8.90 -99.99
198812  -3.87  -2.26  -5.06  -3.81  -4.89  -2.72  -3.27  -3.41  -5.49 -99.99
198901  -1.80   1.15  -1.23  -5.40   1.61  -5.27  -1.43  -3.54   2.53  -7.91
198902   3.61   9.92   4.99  -1.01   7.46  -0.75   4.43   2.31   4.78  -1.40
198903   5.77   7.70   6.78   1.57  11.09   2.14   3.76   6.52   9.99   0.51
198904   3.68   6.92   3.26  10.00   3.22   9.54   2.07   7.00   1.81  -7.45
198905   3.01   6.62   3.19   1.30   2.97   1.72   6.19   4.19   1.99   5.02
198906 -10.77  -9.49 -10.48 -12.68  -8.97 -12.98 -10.18 -11.40  -8.70 -13.89
198907   4.83   4.48   4.61   5.31   3.66   5.48   4.93   4.51   4.30   1.58
198908  -7.10  -4.99  -7.80  -8.57  -5.65  -8.95  -6.00  -8.40  -6.52  -4.11
198909  -5.43  -0.48  -6.01  -8.17  -4.02  -6.68  -5.39  -5.54  -6.06 -14.08
198910  -3.32  -3.20  -3.81  -0.10  -3.25  -0.99  -1.63  -3.77  -2.72 -20.33
198911  -5.73  -4.70  -6.69  -0.15  -8.20  -0.48  -7.54  -5.66  -8.47  -3.68
198912   6.53  15.45   6.74   3.66   8.72   2.19  10.90   3.72   5.03  15.25
199001  12.35  14.75  13.41  25.00   9.25   9.04  12.66   7.70  11.39 -99.99
199002  -2.07  -1.39  -2.79  -0.85  -2.44  -2.39  -2.70  -2.58  -3.83 -99.99
199003  -5.45  -5.95  -8.16  -9.16  -3.79  -2.24  -5.10  -1.75  -8.97 -99.99
199004  -8.21  -6.31  -6.71  -8.39 -12.93  -2.31 -15.27  -4.91 -10.42 -99.99
