
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  15.51   9.27  20.52  11.03  18.30   7.89  15.30  11.25  19.10  10.89
197502  10.52  10.97   7.00  10.93   7.55  12.45   8.73  13.75   5.75  14.13
197503  -3.30  -3.36  -1.81  -4.13  -1.83  -3.16   1.22  -6.11  -2.53  -1.66
197504  -1.33   1.22  -1.42  -0.87  -0.70   1.92  -2.78  -1.37  -0.25  -4.32
197505  -1.47  -3.53   2.01  -2.97   2.50  -4.07  -1.05  -2.53   2.60  -6.27
197506 -11.69 -10.74 -11.42 -11.02 -11.50 -11.49 -10.81  -9.50 -12.77 -13.31
197507 -11.68 -12.46  -8.49 -12.93  -9.31 -12.55 -12.09 -14.44  -8.82 -13.88
197508  -0.56  -0.19  -1.59  -0.39  -1.05  -1.43   1.10  -0.47  -1.92   2.49
197509  -4.86  -3.22  -4.28  -0.58  -3.92  -1.61  -5.24  -4.43  -4.18  -7.85
197510   3.93   2.39   3.04   1.67   3.40   0.49   4.84   3.17   3.55   6.00
197511   2.92   7.50   0.21   3.59   2.33  10.58  -2.57   3.14   0.88   2.87
197512   0.10  -1.52   1.59  -3.18   0.51  -0.94  -1.70  -4.15  -0.42   1.21
197601  -2.98   0.24  -3.57  -4.04  -1.37  -0.99  -6.22  -2.30  -2.37  -5.99
197602  -0.53  -0.71   1.46  -3.25  -0.07  -1.27   3.23  -1.68   1.78   4.80
197603 -18.40 -19.47 -16.44 -17.92 -15.52 -20.15 -18.28 -19.72 -16.19 -20.40
197604 -10.95 -11.31 -10.06 -12.07 -10.67  -8.95  -9.90 -10.83 -10.02 -11.81
197605   7.02  10.30   4.69  10.40   5.00  11.83   1.96  11.47   6.35  -0.82
197606   6.92  10.07   2.04   7.20   2.79  13.13   4.86  12.26   2.10   2.73
197607   4.63   6.47   2.20   6.40   0.95   5.66   7.93   7.45   1.15   3.83
197608  -3.10  -1.26  -2.37  -3.40  -1.95  -5.66  -2.13  -4.93  -1.79  -2.56
197609  -8.37  -9.22  -7.91  -7.95 -10.21  -8.91  -7.95  -9.02  -8.17  -8.07
197610 -12.19 -13.47  -8.74 -14.80 -10.86 -15.34 -11.15 -15.56  -9.18 -13.86
197611   5.98   7.25   2.82   5.41   3.75  12.06   6.74  10.56   3.06   2.52
197612   3.50   4.44   0.61   0.02   1.97   7.59  -3.06   6.79   0.93   5.73
197701  -6.45  -7.34  -3.83  -5.35  -7.14  -6.89  -4.08  -6.39  -6.47  -9.93
197702  -1.56   0.97  -2.17   4.08  -4.21   5.50  -0.49   5.22  -2.41  -3.16
197703  -1.55  -3.79   1.16  -1.58  -0.82   1.25  -3.01   2.52  -0.37  -7.35
197704  -4.20  -4.81  -3.29  -2.26  -1.01  -1.07  -4.87  -0.12  -2.12  -9.00
197705  -3.76  -3.31  -0.66  -1.79   0.17  -0.26  -5.81  -0.14  -0.64  -6.93
197706   5.68   6.07   5.83   5.25   4.93   5.30   5.46   5.63   5.10   5.72
197707  -7.08 -11.76  -4.55  -9.25  -3.98 -12.09  -8.88 -10.35  -4.93  -9.28
197708  20.03  20.95  13.37  17.35  15.25  23.91  13.33  21.62  15.03  31.61
197709  -3.39  -2.58  -0.42  -0.33  -1.60   2.47  -6.87   2.53   0.70 -11.45
197710  -6.62  -6.70  -6.20  -5.18  -8.21  -5.29 -10.14  -5.39  -6.75  -9.69
197711  -5.07  -4.65  -4.48  -4.10  -4.47  -2.70 -12.31  -2.87  -5.02  -9.07
197712  -0.93   0.64  -5.82   1.99  -4.89   3.65 -11.68   3.17  -5.20   2.24
197801   7.06  11.18   5.66   5.51   6.64   9.08   8.92   5.37   7.32   9.67
197802   5.69   7.24   5.82   4.02   3.70   5.44   0.65   3.71   2.96  11.72
197803   4.25   0.11   6.61   7.22   2.19  -1.14  -5.50   0.69   1.51   7.67
197804  -1.30  -2.46  -0.23  -3.10  -0.80  -2.20  -6.92  -2.78  -0.24   0.56
197805   5.71  11.53   4.47   0.06   3.89  10.92   5.34   5.10   4.86  11.16
197806  -8.05  -2.43 -15.58   0.64  -0.53  -4.41   0.45  -3.85  -0.76 -26.11
197807   1.61   3.83   1.37   0.49   0.84   2.94   7.24   0.50   1.04   2.92
197808   8.48  11.22   6.70   7.93   4.64  10.90   6.90   9.98   4.61  14.44
197809  21.10  19.54  22.40  25.79  18.31  25.80  27.02  26.07  21.75  20.03
197810  -1.68  -3.69  -0.73  -0.33   0.80  -2.90   1.24   0.61  -0.14  -6.71
197811  -9.87 -12.48  -8.41  -8.47 -10.73  -9.53  -5.04  -6.24  -9.87 -13.81
197812   0.79   0.13   0.84   2.92   0.02   1.20   2.79   2.21   0.99  -2.27
197901   3.82   4.14   3.63  -1.15   4.23  -4.03   4.49  -2.69   3.66  10.93
197902   5.70  11.30   4.45   3.62   5.28   7.83   7.79   5.64   4.45  11.64
197903   2.02  -3.38   5.64  -0.24   5.94  -1.54  -3.45  -0.90   4.47  -1.45
197904  -5.29  -6.88  -3.89  -4.77  -5.05  -4.17  -3.75  -3.93  -5.51  -7.62
197905   3.30  -1.11   6.63  -3.91   7.39  -4.46  14.35  -3.37   5.14   8.66
197906   2.35   1.95   4.06   4.04   2.87   4.02   6.14   4.10   2.47   1.52
197907   5.93   2.27   7.90   5.92   8.14   4.93   6.43   3.94   8.24   2.33
197908   8.95   4.49  11.35   8.10  11.84   4.12  11.97   4.83  12.88   5.00
197909   4.24   1.22  10.04   2.46  11.42   1.27   1.99   3.45  10.53  -1.28
197910  -8.57  -8.66  -6.85  -8.03  -7.29  -6.32  -9.68  -5.77 -11.02 -10.18
197911  -1.32  -3.59   1.51   0.20   1.41  -1.58  -0.13  -2.19   1.11  -5.09
197912  -0.22  -0.98   1.20   2.28   1.24   1.17   0.67   0.75   1.05  -1.69
198001   9.73   1.91  13.86  10.68  16.91  -5.66   7.35   6.54  15.96   1.00
198002   1.26   0.74   1.04   1.02   3.40  -1.74   1.81   3.82   1.40   0.13
198003 -10.57  -6.85 -13.17 -10.81 -12.87  -3.52 -12.23 -10.29 -12.57  -4.86
198004   9.86   6.64  13.39   8.93  12.11   3.50   8.36   3.59  11.98   6.81
198005   3.82  -1.94   8.21   0.02  10.73  -5.50   4.34  -0.46   7.98  -1.26
198006   4.28   5.24   4.76  10.95   4.26  -0.26  -1.19   6.58   6.78  -2.09
198007  11.15   2.69  15.76   7.21  15.89  -0.49   5.87   4.00  16.00   4.74
198008   7.86  10.99   6.11  11.85   6.84   6.35  13.20   9.76  10.06   9.47
198009  12.98  12.86  13.40  21.24  12.73   9.20   9.76  16.77  13.12   5.64
198010  24.12  41.10  15.17  54.03  14.91  18.49  16.17  37.69  22.93  10.71
198011  -8.03  -9.71  -7.15 -10.77  -5.67  -7.21  -6.88  -3.18  -9.22  -7.78
198012   0.10  -2.13   2.15  -1.05   3.12 -12.79   1.26  -6.14   3.10   0.07
198101  15.26   4.08  19.74  19.78  23.83  -4.79   5.57  16.59  28.37  -4.50
198102   6.71   6.09   8.29   2.71  10.01  14.13   6.96   0.75   8.61   7.10
198103   2.81  -1.61  -2.17  14.65  -2.13  -3.87  -4.52   1.81   1.06  -3.31
198104   5.02   2.48   1.58  11.18   1.36  -0.87  -1.29   4.09   6.23  -0.03
198105   0.44  -8.86   2.27   6.74   2.41  -8.88   3.24  -7.20   1.86  -6.82
198106 -20.24 -17.08 -21.51 -21.86 -22.05 -19.65 -23.18 -20.64 -21.01 -14.75
198107 -10.46 -16.77 -10.64  -6.78 -12.61 -18.50 -10.10 -14.81 -11.02 -14.14
198108  11.52   0.32  12.03  15.59  14.00   1.54   4.94   7.20  15.42  -0.80
198109 -12.66 -10.01 -11.28 -15.92 -12.46  -8.25 -11.98 -11.71 -12.03  -7.60
198110  -8.33  -4.84  -6.70 -11.19  -5.30  -3.72  -0.23  -7.00  -9.02  -3.42
198111  10.78   6.52  14.02   7.82  15.85   4.99   7.48   7.45  13.84   5.97
198112  -3.78  -0.86  -2.60  -5.35  -2.04   1.41  -8.46  -4.81  -1.76  -2.36
198201  -4.48  -0.68  -6.57  -3.95  -7.74   6.91  -2.54  -3.20  -7.14   2.34
198202   2.85   0.22   2.99   4.29   4.69   0.07   3.69   8.99   2.88  -0.68
198203  -3.38  -2.51  -3.74  -2.17  -5.39  -3.58  -2.27  -6.12  -3.15  -3.65
