
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
199401 -16.18 -16.25 -18.33 -16.60 -21.61 -15.87 -20.91 -17.53 -18.45 -18.23
199402   6.16  14.08   7.09   9.12  18.60   7.09  16.24  10.91  11.43  19.99
199403 -15.30 -22.46 -14.83 -12.01 -23.34 -11.64 -23.57 -13.67 -22.92 -18.24
199404   9.79  10.11   9.92  10.63   8.87  11.97   8.77   9.72  13.25  -0.85
199405  -3.62  -5.39  -2.74  -2.77 -11.80  -2.16  -9.96  -2.51 -10.54  -8.84
199406   1.21   2.44  -0.29  -1.04   1.69   0.05   2.19   0.09  -2.29   2.22
199407   3.77   7.32   5.97   5.07   7.56   4.31   7.85   3.85   7.32   5.02
199408  12.08  13.54  12.12  12.42  17.82  11.85  18.05  11.44  15.49  16.62
199409  -0.10   2.57   1.77   0.90   4.53   0.47   5.14   0.02   6.38  -0.67
199410  -1.46  -1.79  -2.17  -1.06  -7.15  -0.98  -6.66  -0.70  -7.06  -7.71
199411  -8.81  -6.80  -8.76  -4.72 -10.45  -3.53  -8.38  -4.43 -12.18 -11.43
199412  -3.53  -2.48  -2.71  -1.40  -5.34  -1.01  -5.29  -1.15  -7.11  -6.47
199501 -11.03 -14.54 -11.29 -10.67 -16.51  -6.62 -16.31 -10.48 -13.24 -16.15
199502  14.26  20.12  15.11  11.42  21.46   8.83  23.06  11.94  22.68  25.06
199503   0.52   0.13   0.82   2.03  -2.52   0.82  -1.55   1.16   1.82  -8.57
199504  -1.67  -4.21  -2.84   1.10  -7.06   1.43  -6.12  -0.31  -5.29  -6.58
199505  12.09  11.55  17.30   7.28  11.59   5.05  12.05  10.29  12.94  16.65
199506  -1.51   0.10  -3.67   0.98  -3.77  -0.16  -3.41   0.89  -3.50  -7.13
199507   2.39   3.77   3.83   2.78   2.95  -0.73   4.45   2.27   4.76   0.71
199508  -5.38  -4.79  -5.82  -4.76  -6.46  -4.43  -5.83  -3.99  -7.45  -4.85
199509  -2.07  -3.84  -4.05  -2.80  -1.76   1.88  -2.53  -1.21  -5.36   1.29
199510  -5.16  -8.53  -3.26  -3.69 -10.10  -3.85  -9.25  -4.90  -6.64  -8.18
199511  -0.02   0.18  -1.94  -1.49   0.60   1.11   0.73   0.58  -1.21   6.36
199512   5.25   6.24   4.97   5.78   5.60   5.78   3.97   6.09   2.55   4.31
199601   4.42   5.88   4.80   5.65   5.75   5.98   4.78   1.97   4.58   9.15
199602   3.46   1.76   3.78   3.16   2.61   2.12   3.02   3.60   3.70   1.31
199603   6.27   4.39   7.34   7.81   2.70   5.76   3.35   7.33   5.49   5.45
199604   5.18   9.09   4.05   8.47   6.04   9.69   5.23   6.48   3.90   4.99
199605  -3.86  -7.30  -3.54  -4.33  -4.33  -4.20  -4.76  -4.01  -3.56  -4.25
199606  -0.03  -0.31   0.69   0.49   0.80   1.01  -0.80   1.30  -0.89   0.18
199607  -6.13  -4.43  -7.94  -4.71  -6.70  -3.17  -8.39  -2.49  -7.80  -8.99
199608   5.19   4.51   7.36   5.74   7.02   5.03   7.30   7.35   4.42  -0.64
199609   1.65  -1.01   2.14   1.74   2.13  -1.34   2.42  -0.38   1.88   1.53
199610   2.05   0.41   0.24   1.28   0.82   3.06   0.48   2.81   2.52  -7.19
199611   4.04   3.26   1.88   5.38   5.44   1.25   2.13   3.54   5.98  -3.06
199612   0.60  -0.88   1.51  -0.25   2.23  -0.15  -3.13   1.72   1.48  -3.13
199701   1.57   6.86   0.78   4.35   1.46   2.29   3.28   3.65  -0.08   8.85
199702   4.94  10.66   3.64   9.04   4.59   6.42   5.06   6.47   3.75  13.65
199703  -5.40  -7.56  -5.63  -6.32  -4.80  -3.12  -7.08  -7.23  -4.94  -9.96
199704 -11.49 -11.34 -11.92 -11.15 -10.64 -10.20 -14.22  -7.19 -13.20 -13.47
199705   1.68   0.15   1.50   2.05   2.07  -1.25   2.17   2.30   2.07   3.57
199706  -2.75  -0.61  -3.49  -3.33  -0.97  -0.17  -4.90  -0.18  -2.90  -8.17
199707  -8.94  -6.32  -6.09  -7.66  -9.41  -6.35  -5.85  -3.36 -12.14  -8.65
199708 -29.34 -29.11 -31.72 -34.00 -29.67 -32.45 -30.43 -26.48 -30.11 -33.19
199709  -6.22  -3.41  -8.26  -3.54 -12.39  -0.22  -9.59  -0.94  -9.91   6.95
199710 -19.05 -21.36 -18.71 -21.90 -21.45 -19.22 -21.25 -11.95 -20.70 -21.06
199711 -21.97 -22.16 -23.89 -23.11 -28.03 -23.06 -33.02 -13.79 -25.54 -45.58
199712  -2.13 -14.03  -3.48 -19.33   0.42 -16.50 -10.66 -10.24  10.63 -37.81
199801 -10.60  -2.29  -9.61 -16.02  -7.29 -10.30  -9.69  -9.31 -13.09 -49.21
199802  48.37 116.54  35.15 106.53  29.59  87.82  33.47  75.04  45.53 146.96
199803  -2.37  -9.50  -1.09  -6.99  -0.34  -2.48  -1.06  -8.56  -1.50 -16.33
199804 -14.68 -27.55 -12.39 -20.76  -9.24 -20.43 -10.94 -20.85 -15.20 -24.96
199805 -16.27 -22.26 -14.71 -23.46 -15.75 -24.11 -16.90 -18.12 -17.00 -28.78
199806 -22.04 -23.90 -22.37 -23.20 -21.20 -19.05 -21.71 -21.20 -24.80 -20.56
199807 -10.36 -17.60  -9.17 -10.96  -3.87  -6.46  -6.46 -13.70 -11.57 -36.09
199808 -26.89 -19.64 -27.79 -24.76 -28.33 -30.68 -29.50 -23.43 -26.13 -10.74
199809  -5.32  20.69  -9.65  10.75 -15.67   0.57 -10.66  11.55  -4.34  77.21
199810   9.21  10.44   8.22   8.75   6.24   8.33   7.63   8.45  10.22  17.84
199811  24.02  40.00  19.95  39.80  18.84  39.04  18.09  31.02  20.88  14.92
199812  14.72  -0.26  21.60   4.01  15.21   2.22  22.46   8.05  23.02 -20.33
199901   2.98   4.75   1.29  13.30  10.26  11.54   6.31   5.34  -4.60   9.20
199902  -9.08 -16.24  -7.74 -10.85  -9.56 -10.44  -7.58  -6.62  -9.09 -16.34
199903   5.61  -5.24   6.47   7.74   9.98   7.00   5.40   5.98   4.94  -8.94
199904  34.77  55.86  31.72  35.54  37.61  38.05  23.50  29.59  42.58  48.76
199905  10.91  18.43   8.75  14.95   7.34  15.00   6.96   8.64  11.86  16.69
199906  24.90  53.31  18.97  24.95  25.87  26.13  20.65  21.12  23.02  57.30
199907  -4.39   5.26  -5.39  -6.62  -0.91  -5.92  -2.12  -7.66  -5.27  14.29
199908  11.04   8.43  13.35  12.96  15.80  12.26  12.67   6.54  10.10  10.86
199909 -12.38 -19.83  -9.59 -11.32 -10.19 -12.36 -12.38 -12.63 -11.95 -23.16
199910  11.15   7.33  10.59  11.49   9.41  14.62   8.13  11.29  12.72   9.69
199911  -1.25  -5.65  -0.32  -2.89  -0.81  -0.96  -1.81   0.42  -0.49  -7.73
199912   9.91   6.26  10.21   9.36   3.23  12.17   6.87  10.21  11.85   2.85
200001  13.91   9.44  16.31   0.97  16.87   6.62  14.16   4.20  18.24  22.54
200002   6.78  12.30   5.65   3.79   6.41   3.91   7.28   1.96   7.52  21.24
200003  -1.10  -0.61  -0.81   0.74  -1.47   0.96  -1.38  -0.38  -1.69  -0.92
200004  -7.64  -8.16  -7.86  -0.74  -7.92  -3.94 -11.99  -1.76  -8.29 -13.27
200005   1.32   0.91   2.69   1.44   3.36   1.01   1.80   5.75   2.70  -5.71
200006  -9.74 -14.10  -9.43  -4.71  -8.15  -5.63  -9.04  -6.08  -9.77 -20.27
200007  -4.11   1.75  -5.54  -0.65  -5.61   1.65  -9.18  -2.99  -5.48   3.31
200008  -0.51   0.07  -0.40  -0.82  -1.80   0.19  -4.72   0.39  -0.71  -2.57
200009 -11.15 -15.23 -10.00  -4.17  -9.46  -8.20 -11.55  -5.22 -11.09 -21.21
200010   5.59   1.89   6.61   5.05   6.40   7.11   7.24   3.54   8.28   0.09
200011  -2.87  -3.44  -1.47  -2.77  -2.56  -2.34  -0.13  -1.42  -2.18 -10.25
200012  -7.16 -14.06  -7.47  -5.81  -6.54  -6.28  -8.12  -4.36  -7.56 -22.79
200101   8.32  12.06   7.95   9.44   6.65   9.79   7.74   3.61   5.79  25.34
200102  -2.86  -9.02  -1.48  -5.00  -0.81  -4.41  -1.71  -1.72  -1.34 -15.29
200103  -8.95 -12.02  -9.02 -11.05  -8.75  -9.94  -7.47  -5.40  -8.69 -19.44
200104  -8.84   5.37 -12.62  -2.21 -14.33  -4.91 -12.60  -2.30 -16.63   4.06
200105  -1.36   4.61  -3.26   2.00  -5.03   1.58  -6.16   1.97  -6.70   3.12
200106   2.77  -1.40   2.91   1.88   3.89   0.32   3.24   4.11   5.50  -1.54
200107  11.47  13.54  10.15  19.83  12.24  18.59  11.46   5.93  15.63  25.78
200108   4.37  -0.71   5.42   2.92   5.31   4.89   5.10   2.60   5.22   0.44
200109 -10.55 -19.18  -9.23 -12.13 -10.35 -14.71  -8.39  -6.53 -12.20 -21.15
200110  -1.96   2.06  -2.79   0.02  -4.14   0.16  -5.50   1.34  -4.70   0.38

     Value-Weight Local  Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
199401 -13.82 -13.88 -16.03 -14.24 -19.39 -13.50 -18.68 -15.20 -16.15 -15.92
199402   4.55  12.35   5.46   7.47  16.80   5.47  14.48   9.23   9.74  18.17
199403 -16.97 -24.00 -16.52 -13.75 -24.86 -13.39 -25.08 -15.38 -24.45 -19.86
199404  10.00  10.31  10.12  10.84   9.07  12.18   8.97   9.93  13.46  -0.67
199405  -7.19  -8.89  -6.34  -6.37 -15.06  -5.78 -13.29  -6.11 -13.85 -12.21
199406   2.19   3.43   0.68  -0.08   2.68   1.02   3.18   1.06  -1.34   3.21
199407   3.17   6.70   5.36   4.47   6.94   3.70   7.23   3.26   6.70   4.42
199408  10.26  11.70  10.30  10.59  15.91  10.04  16.14   9.63  13.62  14.73
199409   0.41   3.10   2.29   1.41   5.07   0.98   5.68   0.54   6.92  -0.17
199410  -1.46  -1.79  -2.17  -1.06  -7.15  -0.98  -6.66  -0.70  -7.06  -7.71
199411  -8.81  -6.80  -8.76  -4.72 -10.45  -3.53  -8.38  -4.43 -12.18 -11.43
199412  -3.90  -2.86  -3.09  -1.78  -5.71  -1.40  -5.66  -1.54  -7.47  -6.83
199501 -10.68 -14.20 -10.94 -10.32 -16.18  -6.26 -15.99 -10.13 -12.90 -15.82
199502  13.82  19.65  14.66  10.98  20.99   8.40  22.58  11.51  22.20  24.57
199503  -0.27  -0.65   0.03   1.23  -3.28   0.03  -2.32   0.37   1.02  -9.28
199504  -3.96  -6.44  -5.11  -1.25  -9.22  -0.94  -8.31  -2.64  -7.50  -8.76
199505  11.86  11.33  17.07   7.06  11.36   4.83  11.83  10.07  12.71  16.42
199506  -2.63  -1.03  -4.76  -0.17  -4.86  -1.30  -4.51  -0.25  -4.59  -8.19
199507   3.19   4.58   4.64   3.58   3.76   0.04   5.27   3.06   5.58   1.49
199508  -3.95  -3.36  -4.40  -3.33  -5.05  -2.99  -4.41  -2.55  -6.05  -3.42
199509  -1.24  -3.03  -3.24  -1.98  -0.93   2.73  -1.71  -0.38  -4.56   2.14
199510  -4.18  -7.58  -2.26  -2.70  -9.17  -2.86  -8.31  -3.92  -5.68  -7.23
199511  -0.18   0.03  -2.10  -1.65   0.44   0.95   0.57   0.42  -1.36   6.19
199512   5.41   6.41   5.14   5.95   5.77   5.95   4.14   6.26   2.71   4.47
199601   5.20   6.67   5.58   6.44   6.54   6.78   5.56   2.73   5.36   9.97
199602   2.97   1.28   3.30   2.67   2.13   1.64   2.53   3.12   3.21   0.84
199603   5.68   3.82   6.75   7.22   2.13   5.17   2.78   6.74   4.91   4.87
199604   3.48   7.32   2.37   6.72   4.33   7.92   3.53   4.76   2.22   3.29
199605  -3.67  -7.11  -3.35  -4.14  -4.14  -4.01  -4.57  -3.82  -3.37  -4.05
199606  -0.15  -0.43   0.57   0.37   0.68   0.89  -0.92   1.18  -1.01   0.06
199607  -6.13  -4.43  -7.94  -4.71  -6.70  -3.17  -8.39  -2.49  -7.80  -8.99
199608   5.14   4.47   7.32   5.70   6.97   4.99   7.26   7.31   4.38  -0.68
199609   2.14  -0.53   2.63   2.23   2.62  -0.87   2.92   0.09   2.37   2.02
199610   2.91   1.25   1.08   2.13   1.66   3.92   1.32   3.67   3.37  -6.42
199611   4.04   3.26   1.88   5.38   5.44   1.25   2.13   3.54   5.98  -3.06
199612   0.56  -0.92   1.47  -0.29   2.19  -0.19  -3.17   1.68   1.44  -3.17
199701  -0.04   5.17  -0.82   2.70  -0.15   0.67   1.64   2.01  -1.67   7.13
199702   4.77  10.48   3.47   8.86   4.43   6.25   4.90   6.30   3.58  13.47
199703  -5.59  -7.75  -5.82  -6.51  -4.99  -3.32  -7.26  -7.41  -5.13 -10.14
199704 -10.42 -10.26 -10.85 -10.07  -9.56  -9.11 -13.18  -6.07 -12.15 -12.43
199705   1.80   0.27   1.62   2.17   2.19  -1.14   2.30   2.42   2.20   3.69
199706  -2.29  -0.13  -3.03  -2.87  -0.49   0.31  -4.45   0.30  -2.43  -7.74
199707  -4.82  -2.09  -1.85  -3.49  -5.31  -2.11  -1.60   1.01  -8.17  -4.52
199708 -22.00 -21.74 -24.62 -27.14 -22.36 -25.43 -23.20 -18.83 -22.85 -26.25
199709   4.57   7.71   2.30   7.56  -2.31  11.26   0.82  10.46   0.46  19.27
199710 -16.68 -19.05 -16.33 -19.61 -19.15 -16.85 -18.95  -9.37 -18.38 -18.75
199711 -18.45 -18.64 -20.45 -19.63 -24.78 -19.58 -29.99  -9.89 -22.17 -43.12
199712   9.06  -4.21   7.55 -10.11  11.89  -6.96  -0.45   0.02  23.27 -30.70
199801  -3.91   5.02  -2.85  -9.74  -0.36  -3.59  -2.94  -2.52  -6.59 -45.41
199802  30.41  90.33  18.79  81.54  13.91  65.09  17.32  53.86  27.91 117.07
199803  -3.30 -10.36  -2.03  -7.87  -1.29  -3.40  -2.00  -9.43  -2.44 -17.13
