
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  11.02   3.72  16.18  -0.13  16.01  -3.10  19.34   3.84  19.54 -99.99
197502   3.13  -2.33   4.64   1.11   4.34   1.41   5.35  -2.15   5.89 -99.99
197503  -4.26  -0.02  -5.17  -4.69  -5.26  -2.43  -4.33  -1.24  -4.78 -99.99
197504   6.09  -4.29  12.03 -12.77  11.81 -13.71  13.08  -4.91  13.44 -99.99
197505  -2.07   4.95  -3.43   0.79  -3.28  -2.16  -4.31   3.83  -4.58 -99.99
197506  -1.29   0.53  -4.15  14.88  -4.20  25.43  -5.59  -0.38  -6.53 -99.99
197507  -2.59  -7.92  -1.68  -3.20  -1.77  -3.89  -0.50  -4.03  -0.20 -99.99
197508  -3.06  -1.50  -2.70  -7.03  -2.36  -8.67  -2.96  -0.35  -2.57 -99.99
197509 -17.06  -9.08 -20.64 -11.03 -20.53 -14.12 -21.82  -3.49 -22.51 -99.99
197510   3.87   6.96   3.26   3.18   3.78  -3.03   4.05  10.26   3.51 -99.99
197511  -7.20  -2.31  -9.19  -2.01  -8.95  -1.50 -10.37  -3.19 -10.97 -99.99
197512   0.99   3.94  -1.04   5.67  -1.10   3.39  -1.52   2.82  -2.11 -99.99
197601  19.91  16.04  23.15  28.59  21.91  15.26  26.07   5.05  25.87 -99.99
197602  -6.75  -3.99  -7.73  -5.10  -8.23  -1.59  -9.42  -2.82  -9.39 -99.99
197603  -3.85   1.84  -5.57   3.66  -6.83  -4.16  -7.16  -0.44  -7.87 -99.99
197604  -1.85  -3.26  -2.57  -0.56  -2.75  -0.97  -2.22   0.09  -2.58 -99.99
197605  -2.53  -1.86  -2.79  -2.92  -2.94  -0.84  -4.39   0.78  -3.84 -99.99
197606   7.57   4.41   8.47  11.26   8.39   5.57   8.62   3.96   8.01 -99.99
197607   3.09   7.64   1.45  10.54   0.32   6.79   0.00   5.25  -0.49 -99.99
197608  -2.25  -3.52  -2.23  -5.54  -1.85  -0.75  -2.73   0.00  -2.20 -99.99
197609   2.84  -0.73   3.53  -1.46   4.09   0.18   5.17   1.42   5.50 -99.99
197610  -4.08  -6.79  -4.11 -12.60  -2.73  -6.24  -3.90  -2.68  -3.39 -99.99
197611   4.22  -0.25   4.97   2.21   5.62  -1.38   6.14   2.24   6.10 -99.99
197612   0.41   1.59  -0.50  -3.33   0.62   2.26  -1.19   4.28  -0.80 -99.99
197701  -3.51  -0.12  -4.47  -0.71  -2.54 -99.99 -99.99  -4.31  -2.58  -7.82
197702  -3.44   0.39  -4.20  -7.31  -3.33 -99.99 -99.99  -4.56  -3.78  -4.00
197703   1.40   1.63   1.52   2.10   0.44 -99.99 -99.99   2.40   0.63   4.53
197704  -5.92  -9.73  -7.01  -0.69  -8.67 -99.99 -99.99  -1.19  -7.31  -9.26
197705  -3.24  -1.82  -4.23   0.57  -1.87 -99.99 -99.99   1.52  -2.39 -10.03
197706   2.08   0.18   3.51  -1.16   4.17 -99.99 -99.99  -1.88   4.98  -0.09
197707   0.06  -4.96   0.70   2.10  -0.14 -99.99 -99.99   2.15   0.55   4.20
197708  -7.65 -15.23  -6.60  -4.04  -6.99 -99.99 -99.99  -2.57  -6.41 -11.50
197709   3.76  -5.86   7.06   1.25  10.60 -99.99 -99.99   0.31  10.76  -9.73
197710  -1.45   2.54  -2.04   0.97  -2.96 -99.99 -99.99   0.60  -3.03  -1.14
197711  -2.57  -3.57  -3.13   0.20  -2.70 -99.99 -99.99   0.78  -2.64 -17.60
197712   0.69   4.38  -1.57   7.48  -1.56 -99.99 -99.99   8.39  -2.40   5.12
197801  -5.43  -1.62  -7.15  -0.72  -7.31 -99.99 -99.99  -2.59  -8.49  -6.83
197802  -2.79   6.30  -2.94  -6.85  -0.41 -99.99 -99.99  -7.18  -1.71   4.32
197803   1.05  -3.35   2.51   0.94   1.50 -99.99 -99.99   0.67   3.41   0.73
197804   0.28  -0.31   1.18  -2.55  -0.04 -99.99 -99.99  -0.57   1.36   0.94
197805   3.06  13.12   0.84   0.86   2.99 -99.99 -99.99   0.74   1.00   8.42
197806  -5.29  -5.38  -4.74  -0.08  -7.06 -99.99 -99.99  -1.23  -6.71  -5.49
197807   6.29   3.31   7.11   4.90   7.86 -99.99 -99.99   5.17   8.31   3.42
197808  18.95  25.80  18.26   5.75  24.12 -99.99 -99.99   6.19  22.56  25.00
197809   5.76  -0.72   6.59   3.35   6.36 -99.99 -99.99   4.21   7.41   5.49
197810  -5.48  -0.22 -10.26   9.64 -13.04 -99.99 -99.99   9.50 -16.59   8.08
197811  -4.96  -4.19  -4.29  -5.18  -3.68 -99.99 -99.99  -4.71  -4.81  -5.97
197812   1.07   4.23  -0.21   4.12  -2.53 -99.99 -99.99   4.18  -2.14   2.37
197901   6.32   0.83   7.42  -0.51  10.21 -99.99 -99.99   0.36   1.16  -0.70
197902  12.36   8.25  12.96   2.69  15.12 -99.99 -99.99   3.03  10.77  13.95
197903   2.64  -0.06   2.89  -3.07   5.54 -99.99 -99.99  -4.42   3.22  -5.01
197904  13.47   1.45  15.65   2.11  16.62 -99.99 -99.99   3.51  10.55   7.50
197905  12.09   4.65  14.44  -1.82  16.82 -99.99 -99.99  -2.22   9.06  -0.69
197906  19.02   3.96  23.73  -1.90  25.17 -99.99 -99.99  -1.01  -0.15  -0.87
197907  -0.47  12.35  -0.06   3.89  -1.33 -99.99 -99.99   4.04 -15.00   3.07
197908   1.92   1.07   1.36   1.25   2.01 -99.99 -99.99   0.93   8.07   0.34
197909  16.65   5.24  19.63   4.50  19.49 -99.99 -99.99   4.61  -0.90  10.20
197910   7.42   1.79   7.42   0.34   8.97 -99.99 -99.99  -0.35  12.26   5.02
197911  18.94  -4.36  23.64   1.22  23.03 -99.99 -99.99   2.14  -7.69  -3.45
197912  -1.97  -5.48  -1.57   2.87  -2.51 -99.99 -99.99   2.18  -6.96   0.95
198001   2.12   4.97   2.07   4.97   1.81 -99.99 -99.99   4.02   1.99   6.17
198002  -6.24   8.22  -8.92   8.22  -8.25 -99.99 -99.99   1.58 -10.06  17.84
198003 -26.72  -8.58 -29.99  -8.58 -30.07 -99.99 -99.99 -11.89 -31.49 -12.79
198004  15.70   2.69  18.99   2.69  18.76 -99.99 -99.99   3.17  20.47   5.08
198005  13.13   1.18  16.05   1.18  15.89 -99.99 -99.99   3.39  17.11   0.33
