
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501   3.18  -2.08   9.28  -2.49   9.34  -1.35  10.73  -5.35   9.59 -99.99
197502   5.57  10.73  12.87  12.77  12.84  19.19   8.20  -2.36  12.99 -99.99
197503  -4.38  -2.53  -4.52  -1.14  -4.00  -5.09  -3.34  -1.71  -4.54 -99.99
197504   3.79   1.18   0.87  -2.13   1.54  -1.95   3.93   4.81   0.82 -99.99
197505  -4.39  -0.09  -3.36  -0.17  -2.35  -1.53   0.15  -4.97  -3.46 -99.99
197506  -5.08  -7.23  -8.04  -7.12  -8.07  -8.50  -5.76  -1.86  -8.14 -99.99
197507  -5.15  -3.88  -5.92  -2.91  -6.47  -3.89  -1.72  -1.27  -5.97 -99.99
197508   1.86  -0.94   3.38  -2.14   3.59  -5.71  -0.93  -0.14   3.58 -99.99
197509  -5.15  -8.18  -6.62  -8.13  -5.58 -10.15  -4.22  -2.99  -6.69 -99.99
197510   5.18   6.68   2.30  12.48   2.26   4.55   6.84  10.22   2.35 -99.99
197511  12.21   0.36  14.67  12.63  13.94  -1.16  11.65   4.49  14.81 -99.99
197512  -2.59   2.21  -2.05   0.11  -0.75   8.97   5.29  -2.77  -2.42 -99.99
197601  -4.99 -13.03  -0.21  -4.57  -3.41  -1.31 -10.19 -12.11   0.10 -99.99
197602 -14.35 -11.41 -13.91 -10.57 -15.30 -10.57 -15.81 -11.61 -14.06 -99.99
197603  -5.41   5.10 -11.66   1.09  -7.57  -1.13   1.42   5.15 -12.28 -99.99
197604   8.63  -1.52  17.00   2.68  10.79   4.76   0.38  -1.09  17.59 -99.99
197605  -3.27  -2.09  -3.18  -2.30  -1.95   0.08  -2.93  -2.02  -3.88 -99.99
197606  -7.01  -6.82  -6.58  -6.77  -6.13  -7.22  -7.92  -7.36  -6.13 -99.99
197607  -0.63   0.55  -1.00  -2.25  -0.93  -5.23  -0.01   0.66  -1.64 -99.99
197608  -2.63   0.84  -4.68  -3.61  -4.55  -6.06  -0.31   1.14  -4.62 -99.99
197609   1.13  11.02  -2.92   7.12  -1.27   4.66   5.16  10.97  -3.64 -99.99
197610  -7.04  -6.46 -10.25  -3.93  -8.04  -6.64  -3.48  -5.54 -11.13 -99.99
197611   4.21  -4.45  12.78   0.25   5.59  -0.14  -4.96  -4.67  14.95 -99.99
197612  -7.80  -4.67 -10.93  -6.72  -6.82  -6.89  -3.34  -4.51 -11.50 -99.99
