This file was created using the 202403 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 prior return portfolios in Developed.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
199011   ,1.49  ,-0.44  ,-2.05  ,-1.65  ,-0.35   ,0.60  ,-2.05  ,-3.57  ,-4.11  ,-2.82  ,-2.86  ,-3.73  ,-5.74  ,-6.92  ,-5.40  ,-0.61  ,-4.91  ,-2.96  ,-5.77  ,-6.07  ,-5.95  ,-6.11  ,-2.99  ,-1.85   ,0.71
199012  ,-1.45   ,1.26  ,-0.09   ,0.14   ,0.37   ,0.60   ,1.26   ,0.34   ,0.56  ,-0.77   ,0.65   ,0.95   ,0.02  ,-0.17  ,-0.19   ,1.74   ,2.09   ,1.84   ,0.07  ,-2.98   ,6.15   ,3.72   ,1.32   ,0.52  ,-0.47
199101   ,4.41   ,1.47   ,0.37  ,-0.31   ,2.64   ,2.81  ,-0.71  ,-0.03  ,-1.49   ,1.25   ,1.58  ,-1.08   ,0.34   ,0.00   ,0.81   ,4.19   ,0.72  ,-0.10   ,0.46   ,1.29   ,5.39   ,3.92   ,4.15   ,1.91   ,3.52
199102  ,16.94  ,12.02   ,9.91   ,8.58  ,10.37  ,19.19  ,15.07  ,11.14  ,10.05   ,9.51  ,20.79  ,16.53  ,12.72  ,10.90  ,10.45  ,16.95  ,14.57  ,11.44   ,9.39   ,8.89  ,13.75   ,9.76   ,8.82   ,6.13   ,7.27
199103   ,2.33   ,1.36   ,0.46   ,2.14   ,4.93   ,0.07   ,0.75   ,0.99   ,0.62   ,4.14  ,-0.98   ,0.04  ,-1.42  ,-1.04   ,2.25  ,-2.20  ,-1.15  ,-2.00  ,-0.81   ,0.55  ,-3.32  ,-3.43  ,-3.61  ,-2.47  ,-0.53
199104   ,0.25   ,1.35   ,2.53   ,1.02   ,1.61   ,0.87   ,1.41   ,1.50   ,1.47   ,1.30   ,1.27   ,1.61   ,1.68   ,2.82   ,0.45   ,0.97   ,0.26   ,1.29   ,1.07   ,0.18   ,2.14   ,0.56   ,1.05   ,1.27   ,0.45
199105  ,-0.81   ,0.19  ,-0.31   ,1.03   ,2.82  ,-1.12   ,0.65   ,0.29   ,0.01   ,2.55  ,-0.52   ,1.02  ,-0.29   ,0.21   ,1.09   ,0.91  ,-0.22   ,0.53   ,0.29   ,1.24   ,2.38   ,1.19   ,1.82   ,0.77   ,1.62
199106  ,-4.79  ,-3.67  ,-2.74  ,-3.50  ,-4.21  ,-4.47  ,-4.00  ,-3.86  ,-4.18  ,-3.73  ,-4.79  ,-4.96  ,-3.12  ,-4.15  ,-3.93  ,-6.53  ,-5.65  ,-5.21  ,-4.48  ,-4.12  ,-7.12  ,-6.48  ,-6.54  ,-5.38  ,-5.12
199107   ,1.33   ,1.08   ,2.84   ,2.61   ,5.13  ,-0.11   ,1.58   ,1.09   ,2.60   ,3.75   ,0.99   ,2.03   ,1.59   ,1.22   ,4.78   ,1.06   ,2.12   ,1.62   ,3.58   ,4.44   ,2.76   ,2.98   ,3.36   ,5.06   ,6.74
199108  ,-1.24  ,-1.03   ,0.07   ,1.38   ,3.38  ,-3.24  ,-2.76   ,0.13  ,-0.60   ,5.37  ,-4.04  ,-1.89  ,-2.87  ,-1.86   ,1.92  ,-3.44  ,-3.04  ,-2.81  ,-3.00  ,-1.12  ,-0.15  ,-1.54  ,-1.13  ,-0.39   ,0.26
199109   ,2.32   ,3.36   ,3.18   ,3.73   ,6.16   ,3.06   ,4.34   ,4.64   ,5.25   ,6.06   ,2.99   ,5.22   ,5.55   ,4.34   ,5.24   ,3.70   ,4.93   ,4.65   ,6.30   ,5.03   ,2.10   ,2.40   ,3.36   ,2.84   ,3.53
