This file was created using the 202403 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Developed_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199007   ,4.54   ,4.21   ,4.83   ,3.84   ,3.82   ,5.67   ,5.76   ,5.83   ,3.54   ,4.62   ,4.09   ,4.89   ,4.62   ,4.96   ,5.83   ,4.33   ,5.18   ,3.66   ,5.21   ,5.31   ,3.15  ,-0.53   ,2.33   ,2.80   ,1.98
199008  ,-8.79  ,-9.77  ,-8.72  ,-8.54  ,-8.18 ,-12.75  ,-8.54 ,-12.55 ,-10.99 ,-11.10 ,-13.81 ,-11.10 ,-12.94 ,-11.80 ,-14.21 ,-11.47 ,-11.90 ,-12.75 ,-13.47 ,-12.93 ,-10.05 ,-10.18 ,-10.00  ,-9.37  ,-9.71
199009  ,-9.80  ,-7.41  ,-8.57  ,-7.61  ,-8.05 ,-11.01 ,-11.22 ,-11.58  ,-8.72  ,-9.86 ,-13.01 ,-11.86 ,-12.68 ,-14.03 ,-13.35 ,-15.18 ,-13.61 ,-14.36 ,-16.33 ,-14.67 ,-16.14 ,-14.31 ,-14.46 ,-12.98 ,-12.93
199010   ,3.14   ,1.85   ,2.13   ,0.77   ,0.51   ,9.61   ,6.73  ,10.50   ,5.81   ,5.07  ,16.41  ,11.95  ,12.29  ,11.97  ,12.14  ,15.83  ,12.88  ,15.04  ,14.19  ,15.48  ,16.27  ,23.48  ,16.92  ,12.47  ,13.85
199011  ,-4.87  ,-2.87  ,-2.86  ,-2.74  ,-3.14  ,-8.89  ,-5.07  ,-6.00  ,-5.23  ,-4.20 ,-11.15  ,-7.22  ,-7.18  ,-9.51  ,-8.87 ,-10.08  ,-8.10  ,-8.54  ,-9.69  ,-9.74  ,-7.50  ,-8.03  ,-6.22  ,-5.06  ,-7.75
199012  ,-2.41   ,0.46  ,-0.38  ,-1.55  ,-0.14  ,-0.72  ,-0.80  ,-0.61   ,0.50  ,-0.20   ,0.99  ,-1.59  ,-2.24  ,-1.96  ,-1.29  ,-1.49  ,-0.95  ,-1.33  ,-1.00  ,-1.13   ,2.28   ,3.71   ,2.85   ,0.42  ,-0.82
199101  ,-1.60  ,-2.76  ,-1.89  ,-1.26  ,-1.33  ,-3.08  ,-2.10  ,-1.80  ,-0.58  ,-1.22  ,-2.57  ,-2.74  ,-1.29  ,-3.43  ,-2.12  ,-2.19  ,-0.31  ,-1.87  ,-0.85  ,-0.75   ,3.24   ,3.23   ,3.44   ,1.62   ,3.67
199102  ,10.28   ,9.67   ,8.56   ,9.28   ,8.30  ,14.39  ,11.79  ,13.88  ,10.83  ,12.12  ,15.17  ,13.60  ,15.10  ,16.48  ,15.11  ,15.00  ,12.98  ,13.87  ,15.98  ,14.84   ,9.72   ,8.10   ,8.95  ,11.32  ,10.74
199103   ,0.02  ,-0.95  ,-1.43  ,-1.09  ,-1.28  ,-2.26  ,-3.85  ,-4.05  ,-2.37  ,-3.12  ,-2.75  ,-2.86  ,-2.33  ,-2.62  ,-2.39  ,-3.54  ,-3.98  ,-4.26  ,-3.02  ,-2.64  ,-5.67  ,-4.35  ,-4.25  ,-5.75  ,-5.15
199104   ,0.56   ,0.87   ,0.95   ,0.28   ,1.04   ,2.01   ,1.00   ,0.82   ,0.00   ,0.71   ,0.27   ,1.80   ,0.60   ,1.62  ,-0.08   ,0.42   ,0.52   ,0.78   ,0.87   ,0.99   ,0.70   ,2.43   ,1.50   ,1.64   ,0.77
199105  ,-1.02  ,-1.24  ,-1.88  ,-2.04  ,-1.87  ,-2.88  ,-2.61  ,-0.47  ,-0.58  ,-1.72  ,-2.09  ,-1.14  ,-1.11  ,-0.03  ,-0.87  ,-1.98  ,-1.17  ,-1.37  ,-0.19  ,-1.05  ,-0.86   ,0.21   ,0.62   ,0.44  ,-0.84
199106  ,-4.44  ,-4.91  ,-4.76  ,-4.88  ,-4.30  ,-5.39  ,-5.82  ,-5.36  ,-4.66  ,-4.26  ,-5.18  ,-5.24  ,-5.53  ,-4.82  ,-4.65  ,-5.98  ,-5.07  ,-6.01  ,-5.24  ,-5.99  ,-7.38  ,-7.17  ,-6.62  ,-7.62  ,-5.02
199107   ,0.71   ,2.60   ,2.43   ,3.63   ,2.27   ,0.99   ,3.46   ,0.77   ,1.71   ,1.27   ,0.43   ,3.10   ,1.66   ,1.59   ,0.97   ,0.34   ,1.24   ,1.90   ,2.80   ,2.49   ,3.66   ,3.59   ,5.44   ,5.31   ,4.39
199108  ,-3.44  ,-0.30   ,0.22  ,-0.10  ,-1.28  ,-4.13  ,-2.20  ,-2.36  ,-2.40  ,-3.41  ,-3.99  ,-4.64  ,-3.32  ,-4.74  ,-5.24  ,-4.39  ,-2.78  ,-5.49  ,-4.58  ,-4.28  ,-3.30  ,-2.15  ,-1.49  ,-2.45  ,-2.87
199109   ,5.96   ,6.90   ,5.14   ,5.30   ,5.32   ,5.32   ,7.27   ,6.60   ,3.11   ,3.90   ,4.85   ,7.35   ,6.14   ,5.11   ,7.34   ,7.45   ,6.76   ,7.52   ,7.15   ,6.84   ,6.16   ,6.09   ,5.24   ,6.40   ,5.18
199110   ,0.97  ,-0.19  ,-0.21   ,0.28  ,-0.44   ,2.94   ,2.32   ,0.01   ,0.93  ,-0.02   ,2.95   ,2.62   ,1.37  ,-0.91   ,2.24   ,1.32   ,1.62   ,1.57   ,0.03   ,0.82   ,3.96   ,3.93   ,0.92  ,-0.61   ,1.62
199111  ,-1.79  ,-1.60  ,-0.86  ,-0.61  ,-1.32  ,-4.02  ,-3.52  ,-4.32  ,-3.21  ,-4.92  ,-4.39  ,-7.03  ,-4.66  ,-5.98  ,-6.66  ,-7.14  ,-4.22  ,-7.59  ,-6.92  ,-6.29  ,-5.20  ,-4.95  ,-4.05  ,-5.44  ,-5.88
199112   ,2.82   ,2.17   ,2.98   ,2.11   ,1.52   ,4.04   ,2.81   ,1.97   ,2.68   ,2.73   ,4.79   ,3.99   ,3.14   ,2.93   ,3.50   ,4.52   ,3.86   ,4.02   ,4.81   ,3.37   ,6.09   ,3.84   ,3.65   ,5.63   ,4.43
199201  ,-2.46  ,-2.05  ,-2.42  ,-0.97  ,-1.52  ,-3.22  ,-1.88  ,-2.34   ,0.08  ,-0.42  ,-1.87  ,-2.84  ,-0.39  ,-1.78  ,-1.46  ,-2.96  ,-2.00  ,-2.14  ,-1.33  ,-0.17  ,-3.43  ,-4.97  ,-2.49  ,-1.39  ,-1.15
199202  ,-0.40   ,0.33   ,0.46   ,0.80  ,-0.25  ,-1.84  ,-1.67  ,-1.68  ,-1.07   ,0.09  ,-1.34  ,-2.34  ,-1.18  ,-1.92  ,-2.09  ,-1.59  ,-1.61  ,-1.82  ,-2.45  ,-2.02  ,-4.82  ,-4.18  ,-3.95  ,-3.11  ,-3.99
199203  ,-4.94  ,-3.07  ,-3.09  ,-2.45  ,-2.66  ,-7.33  ,-4.48  ,-5.27  ,-4.26  ,-3.80  ,-6.00  ,-6.54  ,-5.48  ,-5.67  ,-6.36  ,-6.23  ,-5.33  ,-5.95  ,-6.90  ,-7.16  ,-8.09  ,-8.41  ,-6.28  ,-6.15  ,-6.67
199204  ,-2.46   ,3.45   ,4.28   ,3.75   ,2.50  ,-3.35   ,1.66  ,-1.15   ,0.11   ,0.06  ,-2.80  ,-0.18  ,-1.32  ,-1.56  ,-1.92  ,-3.14  ,-0.97  ,-1.87   ,0.40   ,0.09  ,-2.32  ,-3.32   ,0.02   ,1.36   ,2.74
199205   ,6.75   ,5.90   ,6.74   ,6.87   ,6.49   ,7.45   ,6.15   ,6.48   ,6.92   ,8.90   ,6.96   ,8.88   ,8.01   ,7.39   ,9.00   ,6.70   ,7.12   ,8.17   ,6.56   ,8.06   ,7.39   ,6.49   ,6.58   ,7.18   ,6.32
199206  ,-1.03   ,0.47  ,-0.65  ,-0.47  ,-0.93  ,-3.53  ,-3.59  ,-2.55  ,-2.47  ,-3.19  ,-2.96  ,-3.60  ,-3.09  ,-4.50  ,-3.99  ,-4.25  ,-4.50  ,-4.61  ,-3.67  ,-3.39  ,-5.46  ,-5.15  ,-4.50  ,-2.97  ,-4.54
199207  ,-5.74  ,-4.58  ,-2.87  ,-4.52  ,-5.14  ,-5.41  ,-5.54  ,-5.64  ,-5.17  ,-5.04  ,-4.85  ,-6.47  ,-6.12  ,-4.31  ,-7.73  ,-5.77  ,-5.45  ,-4.48  ,-5.30  ,-6.86  ,-0.73  ,-1.85  ,-3.28  ,-2.89  ,-3.82
