This file was created using the 202403 Bloomberg database.

Missing data are indicated by -99.99.



,WML
199011    ,0.70
199012   ,-3.64
199101   ,-0.78
199102  ,-10.31
199103    ,0.86
199104    ,0.63
199105    ,1.10
199106    ,1.82
199107    ,2.71
199108    ,4.42
199109    ,0.44
199110    ,2.07
199111    ,1.81
199112    ,0.93
199201    ,0.55
199202    ,2.03
199203    ,1.69
199204    ,2.33
199205   ,-0.52
199206    ,5.34
199207    ,0.50
199208   ,-4.75
199209    ,2.36
199210    ,1.10
199211   ,-0.55
199212   ,-0.23
199301    ,0.74
199302   ,-0.68
199303   ,-2.44
199304   ,-1.16
199305    ,0.76
199306    ,2.28
199307    ,1.01
199308   ,-0.93
199309   ,-1.06
199310    ,0.95
199311   ,-4.26
199312    ,0.95
199401    ,2.15
199402    ,1.30
199403   ,-1.57
199404   ,-0.94
199405    ,0.19
199406    ,0.33
199407   ,-1.01
199408    ,0.07
199409    ,0.90
199410    ,1.17
199411   ,-0.53
199412    ,0.66
199501   ,-1.57
199502    ,0.86
199503   ,-0.69
199504    ,0.89
199505    ,0.87
199506    ,1.98
199507   ,-1.00
199508   ,-0.60
199509    ,3.65
199510    ,2.57
199511    ,1.03
199512   ,-2.48
199601   ,-1.00
199602    ,0.65
199603    ,1.44
199604    ,0.08
199605    ,1.51
199606    ,0.43
199607   ,-2.51
199608    ,2.15
199609    ,1.48
199610    ,2.22
199611    ,1.43
199612    ,1.51
199701    ,2.47
199702    ,0.31
199703    ,1.22
199704    ,3.58
199705   ,-0.72
199706   ,-0.32
199707    ,7.98
199708    ,0.81
199709    ,7.64
199710   ,-2.68
199711    ,4.64
199712    ,6.35
199801   ,-4.96
199802   ,-2.01
199803    ,4.73
199804    ,1.22
199805    ,1.86
199806    ,1.79
199807    ,4.84
199808    ,0.43
199809   ,-3.67
199810   ,-2.93
199811   ,-1.07
199812    ,5.73
199901    ,4.62
199902   ,-0.59
199903   ,-6.35
199904   ,-6.23
199905    ,1.37
199906    ,4.41
199907    ,1.90
199908    ,4.49
199909    ,3.24
199910    ,6.27
199911   ,13.13
199912    ,7.93
200001    ,3.23
200002   ,10.06
200003  ,-11.34
200004   ,-9.45
200005   ,-9.65
200006   ,-1.09
200007   ,-1.77
200008    ,3.69
200009   ,-3.17
200010   ,-4.88
200011   ,-4.66
200012    ,2.68
200101   ,-5.85
200102    ,6.09
200103    ,3.44
200104   ,-2.58
200105    ,4.99
200106    ,7.94
200107    ,2.27
200108    ,8.15
200109    ,7.99
200110   ,-4.02
200111   ,-8.92
200112    ,1.62
200201    ,2.97
200202    ,4.23
200203   ,-3.63
200204    ,4.10
200205    ,3.32
200206    ,6.35
200207    ,3.26
200208    ,2.20
200209    ,8.70
200210   ,-3.28
200211   ,-5.25
200212    ,8.83
200301    ,1.79
200302    ,4.55
200303    ,1.99
200304   ,-6.86
200305   ,-3.71
200306   ,-4.46
200307   ,-3.93
200308   ,-1.60
200309    ,0.37
200310    ,4.15
200311   ,-1.89
200312    ,0.40
200401    ,3.41
200402    ,0.29
200403    ,1.66
200404   ,-1.26
200405   ,-2.03
200406    ,2.35
200407   ,-1.76
200408    ,1.83
200409    ,0.26
200410    ,0.16
200411    ,0.68
200412    ,1.17
200501    ,1.73
200502    ,1.49
200503    ,0.67
200504    ,0.89
200505    ,0.98
200506    ,2.87
200507    ,1.46
200508    ,2.97
200509    ,2.81
200510   ,-0.66
200511    ,1.49
200512    ,2.56
200601    ,3.06
200602   ,-1.37
200603    ,2.23
200604    ,1.72
200605   ,-2.91
200606   ,-0.68
200607    ,0.49
200608    ,0.12
200609    ,0.21
200610    ,1.00
200611    ,1.57
200612    ,2.56
200701    ,0.65
200702    ,1.47
200703    ,1.66
200704    ,1.60
200705    ,1.36
200706    ,0.40
200707    ,2.52
200708   ,-0.73
200709    ,4.58
200710    ,2.40
200711   ,-0.27
200712    ,1.03
200801   ,-2.20
200802    ,2.87
200803    ,0.78
200804   ,-1.45
200805    ,2.41
200806    ,7.72
200807   ,-2.08
200808   ,-1.81
200809    ,1.75
200810    ,8.89
200811    ,3.66
200812   ,-1.51
200901    ,0.59
200902    ,1.49
200903   ,-9.38
200904  ,-22.52
200905   ,-9.32
200906    ,1.41
200907   ,-1.54
200908   ,-5.87
200909   ,-1.21
200910    ,1.90
200911    ,1.04
200912    ,1.72
201001   ,-0.90
201002    ,0.70
201003    ,4.25
201004    ,1.20
201005   ,-0.84
201006    ,0.09
201007   ,-0.82
201008    ,3.04
201009    ,2.53
201010    ,0.37
201011    ,5.63
201012    ,0.56
201101   ,-2.76
201102    ,0.44
201103    ,0.71
201104    ,2.23
201105    ,1.13
201106    ,1.54
201107    ,2.72
201108   ,-0.61
201109   ,-2.08
201110   ,-0.66
201111    ,5.45
201112    ,2.57
201201   ,-6.93
201202   ,-4.46
201203    ,4.15
201204    ,6.41
201205    ,6.39
201206   ,-0.63
201207    ,4.16
201208   ,-1.11
201209   ,-1.39
201210    ,0.04
201211    ,2.20
201212   ,-1.45
201301    ,1.10
201302    ,4.29
201303    ,5.44
201304    ,4.82
201305   ,-1.89
201306    ,1.48
201307    ,1.55
201308   ,-1.95
201309    ,3.14
201310    ,0.73
201311    ,3.45
201312    ,1.63
201401    ,0.59
201402    ,0.87
201403   ,-1.45
201404   ,-2.81
201405   ,-0.08
201406    ,0.27
201407    ,0.29
201408    ,0.41
201409    ,1.31
201410    ,1.09
201411    ,0.53
201412    ,2.07
201501    ,3.94
201502   ,-3.13
201503    ,2.06
201504   ,-1.32
201505    ,3.34
201506    ,1.71
201507    ,1.23
201508   ,-0.08
201509    ,3.82
201510   ,-2.60
201511    ,2.51
201512    ,3.16
201601    ,1.26
201602   ,-0.30
201603   ,-1.33
201604   ,-2.32
201605    ,2.97
201606    ,6.47
201607   ,-1.11
201608   ,-4.11
201609    ,2.81
201610   ,-1.58
201611   ,-4.24
201612   ,-2.07
201701    ,2.87
201702   ,-1.55
201703    ,0.46
201704   ,-0.10
201705    ,0.31
201706    ,1.31
201707    ,1.54
201708    ,1.32
201709    ,0.86
201710    ,1.87
201711    ,1.00
201712   ,-0.66
201801    ,2.32
201802    ,1.13
201803   ,-0.52
201804   ,-0.68
201805    ,2.43
201806   ,-1.07
201807   ,-1.67
201808    ,1.91
201809    ,1.22
201810   ,-2.26
201811   ,-1.90
201812    ,1.99
201901   ,-2.31
201902   ,-0.28
201903    ,3.41
201904   ,-3.33
201905    ,6.75
201906   ,-0.41
201907    ,0.47
201908    ,2.99
201909   ,-3.26
201910   ,-0.95
201911   ,-0.01
201912    ,0.74
202001    ,3.29
202002   ,-0.39
202003    ,7.21
202004    ,1.50
202005    ,1.19
202006    ,2.21
202007    ,6.81
202008   ,-2.16
202009    ,3.97
202010    ,0.12
202011  ,-12.31
202012    ,1.18
202101    ,0.77
202102   ,-4.53
202103   ,-3.03
202104    ,2.76
202105    ,0.00
202106   ,-0.35
202107    ,0.31
202108    ,0.56
202109    ,1.44
202110    ,2.44
202111    ,0.37
202112    ,0.27
202201   ,-3.58
202202   ,-0.22
202203    ,3.39
202204    ,2.88
202205    ,0.29
202206    ,0.76
202207   ,-1.77
202208    ,4.01
202209    ,2.62
202210   ,-0.38
202211   ,-3.48
202212    ,2.05
202301   ,-4.85
202302    ,1.55
202303    ,0.61
202304    ,0.35
202305    ,1.04
202306    ,1.43
202307   ,-1.40
202308    ,1.11
202309    ,0.22
202310    ,1.19
202311    ,1.18
202312   ,-3.19
202401    ,4.39
202402    ,4.24
202403    ,1.28



 Annual Factors: January-December
,WML
1991    ,7.92
1992    ,9.07
1993   ,-5.28
1994    ,2.73
1995    ,6.07
1996    ,9.79
1997   ,28.51
1998    ,7.08
1999   ,48.37
2000  ,-22.52
2001   ,19.37
2002   ,30.79
2003  ,-12.23
2004    ,7.95
2005   ,22.55
2006    ,8.69
2007   ,17.68
2008   ,12.02
2009  ,-52.85
2010   ,18.11
2011    ,8.94
2012   ,10.82
2013   ,28.74
2014    ,3.02
2015   ,15.36
2016   ,-3.30
2017   ,11.59
2018    ,2.29
2019    ,5.62
2020   ,17.46
2021    ,1.25
2022    ,6.16
2023   ,-0.30
