
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198701  -3.48  -0.36  -9.23  -1.21  -6.89 -99.99 -99.99   1.87  -5.20  -8.15
198702  -0.47  -1.12   1.05   3.09  -0.97 -99.99 -99.99  -2.78   0.25   4.04
198703  -1.63  -0.73  -3.57  -3.32  -2.40 -99.99 -99.99   0.75  -1.62  -3.23
198704  -0.50   0.68  -1.65   2.57  -1.73 -99.99 -99.99  -0.18  -1.22  -0.17
198705  -7.10  -4.60 -10.75  -1.81 -10.28 -99.99 -99.99  -5.57  -5.85  -7.56
198706   0.62  -1.56   2.34   3.60   2.49 -99.99 -99.99   0.90  -1.94  -9.73
198707  15.23  13.22  16.54  25.78  15.94 -99.99 -99.99  11.80  25.52  21.54
198708  -0.31   0.31  -0.22  -3.83  -0.64 -99.99 -99.99   0.27  -1.16  -3.50
198709   4.96   3.68   5.78   5.64   5.73 -99.99 -99.99   3.93   8.06  -0.07
198710  -9.99  -6.11 -14.45 -12.75 -12.16 -99.99 -99.99  -6.93 -14.91  -8.09
198711   1.80   1.50  -1.01   3.54   1.44 -99.99 -99.99   4.32  -4.18   6.13
198712   6.54  11.25   1.12   5.73   3.95 -99.99 -99.99   8.47  -1.63  11.71
198801 -14.22 -12.76 -15.54 -14.04 -18.68 -99.99 -99.99 -13.12 -16.50 -18.83
198802   0.81  -0.56   2.84   3.07   3.71 -99.99 -99.99  -0.70   6.41  -1.09
198803   4.33   5.21   3.64   6.26   3.68 -99.99 -99.99   5.57   3.50  -2.13
198804   1.65  -0.97   3.19   8.22   3.65 -99.99 -99.99   0.89   6.63  -6.44
198805  -5.08  -4.61  -7.47  -5.27  -7.78 -99.99 -99.99  -3.69  -8.88  -9.74
198806  -1.82  -3.33  -0.48   2.22  -0.73 -99.99 -99.99  -3.03   0.19  -6.78
198807   2.26   0.27   4.77  12.36   6.19 -99.99 -99.99  -1.74  15.72  -0.33
198808   2.90   2.70   4.77   1.56   4.43 -99.99 -99.99   1.19   8.05   9.72
198809   2.08   1.70   2.93   5.06   4.00 -99.99 -99.99   0.53   4.86  -4.78
198810  11.31   7.33  15.16  10.50  17.33 -99.99 -99.99   7.78  19.78   5.47
198811   3.65   5.09   4.26   4.83   3.40 -99.99 -99.99   3.46   5.36   2.87
198812  -2.91  -2.68  -3.85  -2.35  -4.55 -99.99 -99.99  -1.13  -5.26  -3.98
198901  -1.20  -5.26   2.92  -2.97  -1.06  -3.94   3.06  -2.02   1.33  -1.03
198902   6.24   4.47   6.42   6.36   5.25   4.97   6.61   4.22   6.86   0.42
198903   7.30  11.28   5.02   0.55   8.93   3.51  11.17   6.52   2.69   3.67
198904   9.35   9.82   7.89  13.67   7.31  14.38  11.53  12.53   3.43  21.25
198905  -5.63 -11.43  -1.44  -2.17  -8.12  -0.95  -4.99  -2.01  -3.85 -12.68
198906  12.31   7.77  20.49  17.22  16.48  10.01  14.93   9.11  26.40  13.90
198907   8.41   7.00  11.32   5.69  12.11   4.28   7.11   6.55  13.56  31.54
198908  13.62  20.33  13.41   4.50  17.87   3.48  10.33  13.48  12.72   2.41
198909  14.08   9.71  20.67  12.47  16.13  11.91  13.21  10.68  28.70 -14.85
198910  -6.28  -6.07  -4.31  -7.60  -3.69 -10.13  -6.26  -9.27  -3.81 -15.57
198911  -1.56  -0.57  -4.57   1.47  -2.92   5.07  -6.57  -0.22  -5.13  -0.80
198912  23.09  24.63  28.59  16.15  29.59  11.31  29.96  19.21  28.89   6.50
199001  20.02  23.33  18.28  21.45  22.45  22.68  17.66  22.52  19.54  34.81
199002  16.81  39.42   5.04  21.90  10.26  27.57   8.51  34.19   2.06   2.28
199003   2.45   4.74  -2.33   8.61  -1.41  20.17  -1.86   5.87  -3.06  24.77
199004 -12.35  -8.89 -14.52 -11.53 -15.65 -12.49 -10.94  -9.88 -14.93  -5.07
199005  -2.49  -3.94   2.88  -4.81   0.00  -3.29  -3.37  -4.80   3.95  -1.17
199006   9.97   4.27  14.57   5.42  16.21   5.68   2.99   5.73  16.01  -3.18
199007  14.29  13.69  21.63  13.80  16.39  10.05  20.25  11.57  20.00   9.76
199008 -15.44 -15.64 -11.46 -17.71 -14.89 -14.40 -22.06 -14.59 -11.15 -10.96
199009 -22.78 -18.09 -25.10 -25.55 -24.95 -19.06 -21.07 -18.52 -24.53 -25.74
199010  13.33  10.06  22.02  10.34  14.26   7.60  19.60   9.65  22.65  11.82
199011   0.35   2.51   1.93  -0.02  -1.27   1.54  -0.82   2.11   3.33   0.52
199012  -0.71   0.96  -3.50   0.26  -1.97  -1.88   0.10   0.59  -3.50  -0.83
199101  -2.23  -6.38  -0.68  -4.75  -4.67   5.23  -0.81  -0.54   1.11  -0.78
199102  13.14  20.19  12.15  16.82  16.85   7.04  11.43  12.21  11.39  22.75
199103  -9.11  -9.94  -9.20  -2.98 -10.29  -8.58  -8.92  -6.25  -8.82  -6.38
199104   2.80   4.26   1.43   1.91   2.72   1.68   6.30   1.12   0.40   0.94
199105  -2.98  -1.37  -1.86  -3.79  -3.70  -2.27  -2.87  -2.15  -3.30  -4.40
199106  -9.73 -10.52  -9.26 -10.00  -8.90  -8.99  -9.72  -9.17  -9.18 -10.18
199107  -0.53  -0.17  -0.75   3.15  -4.25   4.96   1.30   3.44   0.03  -2.31
199108  -0.79   0.47  -1.99   0.07  -2.73   5.67  -1.40   0.52  -2.32  -4.19
199109   1.60   4.86  -4.28   2.25  -1.75   5.42   3.28   3.27  -2.97   0.50
199110 -16.18 -13.46 -17.03 -19.31 -16.12  -9.55 -21.05 -14.02 -16.94 -29.12
199111   8.98   4.52  10.68  12.71   5.21   6.83  11.98  10.36  10.56  10.13
199112  -1.43   0.23   0.32  -4.69   0.75   2.94  -6.44   0.04  -2.40  -7.11
199201   3.01   6.40   3.50   9.45   2.02   2.15   7.46   3.36   5.82  -2.33
199202   5.85  10.00   7.31   7.65   9.41   3.92   5.33  12.60   7.91   1.64
199203  -4.81  -7.38  -2.43  -9.77  -4.44  -6.09  -5.56  -6.39  -4.27  -2.50
199204  -3.85  -4.19  -5.02  -0.89  -5.46  -7.05  -4.45  -3.72  -6.84   1.74
199205   2.92   4.70   1.73   4.54   3.12   5.39   4.92   5.84   3.30  -0.35
199206   1.80   1.56   1.46  -1.02   0.79   1.31  -0.09  -0.85   0.94   6.15
199207  -9.59 -13.55 -12.63  -8.33 -12.03 -13.55 -12.95 -11.33 -11.95  -0.07
199208  -3.30   1.14  -8.35   4.69  -5.90   2.51  -6.58  -0.26 -10.16  -3.67
199209   5.63   4.11   5.59   2.44   3.49   4.84   7.91   2.16   6.88   6.21
199210  -6.72  -4.89  -6.02 -11.25  -5.47 -10.37  -9.31  -6.66  -5.57  -4.11
199211  -6.83  -5.91 -11.84  -4.41  -9.18  -6.72  -9.00  -4.79 -10.79  -3.78
199212   0.93  -4.03   1.24  -4.40  -0.32  -5.28   0.04  -2.95   1.39   7.21
199301   0.27   3.20  -1.78   1.13  -1.76  -0.72   0.91   1.93  -1.61   1.16
199302   4.64   6.65   1.84  -0.16   5.05   2.32   2.68   9.63   2.31   7.25
199303  -0.14  -2.44   1.19  -6.62   0.01  -7.80  -4.67  -4.44   2.62   4.42
199304  -1.42  -0.05  -3.12   3.75  -1.88   3.41  -2.42   1.53  -3.90   0.38
199305   2.16   4.86   1.32   3.77   2.98   6.02  -0.36   4.73   0.97  -2.58
199306  -3.22   1.98  -8.03  -2.12  -2.52   3.62  -4.21   4.58  -7.26  -5.95
199307   6.50   9.98   4.51  14.38   2.31  15.79   9.11   7.84   3.79   3.44
199308  10.61  12.97   7.31   5.33  12.18   2.53  13.38  16.98   7.76   5.37
199309  -2.34  -2.03  -2.74  -1.26  -2.13  -2.87  -3.84  -2.50  -2.81  -2.45
199310   7.29   4.62   7.36   8.89   7.24   7.84   8.39   9.80   7.32   7.99
