
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  18.12  16.99  20.46  15.33  21.46  16.59  24.01  17.35  20.97  27.07
197502   7.02   7.21   8.05   7.37   7.10   8.58   6.59   5.17   8.20  -3.13
197503  -1.39   0.15  -2.61  -1.09  -1.66   1.23   0.00   0.93  -2.23   4.36
197504   6.71   3.14  11.16   3.21  10.20   2.60  10.38   3.39  10.68   2.27
197505  -0.05   1.20   1.51   1.41   0.77   4.83  -1.27  -2.98   1.37  -3.37
197506  -3.04  -2.92  -4.99  -1.51  -4.11  -2.79  -4.66  -1.32  -4.42 -18.54
197507  -5.12  -7.98  -2.68  -6.96  -3.50  -7.60  -3.31  -8.23  -2.68   6.37
197508  -0.95  -0.69  -1.22  -1.14  -1.15  -0.67  -1.45  -1.01  -0.77  27.20
197509 -10.07  -9.15 -11.99  -8.65 -12.17  -7.46 -11.73  -7.84 -12.89 -99.99
197510   2.76  -2.55   4.40  -1.96   5.01  -1.70   6.52   1.68   5.53 -99.99
197511   4.69  10.93   2.56   7.63   3.33   9.69   4.50   8.58   2.31 -99.99
197512   0.38   0.75   1.36   1.05   1.22  -0.81   0.25  -0.60   1.03 -99.99
197601   9.65  10.30  12.45  10.82  12.00   8.21   3.30   6.48  15.06   8.92
197602  -1.53  -2.02  -3.04  -0.30  -2.70  -1.05   2.81  -1.09  -3.06  -5.59
197603  -1.41  -1.82  -1.64  -4.81  -0.96  -5.83  -1.53  -1.76  -0.61  -3.00
197604  -1.29  -2.89  -1.59  -0.01  -1.85  -2.49   1.64  -0.18  -1.13  -1.64
197605  -6.06  -3.86  -6.65  -5.95  -5.83  -5.95  -7.54  -5.04  -7.17  -9.64
197606   0.67  -0.05   1.51   0.84   1.85   0.07  -0.02  -1.70   2.31   3.69
197607   1.93   0.25   2.35   1.56   1.75   0.85   1.70   2.12   2.32   1.41
197608  -2.15  -1.69  -4.09  -2.32  -4.20  -0.62   0.46   0.09  -5.36  -2.58
197609   0.42   0.84   0.09  -2.91   1.15  -5.27   2.22   0.97  -0.46   0.05
197610  -2.72  -2.94  -4.16  -4.49  -3.90  -7.85  -0.47  -0.56  -4.05  -5.35
197611   7.32   5.14   7.86   7.63   8.51   5.32   9.25   8.76   6.76   5.91
197612   4.42   4.52   3.23   4.15   4.04   4.54   6.49   5.13   4.23  -1.03
197701  -1.89  -2.49  -1.39  -2.27  -2.56   0.12  -3.76  -1.22  -3.30 -15.34
197702   3.25   2.07   4.13   5.71   1.76   2.92   7.30   1.17   7.75   5.58
197703  -2.50  -3.61  -3.59  -3.37  -1.50   1.27  -3.79  -1.26  -3.63 -11.62
