
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198901  -2.65  -9.42  -1.83  -3.38  -5.61  -1.61   1.39  -7.01  -0.71  -3.02
198902  -1.17  -2.11  -1.81   1.34  -1.32  -1.08  -6.02  -3.40   0.97  -1.15
198903   0.94  -3.04   4.15  -0.86   0.06   1.64   5.40  -3.54   6.21   1.05
198904   6.23   2.33  10.15   1.73   8.14  21.50   9.55   1.49   5.19  20.45
198905  -3.72  -5.60  -0.24  -5.83   0.32  -3.30  -5.89  -4.57   2.16  -5.79
198906  12.28   9.36  15.82   7.29  14.34  19.56  13.06   8.37  17.51  16.20
198907   9.34  12.35   6.77  15.11   7.05   6.28  12.91  10.11   5.06  14.16
198908 -11.33 -10.04 -11.78 -10.45 -11.49 -12.20 -15.06 -11.18  -7.56 -16.66
198909   3.06   5.36   2.88   3.48   2.76   6.08  10.69   3.88   0.41   8.59
198910   6.36  11.83   6.42   5.60   8.74   3.51   2.31   5.59   6.45   5.41
198911   7.06   7.33   7.05   7.30   7.05   3.28   5.96   5.53   8.02   5.02
198912   7.64   4.86   9.59   6.42   6.71  11.34  10.17   2.49   5.15  10.29
199001   2.76  -0.25   5.43  -0.02   5.97   5.70   3.50  -0.20   3.46  17.82
199002  -0.69  -6.26   2.22  -7.04   3.47   0.04  -2.10  -5.85   2.16   3.96
199003   5.34   4.72   8.45   4.18   8.67   2.70   0.95   2.18  10.71  -2.68
199004  -6.68  -1.10 -10.29  -2.55 -10.58  -6.63   0.86  -3.96 -10.39 -16.94
199005   4.78   6.80   5.25   5.15   6.23   1.87   7.12   3.10   6.75  -0.89
199006   1.14   6.13  -0.98   4.76  -2.10   5.37   1.53   0.66  -1.02   1.25
199007   8.03   2.79   9.58   2.96   9.12   7.33   7.87   9.45   7.14   7.66
199008  -8.24  -6.69  -8.30  -8.70  -8.45  -7.06  -2.61  -6.98  -8.91 -16.89
199009  -7.58  -7.56  -7.86  -8.52  -8.53  -6.05  -9.92 -10.92  -7.34 -13.20
199010   8.73  19.98   3.99  20.33   3.92   8.05   9.21  10.99   6.91  12.19
199011  -3.29  -9.52  -0.97 -10.95  -0.90  -4.31  -0.10  -9.37  -2.64  -5.87
199012  -3.02  -4.86  -3.99  -5.85  -3.78  -3.32  -1.99  -6.22  -4.23 -11.53
199101   3.47   5.23   1.18   0.22   3.02  10.60   8.36   9.80  -0.67   3.73
199102   8.84   5.37  13.22   5.57  11.79   9.12   5.33   5.03  11.51   6.18
199103  -9.22  -9.59  -6.91 -10.67  -7.30  -6.92  -9.07 -10.70  -8.39 -12.77
199104  -1.28  -4.29  -1.22  -4.36  -0.09  -4.26   0.06   0.66  -1.25  -2.39
199105   1.38   1.56  -0.60   1.68   0.54   3.48   0.31   3.94   2.07  -1.60
199106   0.04  -3.71   2.09  -1.50   2.85   0.12   2.67  -2.47   0.79  -3.83
199107   7.05  10.05   7.11   8.74   6.61   8.08   7.67   6.23   6.04   9.94
199108  -0.41  -0.42   0.42   0.47   0.74   2.77   2.13  -5.39   0.82   1.31
199109   3.77   0.13   4.19   0.65   4.98   1.38   7.06   4.32   3.27   4.15
199110  -0.37  -2.64   1.57  -3.33   2.03   1.38   2.31  -5.40   1.23  -1.99
199111  -1.41  -3.14  -3.23  -1.38  -1.08  -2.39   3.10  -5.09  -0.42   4.49
199112   5.62   4.11   4.60   4.52   5.18   5.89   3.86   9.49   6.01  -3.27
199201  -1.63   1.04  -1.47  -7.75   0.36  -0.81  -3.92  -0.69  -0.15   8.94
199202  -5.90  -4.20  -6.64  -4.80  -8.46  -4.48  -8.82  -4.13  -7.49  -5.36
199203  -6.23  -6.64  -5.95  -3.75  -9.41  -2.33 -14.00  -8.40  -6.67   7.86
199204   0.25  -2.88   1.02   3.14   0.66   2.88  -0.43  -3.21   0.90  -3.34
199205  11.37   5.11  14.84  13.44  16.82  15.00  13.95   5.69  15.17   6.53
199206  -4.40  -4.85  -3.77  -6.23  -4.86  -3.62  -2.13  -4.42  -3.66  -6.36
199207  -0.61  -2.22   0.42   0.63  -0.22   1.64   2.48  -1.34   0.33  -4.21
199208  -7.15  -9.80  -4.65 -12.71  -8.46 -14.83  -4.53 -11.73  -5.69 -14.15
199209  -5.45  -5.21  -2.63  -7.74  -3.26  -5.80  -1.61  -5.61  -3.54  -6.70
199210  -9.39 -20.44  -6.45  -4.67  -6.10  -5.14  -7.73 -16.53  -5.84 -13.85
199211   0.41   9.86  -1.18  -1.90  -2.80  -0.16  -7.09   6.70  -2.84   3.88
199212  -1.33   1.31  -1.28  -3.05  -2.51  -2.03  -1.19   2.66  -2.08  -6.18
199301  12.97  20.38  11.20  13.72  10.79  13.29  10.41  17.54  11.17   2.18
199302  -4.24  -6.81  -3.88  -4.85  -4.15  -6.33  -2.94  -5.47  -5.16  -0.23
199303   2.53   5.26   1.53   0.67   3.20   1.07  -0.97   3.62   0.57   3.15
199304   4.81   8.57   3.97   2.72   8.41   5.68   1.80   7.18   7.45  14.74
199305   2.49   2.92   1.96   3.91   3.80   3.86  -1.13   4.54   3.29   6.93
199306  -1.05  -1.58   0.56  -2.44   5.02  -2.54  -5.23  -2.11   3.77   1.67
199307  -2.32  -4.01  -2.04  -0.53  -1.50  -1.79  -3.27  -3.89  -2.31  -5.15
199308   4.42   6.46   4.85  -2.55   6.75   1.07   4.00   5.80   3.34  -7.28
199309   3.42   8.10   2.66  -1.71   3.33  -0.63   3.24   6.36   2.82   6.17
199310   3.83   2.90   2.96   7.83   0.14   9.32   6.98   3.80   2.36   8.47
199311  -1.83  -4.90  -2.02  -0.13  -1.54   0.41  -2.58  -4.88  -1.47  -1.27
199312   6.68   4.61   8.33   0.82   8.21   2.71   8.08   3.32   6.98   5.99
199401   9.89  12.59   5.83  15.64   3.24  30.16   8.34  16.08   4.70  13.41
199402  -0.67   1.35   1.23  -4.14   2.43   0.71  -0.81  -4.27   1.80   1.10
199403  -1.77  -7.70   0.89  -1.45   0.58  -4.59   2.17  -4.57   0.11  -5.99
199404   1.94   3.33   1.51   2.35   2.00   5.28  -0.17   2.81   1.67   5.79
199405  -7.56  -6.80  -9.85  -6.23  -9.08  -1.70  -8.04  -5.76  -8.48  -4.85
199406   5.15   7.78   5.46   4.12   5.77   4.57   2.94   5.83   4.99   6.45
199407   4.60   4.96   4.26   5.66   4.50   6.79   4.63   5.82   5.37   2.60
199408  -8.73  -4.94  -8.58 -13.21  -5.81 -14.03 -10.57  -8.74  -9.49  -2.71
199409   0.38   4.37  -2.31   2.50  -4.68   3.89   1.55   4.58  -3.54   2.55
199410   1.27   2.85  -0.80   5.26  -4.57  -2.42   2.54   3.67  -4.11   6.89
199411  -3.03  -2.96  -2.24  -4.55   0.66   0.05  -4.65  -2.25   0.36  -6.30
199412   4.03   2.96   4.18   5.01   7.24   8.36  -2.23   3.70   7.40   2.88
199501   0.94   1.65   0.57   0.72   0.98   3.22  -1.42   0.51  -0.18  11.16
199502   4.03   6.40   2.00   3.45   2.35   6.56   7.08   4.40   3.72   9.28
199503  -0.93  -3.58  -0.47   1.00  -1.53  -0.21  -0.12   1.54  -5.79  -4.33
199504   4.36   7.99   3.42   6.86   3.21   3.28   5.51   2.52   6.28   3.96
199505   4.33   6.27   4.69   4.85   4.40   2.67   0.70   7.46   3.85   4.21
199506  -1.12  -0.20  -2.18   0.20  -2.80  -1.13  -0.38  -0.40  -3.09   1.36
199507   6.54   8.88   4.81   8.60   4.23   7.66   9.14   5.28   6.93   9.19
199508  -5.10 -10.19  -2.62  -6.34  -3.94  -4.60  -5.22  -8.26   0.03  -9.68
199509   0.96  -1.63   1.23   1.03  -0.44   2.00   5.58  -1.22   2.52  -2.84
199510   0.52   3.37  -1.68   1.92  -0.88  -4.59   3.86   2.43  -1.24  -4.10
199511   0.24   1.77   0.94   1.71   0.56  -3.65   0.84   3.19  -1.87 -13.22
199512   2.71   0.29   1.98   3.06   0.99   1.39   7.43   0.43   3.41   0.05
199601   3.16   3.27   5.48   1.06   6.75   2.83   1.93   1.32   5.09   3.69
199602   1.85  -2.01   2.06   4.30   0.08   5.50   2.06   2.96   2.32  -0.36
199603  -2.13  -5.66   1.67  -4.48  -2.02  -7.59   4.14  -6.53  -0.81  -1.62
199604  -0.71  -0.15  -0.06  -3.07   0.70  -2.78  -0.97  -0.45   1.25  -3.97
199605   0.60  -1.99   2.35  -0.76   1.10  -0.19   0.83  -2.18   3.84   0.12
199606   2.20   4.35   1.28   1.49   2.40   0.77   1.82   1.88   1.65  -1.80
199607   1.67   1.45   3.10  -1.39   3.35  -3.58   1.04  -1.11   3.40  -0.90
199608   3.92   2.32   2.88   6.22   4.02   5.98   1.53   4.91   5.15  -2.84
199609  -0.12   3.31  -2.46  -0.08  -1.54  -0.22   0.59   0.66  -2.49   5.08
199610   3.39  -1.57   4.08   4.04   2.04   4.89   4.92   3.75   5.07  -6.02
199611   2.21   3.92   1.13  -0.11   1.89  -0.19   1.30   0.96   3.51  -1.58
199612   3.93   5.24   2.43   8.11   3.11   9.41   0.80   6.51   2.38  14.11
199701   4.23   3.30   6.00   5.83   4.77   7.96  -2.13   6.02   6.68   7.99
199702  -0.24   3.90  -0.05  -2.95   0.49  -9.62   1.55  -2.90   0.84   0.69
199703   2.61   0.77   3.21   0.48   5.59   1.44   5.03   0.28   5.25   1.31
199704  -3.02  -5.02   0.28  -6.11  -0.44  -5.26  -4.02  -6.18  -1.14  -1.11
199705   7.02   7.14   8.76   5.43   6.47   4.15   3.43   5.26  10.46  -0.28
199706   1.91   3.92  -0.05   5.13   0.79   5.22  -1.42   3.79   1.15  -4.51
199707   6.26   6.58  10.31   8.66   8.77   8.54  -3.56   8.76   9.50  -0.92
199708  -4.64  -5.16  -3.35  -6.25  -4.13  -7.46  -3.06  -6.76  -3.44  -8.36
199709  11.49  10.41  17.22   7.34  15.62   1.61   9.19   7.00  16.86  -0.39
199710  -3.59   6.20 -10.85   7.48 -10.31   6.63  -3.75   5.86 -10.23   3.32
199711   0.93   1.94  -2.17   1.99   0.58   0.49   8.28   2.27   0.51 -10.56
199712   8.36   8.41   9.32   6.73  11.56   2.15  10.26   5.78  12.82   9.55
199801   0.24   4.80  -3.96   1.50  -4.01   6.35   0.23   3.49  -4.31  -0.98
199802   1.96   1.03   4.99  -0.24   4.91   2.06   4.22  -0.29   5.54   4.78
199803  10.94   7.68   8.16   4.67   7.67   9.67  11.87  22.72   7.48  11.97
199804  -4.13  -1.09  -3.93  -5.27  -4.12  -3.71  -1.95  -3.91  -4.67   7.28
199805   2.70  -2.82   0.60  -0.22   0.84   1.64  -1.59   5.92   0.60  -4.77
199806  -1.83   4.14  -6.68  -1.50  -6.94  -6.33  -6.80   3.28  -7.58   4.59
199807   2.68   5.12  -2.00   0.22  -1.67  -2.12  -1.71   6.66  -2.96   4.86
199808 -10.50 -11.38 -14.01  -9.99 -14.11 -19.14  -0.33  -6.83 -14.07 -10.80
199809  -4.04  -7.97  -2.43  -4.59  -2.58   6.13  -8.38  -5.91  -2.36  -4.06
199810   7.44   3.30   8.42   6.26   7.83   3.81   1.03   8.53   7.96  21.63
199811  -3.87   1.36  -7.43  -1.37  -7.91  -6.98  -0.15   0.93  -7.71  -1.07
199812   9.53   7.30   9.03   0.20   9.88   0.06  10.56  13.93   9.73   0.63
199901  -3.06   2.57  -2.55  -5.00  -2.63   3.04  -1.63   1.08  -4.08   7.20
199902  -7.76  -3.78  -7.66  -9.75  -7.55  -2.73  -9.35  -2.48  -6.27  -7.20
199903  -2.85  -4.61  -1.08  -0.42  -1.30  -6.84  -8.47  -5.20   5.49  -2.06
199904   4.68  -4.68   4.89  -0.41   5.25  -0.93  -2.94  -1.19   5.86  -3.72
199905  -3.96   2.71  -5.94   2.40  -5.99   7.11   0.05   0.73  -6.93   9.52
199906   0.84  -1.40   2.33  -4.08   2.44   0.03   0.44  -0.02   4.56   4.42
199907   6.00   2.87   8.52   0.34   8.65   7.78  10.24   3.75   4.94   4.39
199908  -0.09  -2.81   0.42  -0.40   0.36  -2.53  -1.03  -1.90   2.39   2.34
199909   2.55   3.58   3.03   1.98   3.46   3.66   2.83   3.82   3.27   1.21
199910   1.31   8.15  -0.01   9.05  -0.03   3.36   0.55   6.38  -0.72   2.58
199911   3.67  -1.79   5.47  -0.93   6.18  -8.70   6.21   0.82   5.86   2.06
199912   5.38  -0.33   9.69  -6.85   9.63  -9.96  10.02  -3.13   7.17  -6.90
200001  -5.27  -6.96  -2.98 -12.54  -1.49 -10.83  15.85 -12.43  -6.83  19.89
200002   3.81  -2.55   7.54  -4.35   4.29  -4.41  12.25  -3.92   3.86   4.15
200003   7.94   8.06   9.05   6.87   9.47  -8.36  12.79  10.47  10.90   5.58
200004  -9.34  -5.01 -12.79  -4.58 -10.41   1.08  -7.19  -5.84 -10.60  -9.23
200005   6.28   0.72   2.13   5.47   5.60  -1.92   1.46   9.01   7.91  -2.63
200006   0.81   1.11  -0.49   2.55   1.21  -2.28   7.24   1.45   0.64   3.97
200007   2.96   7.27   0.56  -1.58   3.28  10.58  12.28   3.43   2.67   4.75
200008   5.84   1.24   8.75   2.35  11.11   0.50   7.13   0.70  13.12   1.04
200009  -1.01   9.20  -5.96   3.05  -5.42  12.11   2.89   6.35  -7.24   2.47
200010  -3.05  17.86  -8.40  21.78  -7.20   1.88  -6.22  15.60  -9.15   3.46
200011  -5.09  -7.50 -11.41   7.96  -9.38   8.32  -9.73   3.21 -10.00  -6.41
200012   5.56  17.36   7.30   9.38   9.05  16.29  17.22  11.28   9.12   7.72
200101  11.08   4.99  13.57  -0.22  16.04  23.65  12.80  10.32  13.40  11.18
200102  -8.39  -3.19  -5.17  -0.61  -8.70 -27.99  -6.62 -14.87  -3.48 -10.06
200103 -10.47 -15.19 -12.24 -10.97 -18.05  -3.89 -17.28  -6.79 -17.41 -14.98
200104   1.95   6.11   0.05   4.45   4.00   8.28   3.01   5.26   1.54   7.09
