
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  25.01  27.27  28.72  30.82  25.75  28.49  28.28  24.19  27.97  23.89
197502   2.17   2.43   1.84   4.71  -0.75   3.27  -1.24   2.30   0.31  -2.78
197503   7.47   8.59   9.09   9.61   6.86  10.17   9.13   7.29  10.10   1.29
197504   8.85   8.23   9.98   9.61   7.04  11.20   7.87   8.89  10.03  11.03
197505  -2.40  -1.78  -2.52  -2.27  -1.39  -2.93  -2.29  -1.89  -2.05  -7.83
197506  -5.76  -9.73  -2.74  -8.81  -2.19 -11.20  -2.52 -10.69  -2.42  -9.96
197507   0.12  -0.28   1.15   2.62   0.89   1.26   2.23  -0.56   1.40   0.11
197508  -0.12   1.50  -1.84   1.30  -1.72   2.28  -2.51   1.48  -1.95   0.63
197509  -7.04  -7.68  -7.08  -7.34  -6.79  -7.98  -7.09  -7.91  -7.29  -3.82
197510   7.81   6.78   8.77   9.37  10.26   7.01  11.30   6.32   9.48  -2.66
197511   4.02   5.26   3.51   5.96   3.12   7.64   4.48   5.65   3.76  10.80
197512  -0.99  -1.28  -0.54  -1.77  -0.34  -2.11  -0.88  -1.96  -1.79  -6.07
197601   1.78   6.75  -2.84   8.20  -0.47   9.70  -2.15   5.46  -3.01   6.01
197602   4.72   4.36   5.89   2.43   7.39   4.53   6.43   3.81   6.03   6.46
197603  -6.88  -7.71  -7.07  -5.43  -7.06  -4.43  -7.29  -7.37  -7.21  -5.92
197604  -4.08  -3.29  -5.06  -3.31  -5.06  -3.32  -4.73  -2.22  -6.05   0.26
197605  -1.27  -1.92  -0.46  -1.19  -0.54  -0.68  -0.90  -1.94  -1.10  -5.54
197606  -1.94  -3.52  -0.79  -1.05  -1.36  -2.25  -1.45  -4.67  -1.34  -1.14
197607  -8.27 -10.37  -6.52 -10.10  -7.67 -11.26  -7.59  -9.84  -6.94 -13.64
197608  -0.21   1.35  -1.01  -1.39  -0.54  -1.54  -1.03   1.59  -1.47   2.07
