
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  12.53  14.26  10.10  14.39  13.26  14.08  10.80  14.47  10.98  11.79
197502  13.47  14.97  12.74  16.11   9.86  16.15  12.00  15.59  10.00  23.38
197503  -1.42  -3.00  -1.38  -3.89   1.11  -3.95  -0.82  -2.97  -0.82  -1.16
197504   1.78  -0.64   1.84  -1.33   2.20  -2.03   1.32  -1.31   3.77   1.29
197505  -5.86  -6.63  -2.52  -7.06  -5.16  -7.52  -3.52  -6.90  -4.84  -7.09
197506   0.20  -1.66  -0.58  -3.03   1.71  -2.56  -0.40  -2.59   1.15   3.07
197507  -1.09   0.85  -2.46   1.10  -1.28   1.45  -1.09   0.25  -1.47  -1.40
197508  -4.67  -4.11  -3.91  -3.51  -5.82  -3.52  -4.11  -3.53  -5.49  -4.92
197509  -4.25  -5.33  -3.28  -5.63  -3.83  -5.42  -2.84  -5.40  -3.52  -3.80
197510  12.46  14.01  11.92  14.53  11.08  14.32  12.42  13.97  10.66  13.11
197511   2.80   4.51   0.81   4.51   1.19   4.35   2.53   4.28   0.05   3.28
197512   1.11   2.59  -2.73   2.02  -0.12   2.01  -1.62   1.51  -1.64   2.73
197601   2.27   6.87  -0.92   5.83   0.75   6.87   2.22   5.04   0.60   6.91
197602   1.34   4.36   0.97   4.30   1.35   4.51   0.95  -0.02   1.34   5.96
197603   3.95   4.90   3.10   5.55   2.72   4.99   2.09   8.78   2.49   2.34
197604  -5.57  -5.39  -5.57  -6.36  -6.28  -5.65  -5.98  -4.29  -5.86  -6.79
197605  -2.94  -1.88  -3.15  -0.78  -3.34  -1.46  -3.07  -1.84  -2.85  -2.81
197606   1.76   3.02   2.65   3.74   2.25   3.41   1.43   4.38   2.10   0.18
197607  -1.03  -2.12  -1.39  -3.09  -1.47  -2.33  -0.54  -1.80  -0.61  -2.41
197608   0.19  -0.76   1.50  -0.99   1.41  -0.63  -0.48  -1.54  -0.49   0.40
197609   5.34   6.04   4.73   5.79   5.07   6.02   5.43   5.49   4.91   6.25
197610  -5.99  -6.88  -4.27  -6.55  -4.32  -6.67  -5.66  -5.18  -6.03  -7.87
197611   5.22   7.92   2.13   8.19   1.76   8.27   1.91   7.87   2.08   8.14
197612   2.79   2.94   3.21   3.34   1.57   2.98   3.38   3.93   4.21   1.91
197701  -1.37   0.21  -0.58  -0.93  -0.54   0.56  -1.91   0.92  -1.92  -2.48
197702  -1.10   0.01  -1.44  -2.54   0.23  -1.13  -1.10  -1.01  -2.04   3.18
197703   3.46   5.09   2.18   4.09   3.73   4.61   1.88   4.62   2.24   3.66
197704   8.53   8.90   7.38   8.07   8.03   8.93   9.14   8.03   8.44  13.67
197705  -1.75  -0.89  -0.23  -4.67  -0.84  -1.50  -0.76  -2.24  -1.47   4.76
197706  -1.84  -4.53  -1.65  -0.07  -3.00  -2.40  -1.24  -2.29  -0.05  -6.35
197707   3.77   3.51   2.04   4.18   3.94   3.58   3.15   5.05   3.35   2.02
197708   0.78  -1.23   1.44   3.16  -0.65  -0.24   1.26   0.04   0.93  -0.46
197709   2.08   1.74   2.37   1.87   2.46   2.27   2.31   1.13   2.88   4.39
197710   5.24   3.75   5.94   4.66   4.91   4.83   5.57   4.03   6.58   6.79
197711   2.16   1.45   1.59   2.99   1.21   1.89   2.05   2.16   0.94   3.39
197712   5.09   2.95   5.16   8.19   3.11   5.23   4.44   5.72   4.90   1.54
197801   1.18   2.34   1.04   0.71   1.43   1.17  -1.47   0.93   0.12   3.87
197802   4.50   5.36   4.31   4.90   3.03   5.00   4.53   4.73   4.19   2.25
197803   0.65   1.17  -0.29   0.96  -1.29   1.90  -0.98   1.89   0.30   0.93
197804  -4.80  -5.08  -4.20  -4.84  -3.23  -5.11  -4.69  -4.54  -4.73  -5.09
197805   0.63   1.11   0.48   1.77   0.61   1.83   1.17   2.11   0.07  -2.36
197806   3.25   0.42   3.61   0.93   4.26   0.15   4.77   1.11   4.77   0.84
197807   5.16   7.75   5.36   5.73   8.09   5.70   4.83   4.54   7.53   7.76
197808   4.80   6.18   4.74   5.27   5.42   6.28   3.60   5.28   5.42   5.80
197809   5.52   5.02   6.46   5.79   5.45   4.94   6.24   5.24   6.96   4.07
197810   9.47   9.23   9.10  10.09   7.24   8.15  10.25   8.86   9.99   7.46
197811 -10.73 -10.51 -11.45 -11.39 -10.14 -10.24 -11.72 -10.11 -11.20 -13.15
197812   5.73   5.28   5.74   5.54   6.31   5.63   4.57   5.85   5.27   5.09
197901  -1.20  -1.66   1.21  -1.11   0.50  -0.27   0.10  -2.22   2.45  -3.62
197902  -1.93  -0.98  -3.02  -2.34  -0.29  -0.94  -2.32  -1.50  -1.12  -0.90
197903  -1.94  -1.13  -2.93  -2.97  -0.86  -0.24  -2.52  -0.31  -1.33  -2.23
197904  -1.45  -0.84  -1.25  -1.33  -2.37  -0.71  -1.51  -0.85  -2.13  -6.56
197905  -4.71  -5.13  -3.49  -4.35  -4.74  -3.68  -4.85  -4.45  -5.43  -9.66
197906   0.93   0.40  -1.10   0.22   2.13   0.45   1.64   1.01   2.46   0.26
197907   4.60   3.96   3.13   5.33   0.53   5.02   4.01   4.77   1.78   2.68
197908   2.25   2.67   1.46   1.12   4.67   2.69   3.25   2.79   3.67   2.07
197909   5.50   4.46   6.54   5.39   6.10   4.55   7.53   5.45   5.92   1.07
197910  -8.08  -8.23  -7.05  -7.48  -8.66  -7.65  -9.22  -8.26  -6.87 -11.91
197911   5.75   6.01   5.18   5.91   4.96   6.20   4.96   6.37   4.56   2.67
197912  -1.12  -1.59  -0.44  -0.89  -0.58  -1.83  -0.11  -1.59  -0.66  -3.59
198001   0.49   0.93   0.65   0.11   0.55   0.85   2.09   0.51  -0.42   4.83
198002   0.45  -0.12   1.44   0.62   0.40  -0.10  -0.47  -0.23   2.17  -2.52
198003 -15.22 -16.04 -14.32 -15.09 -15.24 -15.36 -14.06 -15.68 -14.29 -16.89
198004  11.35  11.29  11.24  12.71   9.59   9.92   9.56  10.86  10.85   6.22
198005   4.11   4.04   4.29   5.42   1.94   4.30   3.24   4.27   4.12   4.22
198006   4.40   3.52   6.58   3.07   4.24   2.22   5.55   3.11   6.71   5.56
198007   1.49   1.19   3.10   0.95   1.16   0.00   3.20   0.45   3.21   4.61
198008  -2.05  -2.89   0.70  -1.42  -0.36  -3.89  -1.48  -2.89   0.80  -0.98
198009  -0.62  -1.98  -0.52  -1.11   0.05  -1.82   0.37  -1.05  -0.42  -4.17
198010  -7.00  -8.68  -4.18  -6.90  -5.23  -7.88  -6.66  -8.55  -3.88  -6.99
198011   0.37   0.41  -0.12   0.63   0.43   1.09  -0.42   0.45   0.10  -1.92
198012  -3.56  -2.24  -2.78  -3.12  -3.68  -3.03  -4.49  -2.79  -2.71  -3.23
198101  -9.19 -10.12  -8.91  -9.22  -9.79  -9.35  -9.60  -9.26  -9.40  -9.83
198102   0.02   1.05  -0.16   0.03  -1.38   2.27  -1.57   0.33  -0.38   4.88
198103   4.92   6.68   3.36   4.73   2.78   7.64   2.77   5.73   3.19   9.29
198104  -0.30  -0.59  -1.00   0.77  -0.27  -2.60   2.18  -0.20  -0.74  -6.18
198105  -7.20  -7.16  -6.18  -7.22  -6.76  -6.41  -5.96  -7.22  -6.62  -6.29
