
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
199101  -0.37  -1.27  -2.17  -1.22   1.40   5.32   2.20  -1.19  -2.00  17.64
199102  17.52  15.05  14.55  20.24  15.55  19.49  13.19  19.72  16.77   9.58
199103  -3.70  -5.05   1.20  -4.83  -1.44  -7.14  -1.50  -3.87  -5.06   7.62
199104  -5.97  -8.68  -4.15  -6.28  -3.64  -9.24  -6.29  -5.53  -5.33   1.15
199105   0.26  -7.88   1.40  -1.01  -0.99   2.37   1.11  -1.37   2.77  -3.08
199106  -7.05  -8.66  -9.94  -6.62  -8.03 -14.16  -8.97  -5.95  -6.93  -7.02
199107   9.96  13.78   9.54   4.34   9.39  13.60   9.87   3.71  14.34  10.06
199108   0.31   0.43   1.93  -0.41   1.99   6.10   2.66  -0.51  -0.98   8.37
199109   5.61   4.10  11.23   6.80   9.66   6.57  10.71   6.33   4.31  17.74
199110  -1.74  -4.43  -2.79  -0.11  -3.35  -4.72  -3.73   0.57  -3.18   1.48
199111  -3.33  -7.86  -4.32  -0.14  -4.93  -1.31  -4.42   0.03  -2.84  -9.93
199112   9.66   5.61  11.11  12.62  10.00   7.69  11.00  13.19   9.05   9.23
199201  -0.23  -7.35   2.21   0.63  -2.01  -0.66   3.38  -3.68   3.23  -7.61
199202  -3.66  -1.91  -3.45  -3.15  -4.66   1.27  -4.13  -4.74  -2.72  -9.05
199203  -3.03  -6.92  -1.78  -0.41  -3.58  -1.70  -1.54  -4.91  -2.12  -3.46
199204   4.68   8.64   2.05   1.21   6.57   7.14   0.87   6.36   0.51   9.74
199205  -1.44   1.79  -3.56   4.49   1.53   0.09  -4.75   2.84  -5.35   5.15
199206   1.27   1.58   0.76   2.05   2.43   5.21  -0.12   0.50   0.72  -5.52
199207   0.14  -1.81  -0.60   2.01   2.87   5.43   2.05  -2.51   1.43  -3.84
199208  -0.40   0.49  -2.82   1.87  -1.16  -0.22  -3.31   1.98  -0.53 -13.81
199209  -6.35  -2.49  -8.18  -3.25  -3.43  -2.49 -10.51  -2.00 -10.24  -0.96
199210  -9.38  -5.36 -10.20  -9.19  -8.24 -12.14  -9.63  -6.89  -9.87  -3.95
199211   2.10   2.32   3.62  -2.22   0.93  -1.90   5.18   2.22   4.87  -5.04
199212   1.02   1.81   1.94  -1.36   3.48  -4.94   5.60   0.57  -1.81  29.97
199301   3.55  -4.87   2.28  -4.67   0.79   5.10   2.48   5.93   4.61   2.12
199302  -5.66  -7.33  -9.68  -9.50  -9.08  -7.54 -12.73  -3.00  -4.95 -11.44
199303  20.40  31.08  19.37  43.26  23.53  30.96  13.73  29.99   5.28  11.09
199304   2.05  12.07   3.00   5.78   0.61   4.33   6.52   0.48   3.10   4.29
199305   1.80  -2.20   5.25  -5.06   5.14   4.53   7.55   1.41  -3.21  12.15
199306  -1.66  -8.92  -1.53  -2.39   0.53  -3.35  -3.76   0.48  -7.08  -5.15
199307  -1.54  -3.32  -3.25  -4.63  -2.33   1.26  -2.26  -2.30   0.70  -2.13
199308   6.36  21.23   3.84   7.29   6.22   5.97   8.78   9.00   3.36   7.51
199309  -0.52  -4.03   2.51  -4.69   1.79  -2.36  -0.04   0.00  -3.01   2.68
199310   4.40  -1.80   7.30   0.00   7.82   7.21   8.56   5.09  -0.01   9.35
199311   1.81  -5.54   2.72  -7.96   2.25  -9.83   9.17  -0.70   8.34  13.11
199312   3.36   2.66   0.87  -4.82   1.30   3.14  -2.57   4.52   5.67  -4.42
199401  13.78  16.94  13.87  17.65  18.47  17.58  18.24   8.99  17.20  18.16
199402  -7.49 -12.97  -3.93  -9.05  -5.61  -1.63  -5.82 -11.98  -5.72  -2.63
199403  -4.86  -3.89  -4.52  -2.53  -4.64  -6.05  -4.00  -7.70  -2.08  -6.27
199404   4.68   4.12   4.62   2.90   3.29   4.14   2.03   6.78   4.47   2.46
199405  -4.57  -4.45  -5.79  -4.29  -4.90  -2.78  -5.11  -4.82  -5.68  -0.94
199406  -0.10  -1.11  -2.59  -5.07   1.71  -7.00   2.98   0.87   1.50   2.16
199407   6.40   0.15   7.06   5.50   7.08  11.60   6.66   5.38   9.38   0.36
199408   5.76   6.28   3.30   2.40   8.98   4.44  10.28   1.27  12.10   5.54
199409  -0.19   6.52   1.71   2.45   0.24  -1.36   1.31  -1.30  -3.60  13.01
199410   2.08   2.74  -0.87   4.50  -2.98   6.20  -4.62   8.30  -0.66  -9.44
199411  -4.68  -0.90  -5.42  -0.80  -5.93  -3.88  -6.37  -3.13  -6.56  -3.89
