
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501   5.27   4.03   4.32   5.10   3.06   2.78   4.68   3.51   5.61   2.69
197502  14.90  16.21  12.74  17.50  13.44  15.57  14.69  14.75  14.67   0.91
197503   2.13   3.48   0.48   5.90  -1.26   2.92   2.79   1.83   0.61   2.93
197504   0.19   0.06  -0.45  -0.04  -1.07  -2.18   2.45  -3.20   1.82  -5.72
197505  -0.21   2.19  -2.73   0.45  -1.30   1.83  -2.76   2.60  -2.49  -5.59
197506   1.40   3.90  -0.10   4.04  -0.26   0.17   3.48  -0.39   1.98  -2.74
197507  -5.28  -6.53  -4.38  -7.35  -3.62  -4.03  -6.82  -4.60  -4.90  -6.89
197508  -4.41  -3.55  -5.52  -4.19  -5.33  -4.50  -4.59  -4.65  -4.72 -13.55
197509  -6.35  -6.06  -5.84  -6.13  -5.10  -7.87  -7.63  -7.08  -6.01  -4.37
197510  11.00  11.80   8.85  14.54   8.00  14.46  11.14  14.25   7.92  16.02
197511   0.90   1.48   1.02   1.39  -0.46  -0.86   2.61  -2.32   2.71 -12.17
197512   1.11   1.72   0.00   2.29   0.09   2.34  -0.80   3.88  -0.67   0.02
197601   5.61   7.14   1.42   4.76   5.12   8.75   1.70   9.26   2.72  11.79
197602   0.94   3.22  -0.29   1.37   0.71   3.44  -0.34   3.02  -0.37   2.84
197603   0.10  -1.32   1.58  -0.92   0.97  -2.69   3.91  -2.80   2.00   2.09
197604   0.90   2.42   0.20   1.73   0.18   0.85   1.11   0.74   0.77   9.61
197605   0.72  -0.29   1.64   1.41   1.42   0.07   2.88  -1.29   2.61   2.65
197606   4.74   5.27   2.55   5.29   3.41   5.75   1.81   5.37   3.43   6.35
197607  -1.42  -1.41  -1.89  -1.52  -2.95  -1.56  -2.54  -1.93  -0.34  -3.91
197608   3.78   2.33   4.36   4.18   3.19   3.34   4.39   2.88   4.70  11.80
197609   0.71   0.64   0.57  -0.64   0.40   0.70  -0.44   0.61  -0.34   1.35
197610  -4.83  -6.46  -4.20  -4.40  -6.31  -6.08  -5.11  -8.14  -2.22  -6.14
197611  -0.84  -1.35  -0.90  -1.71  -2.31  -2.12  -1.38  -1.25  -0.36  -3.37
197612  15.06  14.10  15.09  21.53  16.95  16.58  14.53   8.87  15.91  13.50
197701  -3.13  -2.42  -4.17  -4.38  -3.34  -1.05  -4.10  -1.45  -5.71   5.37
197702   5.22   9.18   4.41   6.84   3.33   9.74   3.10   9.63   4.78   4.93
197703  -0.75   1.07  -2.35  -2.25  -0.03  -0.02   0.70   0.64  -3.10   4.01
197704   1.55   4.47  -1.17   1.34   3.38   5.71   0.10   5.62  -1.69   1.22
197705  -0.57  -1.01  -0.02   1.07  -0.94  -1.21  -1.45  -2.15   1.31  -0.12
197706   3.63   5.04   2.32   4.16   3.53   5.11   1.60   4.63   3.31   2.15
197707  -0.78   3.43  -4.65  -0.81  -0.20   4.67  -3.75   4.13  -5.98   2.57
197708   5.28   4.28   6.02   5.88   7.14   4.88   6.27   5.30   5.53   7.68
197709   0.77  -2.16   3.67   1.39  -1.20  -4.32   3.67  -3.70   4.26   2.10
197710   2.34   4.22   0.43   2.79   1.18   2.75   1.45   3.70  -0.59   0.12
197711   0.18   1.48  -1.84   0.27   0.77   2.40  -1.29   1.78  -0.67  -2.14
