
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  24.75  26.10  22.70  26.02  24.74  26.72  22.94  25.77  26.75  22.45
197502   8.90   9.17   5.60   9.55   4.45   9.44   5.30   9.94   4.51  12.70
197503  -1.02  -1.38   1.73  -1.62   1.00  -1.37   1.20  -1.66   1.17   2.33
197504   2.54   2.22   3.73   1.91   2.29   2.18   1.70   1.86   3.77   5.35
197505  -4.09  -3.81  -6.33  -3.63  -5.10  -3.77  -4.73  -3.68  -4.59  -3.84
197506   2.32   4.92  -2.31   3.97  -2.59   5.86  -3.44   4.07  -1.70  -3.84
197507  -6.05  -6.10  -6.11  -6.14  -5.54  -6.14  -5.27  -6.24  -5.45   0.00
197508  -0.22   0.81  -2.64   0.56  -3.68   0.79  -3.91   0.43  -3.46  -6.03
197509  -8.63  -8.39 -12.64  -7.48 -14.29  -8.46 -13.58  -7.93 -11.15 -18.45
197510   9.22   9.62  10.61   8.86  12.17   9.62  12.02   9.18   9.94   8.49
197511   7.43   7.05   5.87   7.80   8.29   6.89   6.92   7.70   7.60  22.12
197512   5.74   8.12   2.73   6.86   1.45   8.24   2.49   6.60   3.28  -0.75
197601   7.81  13.09   4.15   6.85  10.66   4.64   4.74   6.95   5.63  11.28
197602  -1.19   0.16  -0.65  -2.92   0.14   4.89  -0.34  -2.96  -2.07   2.96
197603   4.17   0.79   0.49   7.78   2.25  -2.55   1.77   7.95   0.15  -3.98
197604   0.59  -2.41   0.92   1.87  -0.69  -0.41   1.76   1.88   3.09  -2.73
197605  -3.24  -8.83  -7.92   1.31  -8.11  -7.54  -7.13   1.23  -8.92  -7.27
197606  -1.61  -1.73  -0.52  -2.39   0.46  -3.13   0.53  -2.32   0.16  -3.77
197607   0.70  -1.37   2.53   1.21  -0.54   6.23   0.58   1.02   1.85  -1.23
197608  -1.08  -0.56  -2.55  -0.50  -1.10  -1.20  -3.44  -0.64  -7.66  -5.54
197609  -0.72  -5.68  -1.80   1.03  -1.72  -4.11  -0.29   0.95  -1.10  -7.56
197610  -0.86  -3.49   3.01  -1.19   0.07   2.27   0.64  -1.16   5.76 -11.37
197611   4.14   1.37   3.89   4.77   3.27  -0.11   5.68   4.80   5.48   2.52
197612   6.75   3.36   4.85   9.25   2.96   4.34   2.45   9.07  -5.15  -2.60
197701  -0.07  -1.04   0.63   1.36  -5.86   1.05   0.99   1.50  -7.88   2.00
197702   3.22   2.63   3.09   3.13   2.61   2.02   3.49   3.36   3.22   2.58
197703   2.47   3.98   1.68   1.09   9.81   3.08   1.67   1.36   6.74   3.38
197704   9.82  14.80   9.14   9.27   5.02  10.99   9.39   9.66   3.70  12.04
197705  -5.22  -8.33  -4.61  -4.14  -3.86  -7.66  -4.87  -4.56  -6.04  -9.23
197706   0.82  -2.47   1.51   2.75  -1.03  -1.72   1.36   1.79  -1.28  -3.33
197707   1.81   3.61   1.18   1.06   2.89   5.20   0.63   0.85   0.40   3.94
197708  -4.32  -8.31  -3.70  -4.14  -0.76 -11.42  -4.13  -3.97  -2.73 -12.77
197709   2.48  -3.10   3.98   4.93  -4.15  -2.03   4.16   4.68  -3.53  -6.68
197710   1.45   2.07   0.83   0.19   4.67   1.36   0.53   0.32   6.41   3.63
197711   2.19   3.29   1.60   1.90   4.38  -3.91   1.72   1.56   3.78  -3.53
197712   2.18   3.03   1.59   0.54   0.65   4.85   0.91   0.68   7.72   4.12
197801   1.24   0.87   1.52   1.38   0.00   2.71   1.44   1.18   3.61   2.75
197802   3.05   1.99   3.42   2.98   2.47   1.87   4.70   2.50   5.31   0.77
197803   3.70   3.48   4.16   5.18   1.80   4.08  -0.77   4.19   1.43   8.71
197804  -1.71   2.53  -2.23  -1.77  -2.59   2.29  -2.79  -2.15  -2.58   6.79
197805   1.53  18.34  -0.64  -0.59   5.94  19.74  -0.83  -1.42   5.07  24.41
197806   1.83  -4.63   3.43   3.79  -2.11  -8.30   4.36   4.85  -3.57 -11.73
197807   3.42   6.79   3.61   3.88   1.40   6.03   2.39   3.86   2.78   7.36
197808   7.98  10.50   6.31   5.67  13.24   9.70   9.10   5.70  10.02   8.71
197809   0.33  -4.22   1.32   1.16  -2.40  -1.63  -0.10   1.31   0.35  -2.01
197810   3.41  -0.37   3.98   4.14   1.32  -3.04   3.09   3.76   3.95  -7.72
197811  -8.04  -9.33  -7.62  -7.71 -10.36  -9.47  -7.91  -7.49  -9.17  -7.69
197812   4.94  10.87   3.94   3.28   7.29   7.78   7.16   4.06   8.09   5.25
197901   3.58  -0.75   4.65   2.57  -0.75   0.69   5.02   4.51   0.97   1.35
197902  -1.47  -3.05  -0.56  -3.67  -3.81  -6.58   0.06  -0.40  -3.44  -2.20
197903   4.30   3.49   4.95   1.16   4.41  -0.29   5.51   5.77   1.66  -1.46
197904   0.38   2.70   0.03   0.16   2.33  -2.54   0.03   0.39  -1.37   1.05
197905  -4.43  -8.80  -3.15  -7.13  -9.04  -8.10  -2.12  -3.16  -7.30  -6.46
197906   6.67   6.44   6.87   4.09   5.32   7.91   8.16   8.01   3.02   8.49
197907   1.04  -0.11   0.75   2.75   0.25   3.90   0.14   0.29   1.70  -0.84
197908   4.57   3.43   4.85   5.74   0.99   5.08   4.51   4.28   3.52   7.34
197909   5.43   1.99   6.51   2.94   3.49  -1.11   6.46   5.98   7.34  -0.83
197910  -6.32  -7.97  -5.77  -5.91  -7.46 -10.68  -5.91  -6.13  -6.97  -8.46
197911   1.63  -1.91   2.33   0.41  -1.65   1.44   2.45   2.37  -0.04  -2.87
197912   1.71   0.55   1.66   4.32   0.79   6.32   0.72   0.99   3.58   0.06
198001   1.95  -2.02   2.87   4.22  -0.07  -0.78   0.35  -2.87  -1.48   1.30
198002  -1.69  -7.51  -0.04   1.94  -8.47  -8.60  -6.08  -9.35  -8.03  -4.82
198003 -15.53 -15.66 -15.73 -16.49 -13.16 -14.26 -12.34 -14.83 -13.75 -18.37
198004  13.55  17.35  12.49  10.21  19.66  18.33  17.48  18.17  19.53   8.26
198005   3.83   0.92   4.64   5.78   3.32   3.85  -0.44   0.07   4.41   5.06
198006   4.65  -0.96   6.44   6.36  -1.31  -3.06   3.64  -2.78   1.82  -3.56
198007   3.59   7.80   2.51   1.71   8.35   6.34   5.79  10.09   6.69   8.56
198008  -0.86  -2.66  -0.50  -0.10  -4.09  -2.81  -3.23  -8.55  -3.89  33.62
198009   0.12  -5.37   1.71   1.32  -3.37 -11.97  -0.90  -7.06  -4.65  -7.83
198010   4.35  -5.96   6.08   9.30  -0.93  -8.42  -3.35  -3.42  -6.58  -9.12
198011   4.21  -5.19   5.73   6.86   0.65  -4.40   2.09  -7.02  -0.28   0.47
198012  -5.76  -3.86  -6.17  -7.15  -2.21  -5.67  -3.87  -4.46  -1.26  -3.12
198101  -5.50   3.50  -6.53 -12.05   0.80  -4.73  -5.63  -1.47  -6.17   1.17
198102  -0.27   9.02  -1.28   2.05   4.84  10.41  -1.85   6.51  -2.20  10.33
198103  -4.15   5.71  -5.79   3.83   2.56  15.54  -6.87   1.56  -8.41   9.52
