
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198801  -5.97  -7.31  -3.73 -11.32  -7.25 -10.57  -5.23  -6.62  -7.62 -99.99
198802 -12.71 -27.15 -10.83 -27.51 -10.64 -30.41  -7.54 -26.83 -16.66 -99.99
198803  21.55  28.73  22.20  43.56  16.47  49.31  11.21  42.13  23.14 -99.99
198804   2.16 -10.51   2.29 -10.07  -1.41 -11.24   0.90 -11.63   1.36 -99.99
198805   3.25   4.12   2.04  -4.08   4.72  -7.05   5.96  -4.29   2.97 -99.99
198806  -3.45   6.96  -1.83   5.38  -5.18  -0.15  -4.23   4.33  -6.64 -99.99
198807   4.18   5.51   5.16   7.74   4.05   6.55   3.13   5.71   4.64 -99.99
198808  -9.11  -6.77  -7.30  -9.99  -5.85  -9.95  -5.97  -8.63 -12.92 -99.99
198809  -3.01  -7.40  -2.83  -2.03  -2.27  -0.99  -2.70  -3.34  -3.95 -99.99
198810   4.38  14.87   2.48  11.74   5.82   8.90   4.96  11.18   9.39 -99.99
198811  -3.53  -8.26  -1.04  -5.44  -2.28  -3.56  -1.54  -5.85  -2.08 -99.99
198812  -3.90  -8.99  -5.25  -2.06  -3.24  -0.68  -3.04  -3.90  -1.76 -99.99
198901   4.27  -3.92   7.27   8.02   0.65   5.81  -0.61  -1.89   2.27  -3.61
198902  -0.52 -27.23   1.79  -6.41   0.81  -2.59  -1.43 -18.99   8.22  -3.43
198903  -1.14  -4.31  -0.48  -7.11   0.52  -3.60   0.38  -0.66   2.03  -2.17
198904   3.69  12.53   1.05  13.47   4.22   2.93   2.28   6.56   6.30   5.42
198905  -8.31 -20.09  -8.81  -5.48 -10.38 -12.54  -7.75 -14.32 -12.85  -4.27
198906   2.49   6.43   1.19   5.05   4.71  14.25   3.36   6.54   6.38   2.70
198907   5.00  -0.51  -0.48  12.07   9.12  28.48   8.99   1.90  11.52  10.10
198908  27.28   8.06  26.07  29.47  21.79  36.32  15.11  19.85  18.97  30.59
198909  -5.50 -12.31  -6.11  -3.40  -5.60   1.87  -6.16  -5.48  -4.41 -12.95
198910  -7.54 -16.59  -7.29  -6.81  -6.66  -4.35  -5.71 -11.11  -1.12  -2.40
198911  -0.57  19.33  -0.94   3.59  -1.72  -0.24  -0.02  -2.32  -0.72  11.25
198912  -2.92 -16.02   1.20  -7.93  -3.74  -6.05  -2.78  -2.85  -2.97  -7.34
199001  -3.17  -5.37  -5.16  -3.63  -3.04  -3.56  -6.80  -3.47  -6.77  -1.88
199002  -7.77  -7.78  -9.18  -5.42  -6.91  -5.68  -5.69  -8.15  -6.40 -10.43
199003  -4.76 -13.67 -10.03  -1.24  -2.20  -1.02  -1.07  -9.05  -0.49 -12.07
199004  -1.68  -4.08  -0.37  -1.26  -1.24  -1.38  -1.16  -5.98  -1.46 -18.77
199005  10.15  14.80  13.47   7.81   4.50   7.74   3.55  12.86   3.12  13.52
199006  -0.45  -3.99   0.71  -0.69  -0.06  -0.40  -1.21  -3.58  -0.41  -0.45
199007   4.92   7.90   4.52   5.60   0.07   5.60   3.51   3.15   3.42   7.53
199008  -4.98  -7.00  -7.76  -3.56  -1.42  -3.42  -1.26  -5.55  -0.73  -8.34
199009 -10.69 -10.45 -12.54  -9.51 -10.12  -9.45 -10.10 -11.53  -9.96  -5.90
199010  -9.64 -18.63  -5.06 -13.99  -6.89 -13.97  -9.17 -16.64  -8.90  -8.45
199011  -6.22   3.27 -14.39   0.06  -6.64   0.16   0.56  -5.79   0.84 -29.79
199012  -9.23 -21.09 -13.84  -6.05  -6.19  -5.69  -6.72  -1.20  -6.02 -12.88
199101   7.13  -7.88   6.85   6.09  10.28   9.55  15.14   0.90  15.28  19.20
199102   8.50  24.60   2.43  17.27   3.42   7.73  -0.46  17.63  -0.45  18.03
199103  -5.44   0.36  -5.76  -7.63  -1.66  -2.67   0.66  -8.24  -0.07  -5.20
199104   9.46  20.79   4.53   3.10   7.51  16.20   1.50   7.47   1.02   7.19
199105   3.01  -7.10   4.47  12.73   3.21  -3.38   5.60   9.44   5.51   8.25
199106  -5.38 -10.71  -6.80  -4.68  -3.79  -5.17  -4.13  -4.53  -4.98  -4.99
199107   0.95  13.31   3.06  -3.71   2.42   1.68  -1.51  -3.43  -2.13  -3.58
199108  -6.33 -11.01  -5.95 -10.57  -5.96  -3.01  -4.62 -12.15  -4.66  -8.18
199109   0.19  12.28   2.91   3.35   7.30  -5.48   0.51   4.86  -1.09  -2.62
199110   7.54   4.34   9.88   9.01  12.31   4.21  11.33   5.72  11.78  13.51
199111  -0.45  -6.07   3.09  -2.48  -1.68  -1.16  -2.60  -1.79  -3.51  -4.96
199112  -4.60  -7.89  -3.91  -4.88  -3.50  -5.26  -4.64  -3.64  -5.03 -11.00
199201  -2.79  10.26  -6.78   5.58  -6.77   2.64  -6.35  -0.61  11.14  -9.30
199202   3.80 -11.53   6.03  -0.94   7.49   0.92   8.36   1.88  -3.70   1.15
199203  -5.40 -13.55  -6.48  -1.21  -1.79  -1.19   0.55  -3.95  -6.27 -17.15
199204   1.55  -1.72  -2.86   2.79  11.02   3.02  10.54   5.04  11.94  -1.67
199205   7.37  -2.09   6.51   9.23   9.96   8.79  10.85   7.77   9.58  -0.43
199206  -1.67  -4.14  -1.17  -4.26  -5.40  -2.61  -4.49  -1.87  -2.63 -11.02
199207   1.67   1.56   9.98 -10.30   5.32 -10.85   6.39  -6.20  10.88   0.11
199208  -6.10  -4.19  -1.42 -14.70  -4.13 -16.46  -2.77 -10.98  -4.10 -10.52
199209  -3.44 -13.13   1.93 -14.03  -1.69 -15.60  -0.53  -9.22  -1.46 -21.40
199210  -7.14  -4.61  -6.35  -9.09  -7.63 -11.29  -8.03  -8.68   3.66 -21.85
199211  13.49   9.27   9.54  28.89   8.55  21.25   7.48  19.99   4.52  13.78
199212   0.59  -1.40  -4.40  11.48  -3.17   9.91  -3.02   5.03   2.63 -28.20
199301  -2.16  -3.82  -1.21   2.97  -1.48  -3.75  -1.99  -1.30  -7.27  -3.82
199302   6.43  -1.18   9.62  -1.56   5.62   9.40   6.81   9.24  -3.54  -1.18
