
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  48.15  55.99  31.87  55.94  57.49  32.28  35.92  35.98  60.83   9.82
197502  23.97  26.79  23.04  26.28  23.05  23.34  16.91  24.35  27.74  13.60
197503   5.58  11.08   2.56   6.90   6.08   8.13   8.73   4.26   3.65   2.84
197504  -0.82  -3.00   3.90   0.79  -2.33   8.09  -1.14   1.22  -0.97 -12.66
197505  -6.95  -9.10  -4.28  -8.28  -6.92  -4.76  -8.68  -4.56  -6.37   0.71
197506  -9.84  -8.29  -7.90 -12.41 -11.34  -8.11  -5.43 -11.65 -11.90  -0.71
197507  -7.94  -5.56 -10.24  -6.39  -6.89  -5.60  -5.80  -6.84 -10.75  -7.41
197508  -5.00  -5.44  -3.86  -4.31  -6.24  -1.34  -4.40  -2.43  -7.05   0.20
197509  -0.73  -2.40   0.28  -2.53   0.04  -1.81  -0.51  -0.80   0.68  -3.71
197510  11.32  16.84   4.97  14.99  14.14   7.00   7.36   6.25  13.26   4.70
197511  -3.07  -2.80  -4.30  -2.10  -2.41  -2.38  -2.31  -2.51  -2.99  -3.92
197512   6.01   2.52   2.67   2.48   9.19   3.31   7.08   4.04   8.60 -99.99
197601  23.64  25.83  22.04   9.32  26.70   9.33  23.68  14.23  25.55  22.25
197602  -2.06  -7.81  -1.73   0.20  -0.99  -1.45  -0.26  -1.95  -1.66  -5.38
197603  -8.21  -6.60  -9.09  -2.38 -10.82  -0.47  -8.48  -2.00 -10.47  -1.65
197604   7.18   4.73  11.16   6.81   9.00   8.22   2.46   5.75   9.91   0.36
197605  -3.93  -4.56  -3.82  -1.60  -3.70  -1.02  -5.98  -1.71  -4.37   0.46
197606   2.23   0.07   1.38   1.54   2.96   1.62   4.08   1.02   2.35  -8.41
197607  -2.36  -2.21  -3.40  -0.63  -3.86   0.19  -1.26  -0.23  -3.45 -16.34
197608   3.83   6.13   3.72   1.47   4.19   2.14   2.26   2.50   4.25  -1.16
197609   0.58   4.60  -2.25   4.75  -1.05   5.00   1.79   5.50  -2.25   4.05
197610  -5.76  -5.97  -4.57  -4.50  -6.75  -3.53  -8.55  -4.12  -6.25  -8.35
197611  -3.34  -1.44  -3.68  -1.38  -5.35  -2.33  -5.41   0.02  -5.15   1.83
197612   6.14   5.09   5.27   4.25   8.18   3.99   8.23   4.02   7.99   7.59
197701  -0.71  -0.83  -1.39   0.81  -2.01  -1.66   1.11   1.85  -2.84   1.15
197702  -0.78   1.37  -2.29   2.04  -2.40  -0.05  -0.07   1.44  -2.03  -0.99
197703  -1.71  -1.17  -3.70  -0.11  -4.38  -0.45  -0.94   4.26  -4.57  -2.09
197704  -2.09  -3.29  -2.14  -2.50  -3.38  -1.15  -2.68  -2.21  -2.41   1.23
197705   0.61  -0.06   0.53  -0.81   0.10   0.97   0.47   4.11  -0.79   2.34
197706   4.50   5.73   1.93   4.10   4.29   4.68   6.64   4.93   2.91   7.88
197707   2.98   2.61   0.84  -3.31   3.78   2.58   4.41  -1.41   5.67   2.72
197708   1.94   2.09   2.10   4.86  -1.22   5.18   0.52   6.88  -0.80  13.76
197709  -2.14  -1.52  -2.04  -0.21  -2.71  -1.96  -2.74   1.14  -2.66  -4.70
197710   0.90   1.23  -0.24   2.00  -1.43   0.08   2.15   3.34  -1.40   3.05
197711   2.91   8.80  -0.29   5.69   2.23   6.07   3.84   5.83   0.46   4.71
197712   1.79   1.00   2.63   2.33   1.99   3.03   0.20   2.56   1.96   4.91
197801  -0.67   0.55  -0.78  -1.21  -2.74  -3.15  -1.36   0.39  -2.18  -2.01
197802   0.97   1.13   1.03   2.39  -0.40   6.07   1.60   1.77  -0.17   7.79
197803   9.68   7.14   6.79   7.90   8.67   7.45   6.72   9.58   8.31   7.73
197804   5.28   9.09   3.11   5.08   2.79   6.99   4.40   4.23   4.72   9.31
197805   6.03   9.98   8.08   7.31   9.38   8.64   5.39   5.63   8.34  22.84
197806  11.84   6.97  11.44   9.76  11.25  10.95   9.50   7.80  13.36   1.61
197807   5.04  -0.39   3.20   6.45   2.67   3.91   3.72   8.31   2.12  -1.67
197808  16.32  25.36  14.33  15.27  20.24  16.60   9.66  13.22  20.70  30.38
197809 -11.06 -13.53 -11.60  -9.67 -13.53  -7.24 -10.63 -12.50 -12.04 -13.58
197810  15.31  15.59  16.00  14.96  11.73  16.68  14.40  15.01  14.47  20.37
197811 -17.82 -14.47 -16.62 -16.07 -18.67 -16.18 -17.00 -16.84 -16.37  -8.39
197812   3.69   4.49   4.13   3.41   3.20   5.80   5.57   3.66   3.23   9.39
197901   9.58  11.40   7.31  12.24   8.52  13.52   6.04   8.62  10.00   5.45
197902  -5.55  -8.19  -2.04  -6.80  -6.43  -8.02  -1.10  -0.73  -6.03  -5.70
197903   6.38  11.01   5.06   5.66   9.28   7.42   6.80   7.19   8.84   9.24
197904   2.97   2.99   3.10   1.50   1.56  -0.38   3.29   3.75   2.93   5.94
197905   4.91   5.99   4.35   4.04   3.93   3.80   6.17   7.08   3.93   3.87
197906  -3.80  -4.99  -2.35  -5.67  -3.62  -7.04  -1.68  -2.71  -3.97  -7.08
197907   2.21   5.85   3.54   2.88   3.87   1.01   0.83   1.04   4.37  11.11
197908   4.27   3.89   3.68   4.50   4.74   5.38   3.76   2.29   3.34   3.08
197909   5.94   7.31   4.64   6.09   7.99   5.21   3.46   4.64   7.73   3.73
197910  -7.89  -9.95  -6.29  -8.36  -7.89  -7.84  -6.84  -6.31  -8.31  -6.57
197911   2.23   4.10   1.59   1.40   4.50   1.96   1.36  -0.16   4.33  13.57
197912   6.44   7.78   6.65   6.55   6.48   4.61  10.64   7.01   4.82  16.52
198001  12.56  17.01   8.89   8.11  14.97   5.30  13.05   6.25  14.28  21.26
198002   3.64   4.54   3.98   7.75   3.61   1.51   0.14   3.79   4.45   3.65
198003 -12.10 -14.03 -10.08 -13.06 -11.26 -12.97 -11.94 -11.32 -10.97  -9.19
198004   6.85   5.14   5.24   7.84   8.24   3.51   6.19   5.44   6.35   7.93
198005  12.57   7.37  14.77  16.52  15.67   8.44  10.95   8.00  14.21  12.84
198006   8.53   3.35  16.39   5.29  14.89   8.04   4.93   6.75  14.09  14.75
198007   5.07   4.12   6.88   0.90   9.27   2.36   6.26   2.80   9.78  27.65
198008   5.23   2.64   7.27   4.09   4.70   0.63   3.54   5.75   4.19  -5.75
198009  -5.74  -1.83  -6.67   1.22  -6.65   6.33  -4.27  -3.93  -8.30   7.93
198010  11.81   8.00  10.56  30.69   8.65   7.50   3.16   8.27  10.80   2.34
198011   5.18   5.91   5.58   6.25   6.04   6.19   9.07   6.14   5.31   3.61
198012  -2.44  -0.57  -3.26  -4.14  -0.75  -5.80   1.62  -6.55   0.76  -3.51
198101  13.81  14.15  11.74   7.20  12.46   9.28  17.56   9.61  18.25 -99.99
198102   8.75  12.05  13.47   3.42  17.03   4.78  19.66   0.16  14.48 -99.99
198103  -0.52   5.75  -4.19   0.60  -5.24  -4.60  -8.11   0.26  -4.50 -99.99
198104   7.68   8.11   1.81   5.65   2.26   9.36  -0.01   9.49   4.97 -99.99
198105  -4.65  -4.07  -3.17  -6.08  -3.69  -8.80  -2.04  -7.33  -5.41 -99.99
198106   8.61   4.52   6.09  15.29   8.22   8.30   2.90   9.58   9.89 -99.99
198107 -14.90 -14.26 -14.05 -14.87 -17.34 -14.99 -17.32 -13.84 -15.71 -99.99
198108 -21.49 -17.91 -22.12 -22.84 -25.47 -26.72 -24.41 -17.89 -23.61 -99.99
198109   0.65   3.57  -2.38   2.16   3.99   2.23  -3.68  -0.05  -1.04 -99.99
198110   2.95   0.19   5.63   3.29   1.18   0.26   8.62   2.58   4.84 -99.99
198111  20.71  17.35  25.80  16.46  27.59  22.46  23.91  16.42  27.06 -99.99
198112   1.35   2.31   0.90   2.85   0.89   3.61   1.37   2.14   0.16 -99.99
198201  -2.40  -4.40  -0.27  -4.04  -2.48  -4.52  -0.72  -1.80  -1.57 -99.99
198202  -9.49  -4.33  -8.62  -6.47  -8.00  -4.19  -8.68 -11.05  -8.00 -99.99
198203  -2.49  -3.26  -0.37  -7.07   0.35  -4.50  -3.28  -7.96   0.35 -99.99
198204   7.45   8.36   7.93   8.72   7.42   7.60   7.31   5.08   7.31 -99.99
198205  -0.18  -1.15   0.80  -0.90   0.02   1.43  -0.37   1.89   0.83 -99.99
198206  -8.55  -4.90  -8.70  -7.31  -8.35  -7.15 -10.25  -4.10  -8.83 -99.99
198207  -6.61  -2.24  -6.97  -5.36  -7.98  -4.27 -15.27  -4.25  -7.52 -99.99
198208  -5.02  -6.23  -5.57  -7.60  -5.02  -4.96  -7.79  -6.15  -3.15 -99.99
198209   3.34  15.12   1.82   5.93   3.67  14.01   1.02   2.82   2.11 -99.99
198210   7.15  14.23   5.84  10.34   5.82  12.99   7.64   8.17   6.62 -99.99
