
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  11.43  10.33  12.12  11.71  12.68  11.81  11.63   8.38  12.87   6.60
197502   9.28   8.94   9.66   9.75   8.01  10.64   9.32   8.28   9.49  -5.36
197503  -2.30  -0.81  -1.69  -3.00  -0.07  -2.67  -2.01  -3.21  -1.92  -2.38
197504   3.74   9.37   2.28   2.85   8.77   2.45   1.75   0.54   8.70  -3.09
197505  -2.49  -5.99  -0.63  -5.59  -2.11  -6.99   2.10  -6.41   1.48  -3.14
197506   3.66   1.67   4.94   7.09   2.91   6.71   3.38   3.42   3.46   2.60
197507  -5.32  -4.02  -5.84  -4.79  -7.51  -3.85  -5.72  -4.14  -6.91  -8.61
197508  -3.23  -5.23  -5.66  -2.12   0.19  -2.90  -5.95  -4.52  -3.90   2.66
197509   1.75   0.43  -0.70   1.62   1.38   1.70   0.48   1.92  -0.97   9.05
197510   5.42   5.87   3.16   4.86   6.52   3.79   3.04   6.05   4.71  -7.97
197511  -1.63  -2.65  -2.89  -2.29  -1.05  -3.57  -3.23   0.13  -2.46  -6.73
197512   2.25   6.06  -0.06   2.15   2.02   1.06  -0.29   5.24   0.15  -5.85
197601   4.63   9.37   4.44   7.00   1.10   5.46   2.08  10.04   2.50   0.97
197602   1.27   1.47  -0.28   2.63   1.06   0.99   0.81   1.84  -1.63   2.25
197603   2.55   2.54   1.42   5.63   3.12   5.16   4.06   1.57   5.74  -4.40
197604  10.79  11.30  11.90  11.23  11.14  13.01  10.23  10.81  10.38  23.40
197605  -5.20  -6.72  -3.38  -9.31  -1.90  -8.20  -2.00  -5.94  -7.08  -3.15
197606   0.09  -0.75   0.04   3.24  -1.22   0.08  -1.03  -2.41   2.85   4.43
197607   1.00   0.02   0.95   1.60   0.15   2.02   0.10   1.10   1.81  -5.19
