
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  23.18  20.28  25.37  19.79  23.73  15.02  28.41  21.69  21.69 -99.99
197502   7.97   0.07   9.99   0.51  10.68   3.36   6.36   3.84   7.94 -99.99
197503  -0.72  -2.15  -1.75  -3.88   0.45  -1.23   0.22  -0.25  -0.49 -99.99
197504   5.34   6.44   2.49   6.19   7.19  -0.33   7.36   2.67   7.23 -99.99
197505  -1.71  -3.13  -0.39  -3.26  -0.87  -2.04  -1.25  -0.53  -1.43 -99.99
197506  -3.04  -4.82   0.06  -3.87  -5.09  -2.61  -2.54  -3.94  -4.20 -99.99
197507  -5.39  -4.45  -4.10  -4.29  -5.95  -6.31  -5.66  -4.71  -6.10 -99.99
197508  -4.37  -5.12  -2.53  -4.14  -6.28  -3.54  -5.55  -2.93  -5.68 -99.99
197509  -8.33  -8.41  -5.66  -8.01  -9.98  -8.56 -12.77  -5.72 -10.68 -99.99
197510  14.88  15.18   9.77  14.98  17.49  13.97  21.95  12.55  18.14 -99.99
197511   4.02   3.28   2.03   2.91   5.92  -0.26   2.81  -0.66   6.12 -99.99
197512   4.84   5.89   5.26   4.78   3.41   7.15   5.04   6.02   3.65 -99.99
197601   4.08   6.91   2.45   6.60   4.51   3.76   4.96   4.26   3.73   5.53
197602   0.10   1.88   1.15   3.00  -4.88   7.83  -5.55   5.20  -3.38   4.32
197603   1.16   5.50  -0.08   2.52   1.61   5.86   1.60   1.57   1.33  -0.13
197604  -0.85  -2.14  -1.07   1.47  -1.61  -0.07  -1.37   2.15  -1.08  -2.95
197605   1.06  -0.65   1.45   0.10   1.07   2.25   0.90   2.96   1.00   0.63
197606   1.91   4.21   2.07   4.29  -0.72   5.13  -0.88   4.37   1.16  -0.03
197607   0.44   1.16   2.51   0.63  -4.30   5.03  -4.38   2.30  -0.94   3.01
197608   0.34   0.98   3.04   1.24  -5.11   3.62  -5.79   0.76  -2.13   4.94
197609  -0.43  -3.56  -0.27  -0.13   1.61   0.22   1.93   0.43   1.08   0.03
197610  -3.03  -4.75  -2.33  -3.84  -4.55  -5.91  -4.77  -1.36  -4.81  -2.85
197611   0.80   1.38   0.81   3.68  -0.37   1.76  -0.26   0.81   0.84  -0.93
197612   6.45   6.95   5.31   5.01   9.22   5.29   9.43   6.65   6.66   7.79
197701  -0.85  -0.26  -0.46  -0.37  -2.73  -4.56  -2.33   1.09  -2.13  -3.97
197702  -2.20  -1.51  -1.39  -2.10  -3.37  -4.73  -4.06  -1.64  -3.73   2.01
197703   1.30   1.99   1.08   0.12   2.18   0.83   2.08   0.77   2.51   8.55
197704   1.29   8.32  -5.56   3.23   6.83   3.40   4.97   4.56   4.59   3.91
197705  -2.88  -4.01  -2.89  -4.19  -1.99  -3.42  -1.64  -3.86  -1.59  -1.77
197706   2.87   2.50   1.18   4.12   3.72   4.86   4.11   3.86   3.84  -0.23
197707   2.71   2.64   2.75   2.84   1.64   2.62   1.86   3.41   2.09   5.07
197708   3.64   2.86   5.18   4.61   2.90   6.14   1.54   4.16   1.82   4.53
197709  11.94  11.11  12.44   9.79  10.38  11.51  13.29  10.56  13.24  17.56
197710  -0.20  -3.88   1.09  -0.79  -1.64  -2.97   0.18  -0.16  -0.04   2.77
197711   3.89   0.59   5.53   5.89  -0.13   6.19   2.88   4.22   3.10   0.39
197712   7.97   7.30  10.38  10.22   5.74   9.67   3.88   9.67   4.88   8.28
197801   4.71   3.34   4.04   6.68   1.24   2.45   2.96   6.53   2.29 -99.99
197802   1.56   6.98  -0.26   4.37   2.14   3.84   0.00   5.47  -0.69 -99.99
197803  -1.20  -0.32  -1.70   1.39  -1.78  -0.90  -3.19   0.89  -2.52 -99.99
197804  -7.30  -7.57  -7.13  -7.85  -7.41  -6.16  -8.09  -6.46  -7.05 -99.99
197805   4.08   2.07   5.67   0.45   9.77   4.62   6.83   0.01   6.08 -99.99
197806   4.46   3.82   4.00   4.95   5.45   6.14   4.29   4.96   3.54 -99.99
197807   6.30   5.65   7.17   7.25   5.56   7.34   4.18   6.87   4.33 -99.99
197808   7.03   2.92  10.20   5.73   9.98   0.73   5.19   5.85   5.91 -99.99
197809   2.66   1.18   2.44   4.74   0.99   1.60   1.31   4.88   1.74 -99.99
197810   1.64   3.67   2.84   3.76  -0.75   0.45  -1.96   4.44  -1.29 -99.99
197811 -11.56  -6.11 -16.22 -11.42  -8.66  -6.50  -6.83 -12.26  -7.71 -99.99
197812   9.22  11.51   9.60  10.00   8.73  10.20   8.10   9.62   9.15 -99.99
197901   5.38   6.00   4.81   3.27   7.62   5.40   8.62   3.67   6.19  -0.18
197902  -0.14   0.16   0.97   0.58  -2.25   3.27  -2.17   0.41  -1.65   0.22
197903  -0.03   0.86  -0.40   0.85   0.71   2.24   0.89  -0.53   0.16  -2.60
197904  -0.25   3.61  -2.64   0.31   3.23  -1.92   2.55  -1.39   3.38   2.26
197905  -3.30  -4.23  -2.69  -4.01  -3.85  -4.52  -4.47  -2.86  -3.70  -2.74
197906   3.95   2.17   5.74   1.84   1.72   1.36   2.68   3.57   2.53   1.50
197907   0.89   0.84   0.74   0.54   1.16   2.57   0.97   1.04   1.27  -0.58
197908   2.85   3.77   2.98   3.56   1.92   3.68   1.49   3.82   2.07  -4.64
197909   8.15   7.74  10.31   7.54   7.22   8.00   6.65   7.03   7.50  16.25
197910  -8.76  -7.79  -8.36  -8.95  -9.64  -8.03  -9.43  -8.50  -9.16 -10.10
197911   1.75  -0.25   2.14   0.10   0.94  -2.16   2.19   1.67   0.95   0.75
197912   2.79   1.71   4.92   1.53   0.58  -0.42  -0.19   3.16   1.96 -11.54
198001   0.81  -2.96   1.73  -0.28  -2.08   2.25   0.79   0.23   1.25   5.53
198002  -6.27  -7.16  -6.05  -5.63  -8.07  -5.73  -8.03  -5.12  -7.52  -9.31
198003 -15.05 -16.76 -14.54 -14.80 -16.00 -15.36 -16.36 -13.82 -15.51 -15.37
198004  13.72  12.94  13.12  15.00  12.75  12.83  14.32  13.70  15.15   7.66
198005   0.82   1.38   0.92   0.23   4.03   0.83   1.52   0.34   1.30  -0.98
198006   6.50  11.85   4.45   2.54  12.33   3.19  13.39   4.14  11.69  10.32
198007   0.47  -0.08   1.77  -0.19   0.48   0.65  -0.74   0.45  -0.38   0.08
198008   0.58   1.21   1.03  -0.29   1.86  -0.38   0.12   1.09   0.52   9.86
198009  -0.10  -1.25   1.68  -1.45   0.08  -0.89  -2.65   1.23  -1.42  -3.87
198010  -2.48  -2.45  -1.62  -3.66   0.91  -5.08  -1.88  -3.93  -0.81  -9.56
198011  -2.16  -4.37   0.67  -3.89  -2.22  -4.90  -5.63  -2.79  -4.19  -4.82
198012  -0.31   0.31  -1.20   0.30  -2.19  -0.68   0.65   0.49  -0.34   1.99
198101 -11.72 -10.43 -11.74 -10.92 -10.45 -12.92 -13.76  -9.88 -13.18 -16.41
198102   0.12   2.60  -1.45  -0.70   5.27  -0.44   5.24  -1.52   3.15  -1.09
198103   2.26   4.49   0.56   2.44   4.35   4.89   4.39   1.63   3.93   2.75
198104  -7.07  -5.78  -7.94  -6.98  -4.85 -11.30  -5.29  -7.86  -5.45  -3.83
198105  -6.86  -7.23  -6.28  -6.28  -7.85  -5.10 -10.33  -7.36  -9.28  -5.87
